,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
0,0,0,1,raya,0.3547558486461639,0.3547558486461639,0.0,0.0,0.0,GPT2 WordLevel,0.0,0.128014842300557
1,1,0,1,raya,0.040415208786726,0.0525960959494113,0.0121808871626853,0.0088101675302939,0.0018691437456191,GPT2 WordLevel,0.30139364680669434,0.128014842300557
2,2,0,1,raya,-0.0289031732827425,-0.0067400694824755,0.0221631038002669,0.0132895822418814,0.0016659264109793,GPT2 WordLevel,0.7668052079769436,0.128014842300557
3,3,0,1,raya,-0.0532798245549202,-0.0326219610869884,0.0206578634679317,0.0117210741650233,0.0013847527700858,GPT2 WordLevel,0.3877239394179671,0.128014842300557
4,4,0,1,raya,-0.0675109252333641,-0.0545301586389541,0.0129807665944099,0.0066299630289382,0.0013754121513654,GPT2 WordLevel,0.1922765322729553,0.128014842300557
5,5,0,1,raya,-0.0680342316627502,-0.0438367985188961,0.0241974331438541,0.0044522178458406,0.0014199883420612,GPT2 WordLevel,0.3556655605931179,0.128014842300557
6,6,0,1,raya,-0.0739039406180381,-0.0475127175450325,0.0263912230730056,0.0038514774728645,0.0015081115475434,GPT2 WordLevel,0.357101703269178,0.128014842300557
7,7,0,1,raya,-0.068729355931282,-0.0359029397368431,0.0328264161944389,0.0098602312735896,0.0017901457184284,GPT2 WordLevel,0.4776185626889897,0.128014842300557
8,8,0,1,raya,-0.0760716572403907,-0.015636071562767,0.0604355856776237,0.0192757089265642,0.0022631736599501,GPT2 WordLevel,0.7944560151574437,0.128014842300557
9,9,0,1,raya,-0.0920479893684387,-0.0126786306500434,0.0793693587183952,0.025923764709621,0.0028098231340501,GPT2 WordLevel,0.8622606453760234,0.128014842300557
10,10,0,1,raya,-0.0968095511198043,0.0016059838235378,0.0984155349433422,0.0337273337670225,0.0033316565223098,GPT2 WordLevel,1.016589105155031,0.128014842300557
11,11,0,1,raya,-0.0873489826917648,0.0192157104611396,0.1065646931529045,0.0330848795599601,0.0036580809063692,GPT2 WordLevel,1.2199877991590078,0.128014842300557
12,12,0,1,raya,-0.102960467338562,0.0090728253126144,0.1120332926511764,0.0378733650295737,0.0038322918078766,GPT2 WordLevel,1.0881195039915708,0.128014842300557
13,0,0,2,raya,0.4076005816459656,0.4076005816459656,0.0,0.0,0.0,GPT2 WordLevel,0.0,0.285714285714286
14,1,0,2,raya,0.0400071740150451,0.0311101451516151,-0.00889702886343,0.0088101675302939,0.0018691437456191,GPT2 WordLevel,-0.22238583660230984,0.285714285714286
15,2,0,2,raya,-0.0202386192977428,-0.0190263167023658,0.0012123025953769,0.0132895822418814,0.0016659264109793,GPT2 WordLevel,0.05990045948995182,0.285714285714286
16,3,0,2,raya,-0.0485202297568321,-0.0480140298604965,0.0005061998963356,0.0117210741650233,0.0013847527700858,GPT2 WordLevel,0.01043275967307892,0.285714285714286
17,4,0,2,raya,-0.0741718411445617,-0.0703344792127609,0.0038373619318008,0.0066299630289382,0.0013754121513654,GPT2 WordLevel,0.05173610190317026,0.285714285714286
18,5,0,2,raya,-0.0934930592775344,-0.0837681367993354,0.009724922478199,0.0044522178458406,0.0014199883420612,GPT2 WordLevel,0.1040175875444459,0.285714285714286
19,6,0,2,raya,-0.09088996052742,-0.0815480500459671,0.0093419104814529,0.0038514774728645,0.0015081115475434,GPT2 WordLevel,0.1027826442793382,0.285714285714286
20,7,0,2,raya,-0.0883096531033515,-0.0857418626546859,0.0025677904486656,0.0098602312735896,0.0017901457184284,GPT2 WordLevel,0.029077120772521066,0.285714285714286
21,8,0,2,raya,-0.074215292930603,-0.0506654940545558,0.0235497988760471,0.0192757089265642,0.0022631736599501,GPT2 WordLevel,0.3173173337477502,0.285714285714286
22,9,0,2,raya,-0.0748568102717399,-0.0432928092777729,0.031564000993967,0.025923764709621,0.0028098231340501,GPT2 WordLevel,0.4216583752284608,0.285714285714286
23,10,0,2,raya,-0.0725195780396461,-0.0335271917283535,0.0389923863112926,0.0337273337670225,0.0033316565223098,GPT2 WordLevel,0.537680821722041,0.285714285714286
24,11,0,2,raya,-0.0601601004600524,-0.0279386807233095,0.0322214197367429,0.0330848795599601,0.0036580809063692,GPT2 WordLevel,0.5355945134788899,0.285714285714286
