,fila,numContexto1,sesgoBase1,sesgoGen1,numContexto2,sesgoBase2,sesgoGen2
0,0,1,-0.04088829457759857,-0.047851040959358215,2,-0.09822194278240204,-0.09935960173606873
1,1,1,-0.03497310355305672,-0.031046783551573753,2,-0.03725535422563553,-0.02081221528351307
2,2,1,-0.07192117720842361,-0.05183568596839905,2,-0.12800316512584686,-0.11549486964941025
3,3,1,0.012682739645242691,0.009280752390623093,2,-0.054484426975250244,-0.05790504813194275
4,4,1,0.019015846773982048,0.017751138657331467,2,-0.040136903524398804,-0.02620483934879303
5,5,1,-0.044488031417131424,-0.04251202940940857,2,-5.704723298549652e-05,0.000727526843547821
6,6,1,-0.07757484912872314,-0.10224512219429016,2,-0.11670990288257599,-0.10986112058162689
7,7,1,-0.11622297763824463,-0.1244489923119545,2,-0.10917413234710693,-0.08741836994886398
8,8,1,-0.09320537745952606,-0.07560548931360245,2,-0.07695306837558746,-0.07992373406887054
9,9,1,-0.06226899102330208,-0.06592726707458496,2,-0.10189114511013031,-0.09191318601369858
10,10,1,-0.07964083552360535,-0.07667440176010132,2,-0.053688935935497284,-0.0572240874171257
11,11,1,-0.08895759284496307,-0.10014911741018295,2,-0.08397131413221359,-0.08673861622810364
12,12,1,-0.0825001522898674,-0.08490625023841858,2,-0.03202563524246216,-0.037905581295490265
13,13,1,-0.07429361343383789,-0.06711447983980179,2,-0.031392402946949005,-0.03509125858545303
14,14,1,-0.11617794632911682,-0.11441163718700409,2,-0.0599350668489933,-0.05166814848780632
15,15,1,-0.06419561803340912,-0.05616527050733566,2,-0.0502781867980957,-0.04958859086036682
16,16,1,-0.09365415573120117,-0.08615979552268982,2,-0.06616965681314468,-0.05135340243577957
17,17,1,-0.00020391587167978287,0.004317658022046089,2,-0.05240873992443085,-0.04809236526489258
18,18,1,-0.11016714572906494,-0.10836191475391388,2,-0.11047235876321793,-0.11271984875202179
19,19,1,-0.033700957894325256,-0.033150795847177505,2,-0.031244421377778053,-0.03559897840023041
20,20,1,-0.15705546736717224,-0.14337055385112762,2,-0.06192737817764282,-0.04707743972539902
21,21,1,-0.1119835376739502,-0.1090536043047905,2,-0.047649361193180084,-0.03296225517988205
22,22,1,-0.08356870710849762,-0.0837835967540741,2,-0.036385875195264816,-0.03126254677772522
23,23,1,-0.08054430782794952,-0.07425596565008163,2,-0.022444792091846466,-0.01976512372493744
24,24,1,-0.025760410353541374,-0.010990861803293228,2,-0.04320541024208069,-0.04205281287431717
25,25,1,-0.10068942606449127,-0.11449004709720612,2,-0.05954507365822792,-0.05985146015882492
26,26,1,-0.031097281724214554,-0.03199015557765961,2,0.02598506398499012,0.011002659797668457
27,27,1,-0.003934002481400967,-0.012903312221169472,2,-0.03229713439941406,-0.03836795687675476
28,28,1,-0.02827131375670433,-0.02437056042253971,2,-0.01828892156481743,-0.03127430006861687
29,29,1,-0.02061336673796177,0.01080137025564909,2,-0.02569316327571869,-0.03014930710196495
30,30,1,-0.08679339289665222,-0.03367474675178528,2,-0.061872705817222595,-0.045871976763010025
31,31,1,0.04056327044963837,0.09327863156795502,2,-0.06091325730085373,-0.06013820692896843
32,32,1,0.04588744044303894,0.021290400996804237,2,-0.055304478853940964,-0.01690693572163582
33,33,1,0.07101055979728699,0.059825122356414795,2,-0.10273399949073792,-0.10019473731517792
34,34,1,0.004760310985147953,-0.0022480571642518044,2,-0.06938737630844116,-0.06280334293842316
35,35,1,-0.08103957027196884,-0.0730743259191513,2,-0.08495016396045685,-0.09439496695995331
36,36,1,-0.038206540048122406,-0.03368934988975525,2,-0.12365929037332535,-0.1251848042011261
37,37,1,-0.01854419894516468,-0.007670137565582991,2,-0.010987550020217896,-0.000929507426917553
38,38,1,0.015331152826547623,0.0018605124205350876,2,-0.05396618694067001,-0.05379604548215866
39,39,1,-0.10233821719884872,-0.09785306453704834,2,-0.054672613739967346,-0.030506758019328117
40,40,1,-0.1322084665298462,-0.11969401687383652,2,-0.08979331701993942,-0.07994265854358673
41,41,1,-0.0958583876490593,-0.07021212577819824,2,-0.029090140014886856,-0.025433052331209183
42,42,1,-0.08980010449886322,-0.07790674269199371,2,-0.05503321811556816,-0.043648481369018555
43,43,1,-0.0034847818315029144,0.013964601792395115,2,-0.06380505859851837,-0.07179088145494461
44,44,1,-0.04402579367160797,-0.047599487006664276,2,-0.08311273157596588,-0.0761076882481575
45,45,1,-0.020272161811590195,-0.01462402381002903,2,-0.07705500721931458,-0.0919821709394455
46,46,1,-0.02422339841723442,-0.021298816427588463,2,-0.018416546285152435,-0.02215799316763878
