Unnamed: 0,0,1,2,3,4,5,6,Model,baseS1,SignS1,baseS2,SignS2,diff_base1_emb,diff_base2_emb,indTarget,diff_base1,diff_base2
0,0,1,-0.0439723506569862,-0.0445014834403991,2,-0.04575876891613,-0.0491140633821487,GPT2 WordLevel,-0.0439723506569862,-0.0445014834403991,-0.04575876891613,-0.0491140633821487,-0.012033306737237882,-0.07332571538732882,0,0.128014842300557,0.285714285714286
1,1,1,-0.0728987380862236,-0.0666171610355377,2,-0.0900963321328163,-0.0783867835998535,GPT2 WordLevel,-0.0728987380862236,-0.0666171610355377,-0.0900963321328163,-0.0783867835998535,0.08616852932702533,0.1299669837358203,1,0.368039664378337,0.103114930182599
2,2,1,-0.0619478821754455,-0.0529014430940151,2,-0.0819691941142082,-0.0809755399823188,GPT2 WordLevel,-0.0619478821754455,-0.0529014430940151,-0.0819691941142082,-0.0809755399823188,0.14603306463019278,0.012122287435264207,2,0.324414715719064,-0.0017221584385763
3,3,1,-0.0378924161195755,-0.0447667688131332,2,-0.080803781747818,-0.099822424352169,GPT2 WordLevel,-0.0378924161195755,-0.0447667688131332,-0.080803781747818,-0.099822424352169,-0.1814176396634248,-0.23536822402330912,3,0.120493358633776,0.0161290322580645
4,4,1,-0.011020528152585,-0.0127190835773944,2,-0.0901306569576263,-0.0652679800987243,GPT2 WordLevel,-0.011020528152585,-0.0127190835773944,-0.0901306569576263,-0.0652679800987243,-0.1541264993194526,0.2758514993471184,4,-0.0177777777777778,0.259259259259259
5,5,1,-0.0476367399096488,-0.0384334474802017,2,-0.06857181340456,-0.06462262570858,GPT2 WordLevel,-0.0476367399096488,-0.0384334474802017,-0.06857181340456,-0.06462262570858,0.19319736083751138,0.057591997351456696,5,0.236128493950772,0.0802139037433155
6,6,1,-0.0884910523891449,-0.0750154703855514,2,-0.1217156052589416,-0.0955405458807945,GPT2 WordLevel,-0.0884910523891449,-0.0750154703855514,-0.1217156052589416,-0.0955405458807945,0.15228185946228542,0.2150509733116099,6,0.180387409200969,0.0089730807577268
7,7,1,-0.0991724729537963,-0.099856898188591,2,-0.1708021461963653,-0.152953952550888,GPT2 WordLevel,-0.0991724729537963,-0.099856898188591,-0.1708021461963653,-0.152953952550888,-0.006901362993273027,0.10449630782131886,7,0.108695652173913,0.521739130434783
8,8,1,-0.0735731422901153,-0.0638013035058975,2,-0.0998441129922866,-0.0940516293048858,GPT2 WordLevel,-0.0735731422901153,-0.0638013035058975,-0.0998441129922866,-0.0940516293048858,0.13281801592332795,0.058015275150456784,8,0.300710770913067,0.075366568914956
9,9,1,-0.1026898026466369,-0.0835167467594146,2,-0.1667970567941665,-0.1561215370893478,GPT2 WordLevel,-0.1026898026466369,-0.0835167467594146,-0.1667970567941665,-0.1561215370893478,0.1867084695176421,0.0640030460369134,9,0.154865713289152,0.225409836065574
10,10,1,-0.081514723598957,-0.0755827128887176,2,-0.1315030604600906,-0.1213335692882537,GPT2 WordLevel,-0.081514723598957,-0.0755827128887176,-0.1315030604600906,-0.1213335692882537,0.07277226062158065,0.07733273382578963,10,0.1525,0.268196721311475
11,11,1,-0.0398804098367691,-0.0484914295375347,2,-0.1102477759122848,-0.0896500945091247,GPT2 WordLevel,-0.0398804098367691,-0.0484914295375347,-0.1102477759122848,-0.0896500945091247,-0.21592104333958928,0.18683081116800032,11,0.14484126984127,0.290816326530612
