,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,0,-0.06474290788173676,-0.06549938023090363
1,00,raya,1,-0.0806693434715271,-0.07866775989532471
2,01,llama,0,-0.15547943115234375,-0.14760364592075348
3,01,llama,1,-0.048849236220121384,-0.04943596571683884
4,02,salamandra,0,-0.16833248734474182,-0.14918580651283264
5,02,salamandra,1,-0.09310737252235413,-0.07678760588169098
6,03,muñeca,0,-0.03845800831913948,-0.05746593698859215
7,03,muñeca,1,-0.08850423991680145,-0.08942445367574692
8,04,palma,0,-0.021355988457798958,-0.018042396754026413
9,04,palma,1,-0.07957105338573456,-0.05423671752214432
10,05,peso,0,-0.028542373329401016,-0.03213600069284439
11,05,peso,1,-0.03162213787436485,-0.042332135140895844
12,06,banco,0,-0.09136475622653961,-0.08296989649534225
13,06,banco,1,-0.07627572864294052,-0.07874680310487747
14,07,tarjeta,0,-0.08332217484712601,-0.06711611151695251
15,07,tarjeta,1,-0.042994990944862366,-0.02469353936612606
16,08,granada,0,-0.11388897895812988,-0.10390514880418777
17,08,granada,1,-0.05329465866088867,-0.04365351051092148
18,09,lima,0,-0.07976007461547852,-0.08510515093803406
19,09,lima,1,-0.07721395045518875,-0.079720139503479
20,10,mango,0,-0.0886814296245575,-0.10016334056854248
21,10,mango,1,-0.07054752856492996,-0.07472053915262222
22,11,copa,0,-0.11318676173686981,-0.11515259742736816
23,11,copa,1,-0.11030352115631104,-0.13559971749782562
24,12,arco,0,-0.14050254225730896,-0.14026103913784027
25,12,arco,1,-0.033276528120040894,-0.04385390132665634
26,13,penal,0,-0.1247086375951767,-0.12798883020877838
27,13,penal,1,-0.047288358211517334,-0.04850229620933533
28,14,pico,0,-0.05066284164786339,-0.04470860958099365
29,14,pico,1,-0.06415122002363205,-0.043664295226335526
30,15,cabo,0,-0.08564592897891998,-0.07228238880634308
31,15,cabo,1,-0.0954107865691185,-0.09465500712394714
32,16,sierra,0,-0.10371830314397812,-0.08689908683300018
33,16,sierra,1,-0.07631225883960724,-0.06235422194004059
34,17,cólera,0,-0.09028316289186478,-0.07441142946481705
35,17,cólera,1,-0.02832474559545517,-0.028745729476213455
36,18,buzo,0,-0.13018779456615448,-0.12318779528141022
37,18,buzo,1,-0.09858879446983337,-0.09819212555885315
38,19,sostén,0,-0.1238836944103241,-0.11806294322013855
39,19,sostén,1,-0.06731113791465759,-0.06455232203006744
40,20,taco,0,-0.1068233996629715,-0.0954141616821289
41,20,taco,1,-0.11469777673482895,-0.10126573592424393
42,21,pluma,0,-0.08060932904481888,-0.09960311651229858
43,21,pluma,1,-0.0974336713552475,-0.10157918184995651
44,23,regla,0,-0.10723783820867538,-0.11212261021137238
45,23,regla,1,-0.08829392492771149,-0.0880885124206543
46,24,goma,0,-0.12244324386119843,-0.10823391377925873
47,24,goma,1,-0.1258474588394165,-0.1129203587770462
48,25,raíz,0,-0.08863285183906555,-0.07678326964378357
49,25,raíz,1,-0.07111914455890656,-0.07088257372379303
50,26,cuarto,0,-0.04730482026934624,-0.03561415895819664
51,26,cuarto,1,-0.012339718639850616,-0.01680697500705719
52,27,medio,0,-0.014687811955809593,-0.02336568385362625
53,27,medio,1,0.014543449506163597,0.0009693913161754608
54,28,cuenta,0,-0.03234462812542915,-0.041899070143699646
55,28,cuenta,1,-0.05437607318162918,-0.055518779903650284
56,29,nota,0,-0.10145634412765503,-0.10266868770122528
57,29,nota,1,-0.06556320190429688,-0.07288063317537308
58,30,órgano,0,-0.0848969891667366,-0.0675065889954567
59,30,órgano,1,-0.058346547186374664,-0.05844595655798912
60,31,batería,0,-0.173428475856781,-0.1340547800064087
61,31,batería,1,-0.12246163189411163,-0.11581827700138092
62,32,izquierda,0,-0.10010094940662384,-0.03690730407834053
63,32,izquierda,1,-0.03720976412296295,-0.03308956325054169
64,33,partido,0,-0.06757766753435135,-0.08595168590545654
65,33,partido,1,-0.11399038136005402,-0.09042911231517792
66,34,campaña,0,-0.10141634196043015,-0.09820884466171265
67,34,campaña,1,-0.18555541336536407,-0.18200506269931793
68,35,estado,0,-0.05920877307653427,-0.0629797875881195
69,35,estado,1,-0.024057665839791298,-0.014656443148851395
70,36,pastor,0,-0.0456138551235199,-0.04738482087850571
