,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.02802206203341484,-0.02896708995103836
1,00,raya,2,-0.029932646080851555,-0.02190558984875679
2,01,llama,1,-0.14205990731716156,-0.14250610768795013
3,01,llama,2,-0.040563225746154785,-0.0396917387843132
4,02,salamandra,1,-0.14461159706115723,-0.11398720741271973
5,02,salamandra,2,-0.07050847262144089,-0.054871074855327606
6,03,muñeca,1,-0.03179292753338814,-0.03552413731813431
7,03,muñeca,2,-0.07149551063776016,-0.06660546362400055
8,04,palma,1,-0.004899132065474987,0.0029278500005602837
9,04,palma,2,-0.06142282858490944,-0.04770740121603012
10,05,peso,1,-0.0035766540095210075,-0.002558613196015358
11,05,peso,2,-0.00896143913269043,-0.0194939486682415
12,06,banco,1,-0.0641317293047905,-0.019556589424610138
13,06,banco,2,-0.061452314257621765,-0.05882473289966583
14,07,tarjeta,1,-0.04927998036146164,-0.019508978351950645
15,07,tarjeta,2,-0.010538244619965553,0.008016098290681839
16,08,granada,1,-0.056754667311906815,-0.04859060049057007
17,08,granada,2,-0.010157814249396324,0.0051131173968315125
18,09,lima,1,-0.0920071005821228,-0.09067334979772568
19,09,lima,2,-0.058879554271698,-0.05663984268903732
20,10,mango,1,-0.07018288224935532,-0.06966280937194824
21,10,mango,2,-0.03559260070323944,-0.03220752626657486
22,11,copa,1,-0.09090615808963776,-0.09225647151470184
23,11,copa,2,-0.08888576924800873,-0.08362188935279846
24,12,arco,1,-0.09019725024700165,-0.086098313331604
25,12,arco,2,0.00494496850296855,0.003498147241771221
26,13,penal,1,-0.08302509784698486,-0.06557227671146393
27,13,penal,2,-0.013209901750087738,-0.006292659789323807
28,14,pico,1,-0.0215762909501791,-0.019310249015688896
29,14,pico,2,-0.02090414986014366,-0.02237076312303543
30,15,cabo,1,-0.126399964094162,-0.10676223039627075
31,15,cabo,2,-0.10405655205249786,-0.08888658136129379
32,16,sierra,1,-0.06309882551431656,-0.037487246096134186
33,16,sierra,2,-0.031357765197753906,-0.017763111740350723
34,17,cólera,1,-0.04706377536058426,-0.037050411105155945
35,17,cólera,2,0.006329613737761974,0.004565183073282242
36,18,buzo,1,-0.08583149313926697,-0.06639132648706436
37,18,buzo,2,-0.06525878608226776,-0.06465843319892883
38,19,sostén,1,-0.07598842680454254,-0.07299061119556427
39,19,sostén,2,-0.029299713671207428,-0.030644457787275314
40,20,taco,1,-0.08533760905265808,-0.08138858526945114
41,20,taco,2,-0.0943770706653595,-0.08996228873729706
42,21,pluma,1,-0.041945379227399826,-0.061297763139009476
43,21,pluma,2,-0.05813543498516083,-0.06166042014956474
44,23,regla,1,-0.07513134181499481,-0.05664484575390816
45,23,regla,2,-0.07261066883802414,-0.04084224998950958
46,24,goma,1,-0.07030351459980011,-0.04811953753232956
47,24,goma,2,-0.06401883810758591,-0.057646434754133224
48,25,raíz,1,-0.08128710091114044,-0.06582686305046082
49,25,raíz,2,-0.04971739649772644,-0.020771337673068047
50,26,cuarto,1,-0.02243848331272602,-0.01713412255048752
51,26,cuarto,2,0.026911884546279907,0.003949168138206005
52,27,medio,1,-0.06801983714103699,-0.06894071400165558
53,27,medio,2,-0.02450961247086525,-0.029475323855876923
54,28,cuenta,1,-0.05170077830553055,-0.0620277114212513
55,28,cuenta,2,-0.10575398057699203,-0.06989319622516632
56,29,nota,1,-0.07109278440475464,-0.06784436106681824
57,29,nota,2,-0.06347983330488205,-0.05497656762599945
58,30,órgano,1,-0.05985847860574722,-0.02504434809088707
59,30,órgano,2,-0.04357249289751053,-0.018238235265016556
60,31,batería,1,-0.1238340511918068,-0.08509384095668793
61,31,batería,2,-0.08513370156288147,-0.057447146624326706
62,32,izquierda,1,-0.0760522186756134,-0.011461639776825905
63,32,izquierda,2,-0.04656880721449852,-0.027397286146879196
64,33,partido,1,-0.03443334996700287,-0.026064474135637283
65,33,partido,2,-0.09092961996793747,-0.03504151478409767
66,34,campaña,1,-0.05942710489034653,-0.039402902126312256
67,34,campaña,2,-0.14322595298290253,-0.13673941791057587
68,35,estado,1,-0.05863787233829498,-0.039815206080675125
69,35,estado,2,-0.03914251923561096,-0.02722128853201866
70,36,pastor,1,0.012658849358558655,0.03775034844875336
71,36,pastor,2,-0.05263335257768631,-0.043083786964416504
72,37,oración,1,-0.017330577597022057,-0.0005790330469608307
73,37,oración,2,-0.07377208769321442,-0.058562733232975006
74,38,función,1,-0.08420702815055847,-0.05010540783405304
75,38,función,2,-0.04076676815748215,-0.03379630297422409
76,39,obra,1,-0.03309018164873123,-0.006981751881539822
77,39,obra,2,-0.04107501357793808,-0.034776873886585236
78,40,plataforma,1,-0.062456488609313965,-0.04086324945092201
79,40,plataforma,2,-0.07883217185735703,-0.026606572791934013
80,41,viral,1,-0.09011851996183395,-0.07859567552804947
81,41,viral,2,-0.09150669723749161,-0.06794928014278412
82,42,red,1,-0.04921681061387062,-0.01810726337134838
83,42,red,2,-0.04302969202399254,-0.03076789528131485
84,43,aplicación,1,-0.10602796822786331,-0.09757106006145477
85,43,aplicación,2,-0.08444733172655106,-0.08499671518802643
86,44,expreso,1,-0.02860531583428383,-0.018430206924676895
87,44,expreso,2,-0.08429842442274094,-0.08025665581226349
88,45,móvil,1,-0.026268329471349716,-0.018094707280397415
89,45,móvil,2,-0.04474703222513199,-0.03226175159215927
90,46,metro,1,-0.044275932013988495,-0.056097790598869324
91,46,metro,2,-0.08191429078578949,-0.09199259430170059
92,47,estación,1,-0.0556027777493,-0.04548964649438858
93,47,estación,2,-0.04562722519040108,-0.047045618295669556
