layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.36881503462791443,0.36881503462791443,0.0,0.0,0.0
1,00,1,raya,0.05041128396987915,0.03807929903268814,-0.01233198493719101,0.007350508455543759,0.0018192690273600076
2,00,1,raya,-0.02802206575870514,-0.02896709367632866,-0.0009450279176235199,0.011968701376896748,0.001567255023424946
3,00,1,raya,-0.052902303636074066,-0.05094320327043533,0.001959100365638733,0.009521429204045142,0.001339002664171941
4,00,1,raya,-0.06474292278289795,-0.06549939513206482,-0.0007564723491668701,0.0038374358728686547,0.0012860874210219202
5,00,1,raya,-0.06516357511281967,-0.053658388555049896,0.011505186557769775,0.002996750284937468,0.001318778290396901
6,00,1,raya,-0.061446718871593475,-0.050835706293582916,0.010611012578010559,0.001152359969676175,0.0013116319307121499
7,00,1,raya,-0.06171979010105133,-0.034710146486759186,0.027009643614292145,0.006064961832809321,0.0016941877155357045
8,00,1,raya,-0.06589639186859131,-0.021855924278497696,0.04404046759009361,0.012557754907360736,0.002099607633619488
9,00,1,raya,-0.08563055098056793,-0.006864752620458603,0.07876579836010933,0.019251567487446393,0.0025643119898493103
10,00,1,raya,-0.08340705931186676,0.00937027856707573,0.09277733787894249,0.024648209518574653,0.0032850260326336388
11,00,1,raya,-0.06437468528747559,0.025997547432780266,0.09037223272025585,0.025053617167980113,0.0033951887234371456
12,00,1,raya,-0.07630279660224915,0.010794097557663918,0.08709689415991306,0.030442149586420744,0.003541801102030487
0,00,2,raya,0.40612155199050903,0.40612155199050903,0.0,0.0,0.0
1,00,2,raya,0.035698652267456055,0.03261910751461983,-0.0030795447528362274,0.007350508455543759,0.0018192690273600076
2,00,2,raya,-0.04176038131117821,-0.02964891865849495,0.012111462652683258,0.011968701376896748,0.001567255023424946
3,00,2,raya,-0.07036392390727997,-0.06769238412380219,0.002671539783477783,0.009521429204045142,0.001339002664171941
4,00,2,raya,-0.09283573925495148,-0.09024937450885773,0.00258636474609375,0.0038374358728686547,0.0012860874210219202
5,00,2,raya,-0.10578208416700363,-0.09589467942714691,0.00988740473985672,0.002996750284937468,0.001318778290396901
6,00,2,raya,-0.09544628858566284,-0.08511373400688171,0.010332554578781128,0.001152359969676175,0.0013116319307121499
7,00,2,raya,-0.105924591422081,-0.10043517500162125,0.005489416420459747,0.006064961832809321,0.0016941877155357045
8,00,2,raya,-0.0943831354379654,-0.07063407450914383,0.023749060928821564,0.012557754907360736,0.002099607633619488
9,00,2,raya,-0.09276039153337479,-0.05635160952806473,0.03640878200531006,0.019251567487446393,0.0025643119898493103
10,00,2,raya,-0.06805530190467834,-0.029833704233169556,0.03822159767150879,0.024648209518574653,0.0032850260326336388
11,00,2,raya,-0.04250454530119896,-0.010495729744434357,0.0320088155567646,0.025053617167980113,0.0033951887234371456
12,00,2,raya,-0.027081333100795746,0.0045608654618263245,0.03164219856262207,0.030442149586420744,0.003541801102030487
0,01,1,llama,0.16023661196231842,0.16023661196231842,0.0,0.0,0.0
1,01,1,llama,-0.1219993382692337,-0.13129380345344543,-0.009294465184211731,0.007350508455543759,0.0018192690273600076
2,01,1,llama,-0.14205989241600037,-0.14250610768795013,-0.00044621527194976807,0.011968701376896748,0.001567255023424946
3,01,1,llama,-0.13444884121418,-0.13015511631965637,0.004293724894523621,0.009521429204045142,0.001339002664171941
4,01,1,llama,-0.15547944605350494,-0.1476036012172699,0.007875844836235046,0.0038374358728686547,0.0012860874210219202
5,01,1,llama,-0.16651184856891632,-0.15510514378547668,0.011406704783439636,0.002996750284937468,0.001318778290396901
6,01,1,llama,-0.19304990768432617,-0.18118149042129517,0.011868417263031006,0.001152359969676175,0.0013116319307121499
7,01,1,llama,-0.1966153383255005,-0.18589085340499878,0.010724484920501709,0.006064961832809321,0.0016941877155357045
8,01,1,llama,-0.19927220046520233,-0.1815846711397171,0.01768752932548523,0.012557754907360736,0.002099607633619488
9,01,1,llama,-0.19181111454963684,-0.18083401024341583,0.010977104306221008,0.019251567487446393,0.0025643119898493103
10,01,1,llama,-0.18105265498161316,-0.17555959522724152,0.005493059754371643,0.024648209518574653,0.0032850260326336388
