layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.9999999403953552,0.9999999403953552,0.0,0.0,0.0
1,00,1,raya,0.04871779680252075,0.04871779680252075,0.0,0.0,0.0
2,00,1,raya,-0.0017235828563570976,-0.0017235828563570976,0.0,0.0,0.0
3,00,1,raya,-0.025157654657959938,-0.025157654657959938,0.0,0.0,0.0
4,00,1,raya,-0.03284509852528572,-0.03284509852528572,0.0,0.0,0.0
5,00,1,raya,-0.03393428027629852,-0.03393428027629852,0.0,0.0,0.0
6,00,1,raya,-0.024761058390140533,-0.024761058390140533,0.0,0.0,0.0
7,00,1,raya,-0.013937295414507389,-0.013937295414507389,0.0,0.0,0.0
8,00,1,raya,-0.029456809163093567,-0.029456809163093567,0.0,0.0,0.0
9,00,1,raya,-0.027142435312271118,-0.027142435312271118,0.0,0.0,0.0
10,00,1,raya,-0.03107777237892151,-0.03107777237892151,0.0,0.0,0.0
11,00,1,raya,-0.012615401297807693,-0.012615401297807693,0.0,0.0,0.0
12,00,1,raya,-0.0006739739328622818,-0.0006739739328622818,0.0,0.0,0.0
0,00,2,raya,0.9999999403953552,0.9999999403953552,0.0,0.0,0.0
1,00,2,raya,0.04871779680252075,0.04871779680252075,0.0,0.0,0.0
2,00,2,raya,-0.0017235828563570976,-0.0017235828563570976,0.0,0.0,0.0
3,00,2,raya,-0.025157654657959938,-0.025157654657959938,0.0,0.0,0.0
4,00,2,raya,-0.03284509852528572,-0.03284509852528572,0.0,0.0,0.0
5,00,2,raya,-0.03393428027629852,-0.03393428027629852,0.0,0.0,0.0
6,00,2,raya,-0.024761058390140533,-0.024761058390140533,0.0,0.0,0.0
7,00,2,raya,-0.013937295414507389,-0.013937295414507389,0.0,0.0,0.0
8,00,2,raya,-0.029456809163093567,-0.029456809163093567,0.0,0.0,0.0
9,00,2,raya,-0.027142435312271118,-0.027142435312271118,0.0,0.0,0.0
10,00,2,raya,-0.03107777237892151,-0.03107777237892151,0.0,0.0,0.0
11,00,2,raya,-0.012615401297807693,-0.012615401297807693,0.0,0.0,0.0
12,00,2,raya,-0.0006739739328622818,-0.0006739739328622818,0.0,0.0,0.0
