layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.032309990376234055,0.032309990376234055,0.0,0.0,0.0
1,00,1,raya,-0.016950687393546104,-0.04115059971809387,0.024199912324547768,0.001298017487762139,0.0012571314992675321
2,00,1,raya,-0.04292749613523483,-0.06289982795715332,0.019972331821918488,-0.0019441292066364846,0.0013151681507138678
3,00,1,raya,-0.0573548749089241,-0.073524609208107,0.016169734299182892,-1.262531595978331e-06,0.0010691294782693241
4,00,1,raya,-0.052139006555080414,-0.06478781253099442,0.012648805975914001,0.002890176456817921,0.0011229234919954408
5,00,1,raya,-0.04559104144573212,-0.05405294522643089,0.008461903780698776,0.003323246001642435,0.0011633098473026269
6,00,1,raya,-0.049063026905059814,-0.05760735273361206,0.008544325828552246,0.0036931684577560173,0.0013168770057849844
7,00,1,raya,-0.052763789892196655,-0.07284583151340485,0.02008204162120819,0.0034115452993106333,0.0014383110925548514
8,00,1,raya,-0.04227682203054428,-0.07256479561328888,0.0302879735827446,0.003421841422095895,0.0016029428223620565
9,00,1,raya,-0.03870414197444916,-0.06989169120788574,0.031187549233436584,0.0009912288787358619,0.0018222120222641833
10,00,1,raya,-0.03906761109828949,-0.07009470462799072,0.031027093529701233,0.0026186269341393355,0.0020954693518381545
11,00,1,raya,-0.023413527756929398,-0.0514572411775589,0.0280437134206295,0.0027580122671466557,0.0021836917433233185
12,00,1,raya,-0.0137091763317585,-0.051466118544340134,0.037756942212581635,0.002870777854695916,0.002442526219803986
0,00,2,raya,0.20075029134750366,0.20075029134750366,0.0,0.0,0.0
1,00,2,raya,-0.07662063837051392,-0.0808759331703186,0.0042552947998046875,0.001298017487762139,0.0012571314992675321
2,00,2,raya,-0.12333725392818451,-0.11805261671543121,-0.005284637212753296,-0.0019441292066364846,0.0013151681507138678
3,00,2,raya,-0.14238128066062927,-0.14106854796409607,-0.0013127326965332031,-1.262531595978331e-06,0.0010691294782693241
4,00,2,raya,-0.152102530002594,-0.15210850536823273,5.97536563873291e-06,0.002890176456817921,0.0011229234919954408
5,00,2,raya,-0.14961716532707214,-0.1412966549396515,-0.008320510387420654,0.003323246001642435,0.0011633098473026269
6,00,2,raya,-0.15109339356422424,-0.14173898100852966,-0.00935441255569458,0.0036931684577560173,0.0013168770057849844
7,00,2,raya,-0.1681804060935974,-0.16122780740261078,-0.006952598690986633,0.0034115452993106333,0.0014383110925548514
8,00,2,raya,-0.1844756156206131,-0.17528770864009857,-0.009187906980514526,0.003421841422095895,0.0016029428223620565
9,00,2,raya,-0.19245514273643494,-0.17342522740364075,-0.01902991533279419,0.0009912288787358619,0.0018222120222641833
10,00,2,raya,-0.17640288174152374,-0.152903750538826,-0.023499131202697754,0.0026186269341393355,0.0020954693518381545
11,00,2,raya,-0.1514039784669876,-0.12955376505851746,-0.021850213408470154,0.0027580122671466557,0.0021836917433233185
12,00,2,raya,-0.13922257721424103,-0.11338400840759277,-0.025838568806648254,0.002870777854695916,0.002442526219803986
0,01,1,llama,0.11516785621643066,0.11516785621643066,0.0,0.0,0.0
1,01,1,llama,-0.008111421018838882,-0.015829622745513916,0.007718201726675034,0.001298017487762139,0.0012571314992675321
2,01,1,llama,-0.024108605459332466,-0.03666487708687782,0.012556271627545357,-0.0019441292066364846,0.0013151681507138678
3,01,1,llama,-0.019731108099222183,-0.030193986371159554,0.01046287827193737,-1.262531595978331e-06,0.0010691294782693241
4,01,1,llama,-0.04164846986532211,-0.05152599513530731,0.009877525269985199,0.002890176456817921,0.0011229234919954408
5,01,1,llama,-0.065236896276474,-0.06199267506599426,-0.0032442212104797363,0.003323246001642435,0.0011633098473026269
6,01,1,llama,-0.08383119851350784,-0.0784112960100174,-0.005419902503490448,0.0036931684577560173,0.0013168770057849844
7,01,1,llama,-0.09012039005756378,-0.08636193722486496,-0.003758452832698822,0.0034115452993106333,0.0014383110925548514
8,01,1,llama,-0.09918706119060516,-0.09782739728689194,-0.0013596639037132263,0.003421841422095895,0.0016029428223620565
9,01,1,llama,-0.10557515174150467,-0.1074221134185791,0.0018469616770744324,0.0009912288787358619,0.0018222120222641833
10,01,1,llama,-0.10657748579978943,-0.10867467522621155,0.002097189426422119,0.0026186269341393355,0.0020954693518381545
11,01,1,llama,-0.08894169330596924,-0.08915233612060547,0.00021064281463623047,0.0027580122671466557,0.0021836917433233185
12,01,1,llama,-0.10058463364839554,-0.09292382001876831,-0.007660813629627228,0.002870777854695916,0.002442526219803986
0,01,2,llama,0.11412523686885834,0.11412523686885834,0.0,0.0,0.0
