layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.16801810264587402,0.16801810264587402,0.0,0.0,0.0
1,00,1,raya,0.021475454792380333,0.01738520711660385,-0.004090247675776482,0.006738880968731927,0.001594150730651099
2,00,1,raya,0.006838728673756123,0.008134162053465843,0.0012954333797097206,0.011136647511986977,0.0014940928243241329
3,00,1,raya,-0.013371383771300316,-0.01784081570804119,-0.004469431936740875,0.008692091776731801,0.0013561913476128637
4,00,1,raya,-0.04088830202817917,-0.04785103723406792,-0.006962735205888748,0.00468021862089951,0.0013508268026153527
5,00,1,raya,-0.04685588926076889,-0.0457770898938179,0.0010787993669509888,0.003977443350409653,0.0014042882242260909
6,00,1,raya,-0.05359358713030815,-0.052460622042417526,0.001132965087890625,0.0027086424363895936,0.00141441595534365
7,00,1,raya,-0.06971125304698944,-0.055634867399930954,0.014076385647058487,0.007131091730193572,0.001852875532212977
8,00,1,raya,-0.0769820511341095,-0.04649747908115387,0.030484572052955627,0.012677359493806007,0.0022174709741237903
9,00,1,raya,-0.10628469288349152,-0.05599246174097061,0.050292231142520905,0.016956778867368367,0.0025764915042014998
10,00,1,raya,-0.12209133058786392,-0.054829441010951996,0.06726188957691193,0.020285288877587054,0.003133979604164742
11,00,1,raya,-0.1066555380821228,-0.04772678390145302,0.058928754180669785,0.020249001666943125,0.0033063032093155137
12,00,1,raya,-0.1009569987654686,-0.050924792885780334,0.05003220587968826,0.02496153738924322,0.0035464415032858145
0,00,2,raya,0.40422001481056213,0.40422001481056213,0.0,0.0,0.0
1,00,2,raya,0.03511885926127434,0.03622514009475708,0.0011062808334827423,0.006738880968731927,0.001594150730651099
2,00,2,raya,-0.03613904491066933,-0.02183378115296364,0.014305263757705688,0.011136647511986977,0.0014940928243241329
3,00,2,raya,-0.06348489224910736,-0.05766076594591141,0.005824126303195953,0.008692091776731801,0.0013561913476128637
4,00,2,raya,-0.08344215154647827,-0.07910829782485962,0.004333853721618652,0.00468021862089951,0.0013508268026153527
5,00,2,raya,-0.09856122732162476,-0.08516693115234375,0.013394296169281006,0.003977443350409653,0.0014042882242260909
6,00,2,raya,-0.08580263704061508,-0.07256148755550385,0.013241149485111237,0.0027086424363895936,0.00141441595534365
7,00,2,raya,-0.08970776945352554,-0.08221118897199631,0.007496580481529236,0.007131091730193572,0.001852875532212977
8,00,2,raya,-0.07798737287521362,-0.051606543362140656,0.026380829513072968,0.012677359493806007,0.0022174709741237903
9,00,2,raya,-0.07214492559432983,-0.03449203073978424,0.03765289485454559,0.016956778867368367,0.0025764915042014998
10,00,2,raya,-0.046315696090459824,-0.001268995925784111,0.04504670016467571,0.020285288877587054,0.003133979604164742
11,00,2,raya,-0.019837912172079086,0.019724639132618904,0.03956255130469799,0.020249001666943125,0.0033063032093155137
12,00,2,raya,-0.003834739327430725,0.03569083660840988,0.03952557593584061,0.02496153738924322,0.0035464415032858145
0,01,1,llama,0.07595562934875488,0.07595562934875488,0.0,0.0,0.0
1,01,1,llama,-0.03719179332256317,-0.0303701963275671,0.006821596994996071,0.006738880968731927,0.001594150730651099
2,01,1,llama,-0.03540726751089096,-0.027538316324353218,0.007868951186537743,0.011136647511986977,0.0014940928243241329
3,01,1,llama,-0.025824565440416336,-0.02286263182759285,0.0029619336128234863,0.008692091776731801,0.0013561913476128637
4,01,1,llama,-0.03497312217950821,-0.031046798452734947,0.003926323726773262,0.00468021862089951,0.0013508268026153527
5,01,1,llama,-0.053726620972156525,-0.04412961006164551,0.009597010910511017,0.003977443350409653,0.0014042882242260909
6,01,1,llama,-0.06662040203809738,-0.05830152705311775,0.00831887498497963,0.0027086424363895936,0.00141441595534365
7,01,1,llama,-0.07136264443397522,-0.06342940032482147,0.007933244109153748,0.007131091730193572,0.001852875532212977
8,01,1,llama,-0.09129786491394043,-0.08046530932188034,0.010832555592060089,0.012677359493806007,0.0022174709741237903
9,01,1,llama,-0.10948926210403442,-0.09819985926151276,0.011289402842521667,0.016956778867368367,0.0025764915042014998
10,01,1,llama,-0.11897836625576019,-0.10391932725906372,0.015059038996696472,0.020285288877587054,0.003133979604164742
11,01,1,llama,-0.10435231029987335,-0.08708661049604416,0.017265699803829193,0.020249001666943125,0.0033063032093155137
12,01,1,llama,-0.12031224370002747,-0.09019254148006439,0.030119702219963074,0.02496153738924322,0.0035464415032858145
0,01,2,llama,0.050084300339221954,0.050084300339221954,0.0,0.0,0.0
1,01,2,llama,-0.01985001191496849,-0.003784673288464546,0.016065338626503944,0.006738880968731927,0.001594150730651099
2,01,2,llama,-0.031024472787976265,-0.019470255821943283,0.011554216966032982,0.011136647511986977,0.0014940928243241329
3,01,2,llama,-0.03417801111936569,-0.023984290659427643,0.01019372045993805,0.008692091776731801,0.0013561913476128637
4,01,2,llama,-0.03725536912679672,-0.02081221342086792,0.016443155705928802,0.00468021862089951,0.0013508268026153527
5,01,2,llama,-0.03724094480276108,-0.035998761653900146,0.0012421831488609314,0.003977443350409653,0.0014042882242260909
6,01,2,llama,-0.038644034415483475,-0.038641564548015594,2.469867467880249e-06,0.0027086424363895936,0.00141441595534365
7,01,2,llama,-0.034246765077114105,-0.0474807471036911,-0.013233982026576996,0.007131091730193572,0.001852875532212977
8,01,2,llama,-0.04761617258191109,-0.05430114269256592,-0.006684970110654831,0.012677359493806007,0.0022174709741237903
9,01,2,llama,-0.028758034110069275,-0.03856154531240463,-0.009803511202335358,0.016956778867368367,0.0025764915042014998
10,01,2,llama,-0.019005050882697105,-0.02754148468375206,-0.008536433801054955,0.020285288877587054,0.003133979604164742
11,01,2,llama,0.006536270957440138,-0.008449271321296692,-0.01498554227873683,0.020249001666943125,0.0033063032093155137
12,01,2,llama,0.002585657872259617,-0.006865207105875015,-0.009450864978134632,0.02496153738924322,0.0035464415032858145
0,02,1,salamandra,0.1545446664094925,0.1545446664094925,0.0,0.0,0.0
1,02,1,salamandra,-0.046918466687202454,-0.028069179505109787,0.018849287182092667,0.006738880968731927,0.001594150730651099
2,02,1,salamandra,-0.052363231778144836,-0.025114044547080994,0.027249187231063843,0.011136647511986977,0.0014940928243241329
3,02,1,salamandra,-0.057033173739910126,-0.03648660331964493,0.020546570420265198,0.008692091776731801,0.0013561913476128637
4,02,1,salamandra,-0.07192117720842361,-0.05183568596839905,0.020085491240024567,0.00468021862089951,0.0013508268026153527
5,02,1,salamandra,-0.08335614204406738,-0.06568358838558197,0.017672553658485413,0.003977443350409653,0.0014042882242260909
6,02,1,salamandra,-0.08055855333805084,-0.06117181479930878,0.019386738538742065,0.0027086424363895936,0.00141441595534365
7,02,1,salamandra,-0.0771903246641159,-0.050927743315696716,0.02626258134841919,0.007131091730193572,0.001852875532212977
8,02,1,salamandra,-0.08052024990320206,-0.04521481320261955,0.035305436700582504,0.012677359493806007,0.0022174709741237903
9,02,1,salamandra,-0.08260995149612427,-0.04126519709825516,0.04134475439786911,0.016956778867368367,0.0025764915042014998
10,02,1,salamandra,-0.0873422846198082,-0.039514441043138504,0.04782784357666969,0.020285288877587054,0.003133979604164742
11,02,1,salamandra,-0.08145226538181305,-0.04093281924724579,0.04051944613456726,0.020249001666943125,0.0033063032093155137
12,02,1,salamandra,-0.0627318024635315,-0.02170383557677269,0.041027966886758804,0.02496153738924322,0.0035464415032858145
0,02,2,salamandra,0.292216956615448,0.292216956615448,0.0,0.0,0.0
1,02,2,salamandra,-0.029382815584540367,-0.026408784091472626,0.0029740314930677414,0.006738880968731927,0.001594150730651099
2,02,2,salamandra,-0.0864236056804657,-0.06943687796592712,0.016986727714538574,0.011136647511986977,0.0014940928243241329
3,02,2,salamandra,-0.09790989756584167,-0.08463199436664581,0.013277903199195862,0.008692091776731801,0.0013561913476128637
4,02,2,salamandra,-0.11101225018501282,-0.09184280037879944,0.01916944980621338,0.00468021862089951,0.0013508268026153527
5,02,2,salamandra,-0.10751376301050186,-0.09694106876850128,0.01057269424200058,0.003977443350409653,0.0014042882242260909
6,02,2,salamandra,-0.11751484870910645,-0.11261753737926483,0.004897311329841614,0.0027086424363895936,0.00141441595534365
7,02,2,salamandra,-0.1298268884420395,-0.11028341948986053,0.019543468952178955,0.007131091730193572,0.001852875532212977
8,02,2,salamandra,-0.1390632688999176,-0.11690737307071686,0.022155895829200745,0.012677359493806007,0.0022174709741237903
9,02,2,salamandra,-0.14997848868370056,-0.12575113773345947,0.02422735095024109,0.016956778867368367,0.0025764915042014998
10,02,2,salamandra,-0.16075804829597473,-0.1446615606546402,0.016096487641334534,0.020285288877587054,0.003133979604164742
11,02,2,salamandra,-0.14080962538719177,-0.13106155395507812,0.009748071432113647,0.020249001666943125,0.0033063032093155137
12,02,2,salamandra,-0.13633595407009125,-0.12177383899688721,0.01456211507320404,0.02496153738924322,0.0035464415032858145
0,03,1,muñeca,0.4625757336616516,0.4625757336616516,0.0,0.0,0.0
1,03,1,muñeca,0.0048093032091856,-0.011434714309871197,-0.016244017519056797,0.006738880968731927,0.001594150730651099
2,03,1,muñeca,-0.01825694553554058,-0.027621585875749588,-0.009364640340209007,0.011136647511986977,0.0014940928243241329
3,03,1,muñeca,-0.023060116916894913,-0.039173424243927,-0.01611330732703209,0.008692091776731801,0.0013561913476128637
4,03,1,muñeca,-0.019287046045064926,-0.04020128399133682,-0.020914237946271896,0.00468021862089951,0.0013508268026153527
5,03,1,muñeca,-0.02684631757438183,-0.04395577684044838,-0.01710945926606655,0.003977443350409653,0.0014042882242260909
