layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.30073338747024536,0.30073338747024536,0.0,0.0,0.0
1,00,1,raya,0.03983943536877632,0.029065152630209923,-0.010774282738566399,0.007426678500276931,0.0017160346944779614
2,00,1,raya,-0.030501186847686768,-0.030468307435512543,3.2879412174224854e-05,0.011736060591771248,0.0017174802320760805
3,00,1,raya,-0.04941346123814583,-0.047497786581516266,0.0019156746566295624,0.009306381436738563,0.0013980386556975177
4,00,1,raya,-0.06722433865070343,-0.070028156042099,-0.002803817391395569,0.00413508696402324,0.001264112244523243
5,00,1,raya,-0.07397467643022537,-0.06537678837776184,0.008597888052463531,0.0038828158285468817,0.0012054156351283497
6,00,1,raya,-0.06853976845741272,-0.06197037175297737,0.0065693967044353485,0.002168273642421403,0.0011863822096755598
7,00,1,raya,-0.07311709225177765,-0.050751443952322006,0.022365648299455643,0.006675747005229301,0.0016327140838512527
8,00,1,raya,-0.08130323141813278,-0.039301931858062744,0.04200129956007004,0.01279597867656737,0.0020332137199035373
9,00,1,raya,-0.10394792258739471,-0.024453382939100266,0.07949453964829445,0.01967491281337719,0.002402044252382492
10,00,1,raya,-0.09673982858657837,-0.0023317872546613216,0.09440804133191705,0.024115821242609872,0.00306724921933956
11,00,1,raya,-0.0751924067735672,0.016456523910164833,0.09164893068373203,0.023933700895174704,0.003220874688248629
12,00,1,raya,-0.07712031900882721,0.009934484958648682,0.08705480396747589,0.029461974679353707,0.0034059351026747733
0,00,2,raya,0.3153352737426758,0.3153352737426758,0.0,0.0,0.0
1,00,2,raya,-0.021755971014499664,-0.023539405316114426,-0.0017834343016147614,0.007426678500276931,0.0017160346944779614
2,00,2,raya,-0.06555639207363129,-0.058184023946523666,0.00737236812710762,0.011736060591771248,0.0017174802320760805
3,00,2,raya,-0.08235221356153488,-0.08162800967693329,0.000724203884601593,0.009306381436738563,0.0013980386556975177
4,00,2,raya,-0.09822195768356323,-0.09935961663722992,-0.001137658953666687,0.00413508696402324,0.001264112244523243
5,00,2,raya,-0.09953692555427551,-0.09099919348955154,0.008537732064723969,0.0038828158285468817,0.0012054156351283497
6,00,2,raya,-0.08767899870872498,-0.07791897654533386,0.009760022163391113,0.002168273642421403,0.0011863822096755598
7,00,2,raya,-0.09848224371671677,-0.08853833377361298,0.00994390994310379,0.006675747005229301,0.0016327140838512527
8,00,2,raya,-0.08448315411806107,-0.06071700155735016,0.023766152560710907,0.01279597867656737,0.0020332137199035373
9,00,2,raya,-0.08477553725242615,-0.05914995074272156,0.02562558650970459,0.01967491281337719,0.002402044252382492
