,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,0,-0.06589637696743011,-0.021855918690562248
1,00,raya,1,-0.09203215688467026,-0.0685235932469368
2,01,llama,0,-0.19927215576171875,-0.1815846860408783
3,01,llama,1,-0.06472410261631012,-0.06747759133577347
4,02,salamandra,0,-0.14885313808918,-0.12252569198608398
5,02,salamandra,1,-0.12021897733211517,-0.10301223397254944
6,03,muñeca,0,-0.0796113908290863,-0.08537264913320541
7,03,muñeca,1,-0.09433324635028839,-0.10602306574583054
8,04,palma,0,-0.02552952989935875,-0.018060429021716118
9,04,palma,1,-0.08426724374294281,-0.06719289720058441
10,05,peso,0,-0.05392064154148102,-0.04803667962551117
11,05,peso,1,-0.039212796837091446,-0.04489186406135559
12,06,banco,0,-0.14069482684135437,-0.11088772118091583
13,06,banco,1,-0.10197767615318298,-0.08625450730323792
14,07,tarjeta,0,-0.10244308412075043,-0.08882421255111694
15,07,tarjeta,1,-0.03987600654363632,-0.028129132464528084
16,08,granada,0,-0.14010365307331085,-0.1323443353176117
17,08,granada,1,-0.08119995892047882,-0.06714431941509247
18,09,lima,0,-0.13293702900409698,-0.11556737869977951
19,09,lima,1,-0.12157639861106873,-0.11140038818120956
20,10,mango,0,-0.11289876699447632,-0.10377801209688187
21,10,mango,1,-0.08167387545108795,-0.07343364506959915
22,11,copa,0,-0.12133876979351044,-0.12755215167999268
23,11,copa,1,-0.0907503217458725,-0.12540024518966675
24,12,arco,0,-0.1590140461921692,-0.15334266424179077
25,12,arco,1,-0.042362090200185776,-0.05353982746601105
26,13,penal,0,-0.12824852764606476,-0.1216621845960617
27,13,penal,1,-0.05558968707919121,-0.05357648432254791
28,14,pico,0,-0.07327700406312943,-0.04560880362987518
29,14,pico,1,-0.08798816800117493,-0.05626017600297928
30,15,cabo,0,-0.11859950423240662,-0.08874113857746124
31,15,cabo,1,-0.10085245966911316,-0.0932149812579155
32,16,sierra,0,-0.11846476793289185,-0.0705600157380104
33,16,sierra,1,-0.06092900410294533,-0.04889525845646858
34,17,cólera,0,-0.10898423194885254,-0.07983486354351044
35,17,cólera,1,-0.05369321256875992,-0.035064488649368286
36,18,buzo,0,-0.14182788133621216,-0.11896589398384094
37,18,buzo,1,-0.10679957270622253,-0.0836447924375534
38,19,sostén,0,-0.12221506237983704,-0.07337987422943115
39,19,sostén,1,-0.05958724766969681,-0.029354995116591454
40,20,taco,0,-0.10554105043411255,-0.07697746157646179
41,20,taco,1,-0.12544018030166626,-0.09924489259719849
42,21,pluma,0,-0.07060479372739792,-0.0757589340209961
43,21,pluma,1,-0.10638085007667542,-0.09131381660699844
44,23,regla,0,-0.08966069668531418,-0.0888969898223877
45,23,regla,1,-0.06643104553222656,-0.06651435792446136
46,24,goma,0,-0.09974722564220428,-0.10574795305728912
47,24,goma,1,-0.13873237371444702,-0.11888233572244644
48,25,raíz,0,-0.12253013253211975,-0.06919471174478531
49,25,raíz,1,-0.0971754789352417,-0.09832309186458588
50,26,cuarto,0,-0.06199059635400772,-0.006954584736377001
51,26,cuarto,1,-0.019712187349796295,0.004786227829754353
