,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.07630278170108795,0.01079409010708332
1,00,raya,2,-0.0433773472905159,-0.01149454340338707
2,01,llama,1,-0.1330287605524063,-0.10231755673885345
3,01,llama,2,-0.03511467203497887,-0.022944152355194092
4,02,salamandra,1,-0.07249709218740463,-0.035522039979696274
5,02,salamandra,2,-0.12098845094442368,-0.10528004914522171
6,03,muñeca,1,-0.07665236294269562,-0.08250441402196884
7,03,muñeca,2,-0.08876223862171173,-0.07957428693771362
8,04,palma,1,-0.05988648533821106,-0.052123554050922394
9,04,palma,2,-0.0654793232679367,-0.02054927870631218
10,05,peso,1,-0.04948841780424118,-0.03877755254507065
11,05,peso,2,-0.0025444086641073227,-0.0017714053392410278
12,06,banco,1,-0.12780119478702545,-0.07679598778486252
13,06,banco,2,-0.07379904389381409,-0.04552929848432541
14,07,tarjeta,1,-0.07864119112491608,-0.0418420135974884
15,07,tarjeta,2,-0.039730384945869446,-0.012980498373508453
16,08,granada,1,-0.08093757182359695,-0.07112038880586624
17,08,granada,2,-0.06896893680095673,-0.04054754972457886
18,09,lima,1,-0.04768950492143631,0.02218099683523178
19,09,lima,2,-0.03815802186727524,-0.0038231387734413147
20,10,mango,1,-0.03555376082658768,-0.02937154658138752
21,10,mango,2,-0.04216156154870987,-0.05635476112365723
22,11,copa,1,-0.08449111133813858,-0.0821244940161705
23,11,copa,2,-0.04251987114548683,-0.08182583749294281
24,12,arco,1,-0.09467130154371262,-0.05243323743343353
25,12,arco,2,-0.02259122207760811,-0.0377737320959568
26,13,penal,1,-0.08947019279003143,-0.0859229788184166
27,13,penal,2,-0.05418059974908829,-0.025263827294111252
28,14,pico,1,-0.07929857820272446,-0.037378210574388504
29,14,pico,2,-0.10266855359077454,-0.04825965315103531
30,15,cabo,1,-0.07337358593940735,-0.014118310064077377
31,15,cabo,2,-0.04911017417907715,-0.03218727558851242
32,16,sierra,1,-0.09138491749763489,-0.004912372678518295
33,16,sierra,2,-0.05861508473753929,-0.06740770488977432
34,17,cólera,1,-0.08414910733699799,-0.014530112035572529
35,17,cólera,2,-0.02993873506784439,-0.03938237577676773
36,18,buzo,1,-0.05747968703508377,0.0030977874994277954
37,18,buzo,2,-0.06281030923128128,0.02717394381761551
38,19,sostén,1,-0.10008467733860016,-0.010106965899467468
39,19,sostén,2,-0.10795291513204575,-0.04638233035802841
40,20,taco,1,-0.08486483991146088,-0.013619102537631989
41,20,taco,2,-0.07248394936323166,0.034345053136348724
42,21,pluma,1,-0.026036221534013748,-0.027076076716184616
43,21,pluma,2,-0.06533818691968918,-0.04806225001811981
44,23,regla,1,-0.0882057398557663,-0.06267045438289642
45,23,regla,2,-0.05871645733714104,-0.03328825533390045
46,24,goma,1,-0.03918662667274475,-0.02935439720749855
47,24,goma,2,-0.07953334599733353,-0.03168820962309837
48,25,raíz,1,-0.11821337044239044,-0.01665658876299858
49,25,raíz,2,-0.04926154017448425,-0.010389774106442928
50,26,cuarto,1,-0.050255320966243744,0.03106781840324402
51,26,cuarto,2,0.013983391225337982,0.047448255121707916
52,27,medio,1,-0.11012743413448334,-0.08830690383911133
53,27,medio,2,-0.049225468188524246,-0.07423341274261475
54,28,cuenta,1,-0.05655383691191673,-0.05173606425523758
55,28,cuenta,2,-0.030084017664194107,-0.019407061859965324
56,29,nota,1,-0.11513713002204895,-0.0917939692735672
57,29,nota,2,-0.073846735060215,-0.06280018389225006
58,30,órgano,1,-0.07521812617778778,-0.031129319220781326
59,30,órgano,2,-0.018891466781497,0.01955513469874859
60,31,batería,1,-0.11409991979598999,-0.04606354236602783
61,31,batería,2,-0.003908265382051468,-0.011614048853516579
62,32,izquierda,1,-0.13754934072494507,0.014072652906179428
63,32,izquierda,2,-0.08004509657621384,-0.05802086368203163
64,33,partido,1,-0.03777860477566719,-0.04497089609503746
65,33,partido,2,-0.0628536269068718,-0.02938428893685341
66,34,campaña,1,-0.08708368241786957,-0.07405835390090942
67,34,campaña,2,-0.11186528205871582,-0.11876797676086426
68,35,estado,1,-0.10254266113042831,-0.048698972910642624
69,35,estado,2,-0.05528764799237251,0.021535072475671768
70,36,pastor,1,-0.019868262112140656,-0.05431704223155975
71,36,pastor,2,-0.0546039342880249,-0.08561974763870239
72,37,oración,1,-0.034597139805555344,-0.01180003397166729
73,37,oración,2,-0.09525229781866074,-0.08095638453960419
74,38,función,1,-0.10401231050491333,-0.07169882953166962
75,38,función,2,-0.10662061721086502,-0.039723485708236694
76,39,obra,1,-0.06468024849891663,-0.02004225365817547
77,39,obra,2,-0.07630264014005661,-0.009697368368506432
78,40,plataforma,1,-0.01671246998012066,0.001275850459933281
79,40,plataforma,2,-0.07125949114561081,-0.006596624851226807
80,41,viral,1,-0.10022302716970444,-0.07232698798179626
81,41,viral,2,-0.1057625561952591,-0.03604397550225258
82,42,red,1,-0.05464143678545952,-0.018814707174897194
83,42,red,2,-0.022520070895552635,-0.03599875420331955
84,43,aplicación,1,-0.08770017325878143,-0.026630355045199394
85,43,aplicación,2,-0.08602747321128845,-0.03369346633553505
86,44,expreso,1,0.030724888667464256,0.024137163534760475
87,44,expreso,2,-0.07738996297121048,-0.08137968927621841
88,45,móvil,1,-0.03979659825563431,-0.055632203817367554
89,45,móvil,2,-0.03387937322258949,-0.01626606285572052
90,46,metro,1,-0.039427749812603,-0.0415983684360981
91,46,metro,2,-0.14379359781742096,-0.11035454273223877
92,47,estación,1,-0.074162557721138,-0.06191039830446243
93,47,estación,2,-0.0910661444067955,-0.049607038497924805
