layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.3635106086730957,0.3635106086730957,0.0,0.0,0.0
1,00,1,raya,0.05590092018246651,0.04030526429414749,-0.015595655888319016,0.0072679615262499515,0.0017992593273818982
2,00,1,raya,-0.019980406388640404,-0.027573391795158386,-0.0075929854065179825,0.011578624587545687,0.0015824162398227685
3,00,1,raya,-0.04817962646484375,-0.051436301320791245,-0.0032566748559474945,0.009196979672390413,0.0013421797887823508
4,00,1,raya,-0.06309406459331512,-0.06787405163049698,-0.004779987037181854,0.0036542751390407696,0.001266422289762699
5,00,1,raya,-0.064488485455513,-0.056051142513751984,0.008437342941761017,0.0027169394851761296,0.0012894869319460725
6,00,1,raya,-0.06435052305459976,-0.05619366466999054,0.008156858384609222,0.0008745575026470296,0.0012919181205393875
7,00,1,raya,-0.06549542397260666,-0.04072008281946182,0.024775341153144836,0.005921314906408178,0.0016695318607672083
8,00,1,raya,-0.07164891064167023,-0.03055148757994175,0.04109742306172848,0.01254622722936279,0.002079815113175491
9,00,1,raya,-0.090514175593853,-0.015325060114264488,0.07518911547958851,0.019330648636009466,0.0025689832310478956
10,00,1,raya,-0.08604402840137482,0.0034726690500974655,0.08951669745147228,0.024922559508419734,0.0032812674485817833
11,00,1,raya,-0.06803326308727264,0.020799703896045685,0.08883296698331833,0.025330424189884612,0.0033890051140734474
12,00,1,raya,-0.08035516738891602,0.008471626788377762,0.08882679417729378,0.030646430947718784,0.0035163870393219265
0,00,2,raya,0.387960821390152,0.387960821390152,0.0,0.0,0.0
1,00,2,raya,0.05938535928726196,0.054427094757556915,-0.004958264529705048,0.0072679615262499515,0.0017992593273818982
2,00,2,raya,-0.0073463208973407745,-0.0048796311020851135,0.002466689795255661,0.011578624587545687,0.0015824162398227685
3,00,2,raya,-0.04002603888511658,-0.04256883263587952,-0.0025427937507629395,0.009196979672390413,0.0013421797887823508
4,00,2,raya,-0.06500048190355301,-0.06325823068618774,0.001742251217365265,0.0036542751390407696,0.001266422289762699
5,00,2,raya,-0.0803966149687767,-0.07343698292970657,0.006959632039070129,0.0027169394851761296,0.0012894869319460725
6,00,2,raya,-0.06949856877326965,-0.0616472028195858,0.007851365953683853,0.0008745575026470296,0.0012919181205393875
7,00,2,raya,-0.07572105526924133,-0.0734197199344635,0.002301335334777832,0.005921314906408178,0.0016695318607672083
8,00,2,raya,-0.06522494554519653,-0.044033847749233246,0.021191097795963287,0.01254622722936279,0.002079815113175491
9,00,2,raya,-0.06524980813264847,-0.03198491409420967,0.0332648940384388,0.019330648636009466,0.0025689832310478956
10,00,2,raya,-0.042759403586387634,-0.0066998060792684555,0.03605959750711918,0.024922559508419734,0.0032812674485817833
11,00,2,raya,-0.022762592881917953,0.00897439569234848,0.031736988574266434,0.025330424189884612,0.0033890051140734474
12,00,2,raya,-0.019914042204618454,0.015471240505576134,0.03538528271019459,0.030646430947718784,0.0035163870393219265
0,01,1,llama,0.12808045744895935,0.12808045744895935,0.0,0.0,0.0
1,01,1,llama,-0.13629016280174255,-0.14082622528076172,-0.004536062479019165,0.0072679615262499515,0.0017992593273818982
2,01,1,llama,-0.15331324934959412,-0.1511785387992859,0.0021347105503082275,0.011578624587545687,0.0015824162398227685
3,01,1,llama,-0.14694881439208984,-0.14149901270866394,0.005449801683425903,0.009196979672390413,0.0013421797887823508
4,01,1,llama,-0.16561169922351837,-0.1595498025417328,0.0060618966817855835,0.0036542751390407696,0.001266422289762699
5,01,1,llama,-0.1773238331079483,-0.16855522990226746,0.008768603205680847,0.0027169394851761296,0.0012894869319460725
6,01,1,llama,-0.20093953609466553,-0.19168482720851898,0.009254708886146545,0.0008745575026470296,0.0012919181205393875
7,01,1,llama,-0.20482821762561798,-0.19527015089988708,0.009558066725730896,0.005921314906408178,0.0016695318607672083
8,01,1,llama,-0.19942417740821838,-0.18311317265033722,0.016311004757881165,0.01254622722936279,0.002079815113175491
9,01,1,llama,-0.1887967586517334,-0.17729219794273376,0.011504560708999634,0.019330648636009466,0.0025689832310478956
10,01,1,llama,-0.17381390929222107,-0.1683785617351532,0.005435347557067871,0.024922559508419734,0.0032812674485817833
11,01,1,llama,-0.11388435959815979,-0.10439121723175049,0.009493142366409302,0.025330424189884612,0.0033890051140734474
12,01,1,llama,-0.1208295002579689,-0.08843673020601273,0.03239277005195618,0.030646430947718784,0.0035163870393219265
0,01,2,llama,0.2800864577293396,0.2800864577293396,0.0,0.0,0.0
1,01,2,llama,-0.02421814203262329,-0.016247637569904327,0.007970504462718964,0.0072679615262499515,0.0017992593273818982
2,01,2,llama,-0.04468099772930145,-0.041452422738075256,0.0032285749912261963,0.011578624587545687,0.0015824162398227685
3,01,2,llama,-0.03629990294575691,-0.02759590372443199,0.00870399922132492,0.009196979672390413,0.0013421797887823508
4,01,2,llama,-0.04932768642902374,-0.04778796434402466,0.0015397220849990845,0.0036542751390407696,0.001266422289762699
5,01,2,llama,-0.05589357390999794,-0.06021290272474289,-0.004319328814744949,0.0027169394851761296,0.0012894869319460725
6,01,2,llama,-0.08028507232666016,-0.08166678994894028,-0.0013817176222801208,0.0008745575026470296,0.0012919181205393875
7,01,2,llama,-0.05111246556043625,-0.052468191832304,-0.001355726271867752,0.005921314906408178,0.0016695318607672083
8,01,2,llama,-0.06384152173995972,-0.06239650398492813,0.0014450177550315857,0.01254622722936279,0.002079815113175491
9,01,2,llama,-0.06551449745893478,-0.06007220223546028,0.0054422952234745026,0.019330648636009466,0.0025689832310478956
10,01,2,llama,-0.07033801078796387,-0.06739281117916107,0.0029451996088027954,0.024922559508419734,0.0032812674485817833
11,01,2,llama,-0.02733800746500492,-0.032930612564086914,-0.005592605099081993,0.025330424189884612,0.0033890051140734474
12,01,2,llama,-0.03522021323442459,-0.01794491708278656,0.01727529615163803,0.030646430947718784,0.0035163870393219265
0,02,1,salamandra,0.35361528396606445,0.35361528396606445,0.0,0.0,0.0
1,02,1,salamandra,-0.08128400146961212,-0.059943847358226776,0.021340154111385345,0.0072679615262499515,0.0017992593273818982
2,02,1,salamandra,-0.14289745688438416,-0.11073996126651764,0.032157495617866516,0.011578624587545687,0.0015824162398227685
3,02,1,salamandra,-0.1557822823524475,-0.13222676515579224,0.023555517196655273,0.009196979672390413,0.0013421797887823508
4,02,1,salamandra,-0.16625595092773438,-0.14492332935333252,0.021332621574401855,0.0036542751390407696,0.001266422289762699
5,02,1,salamandra,-0.15702152252197266,-0.1431175172328949,0.013904005289077759,0.0027169394851761296,0.0012894869319460725
6,02,1,salamandra,-0.1555744707584381,-0.14756372570991516,0.00801074504852295,0.0008745575026470296,0.0012919181205393875
7,02,1,salamandra,-0.15256473422050476,-0.13474664092063904,0.017818093299865723,0.005921314906408178,0.0016695318607672083
8,02,1,salamandra,-0.14302878081798553,-0.11362260580062866,0.029406175017356873,0.01254622722936279,0.002079815113175491
9,02,1,salamandra,-0.138336181640625,-0.1019897311925888,0.036346450448036194,0.019330648636009466,0.0025689832310478956
10,02,1,salamandra,-0.13710519671440125,-0.09557819366455078,0.041527003049850464,0.024922559508419734,0.0032812674485817833
11,02,1,salamandra,-0.09194846451282501,-0.05374382436275482,0.03820464015007019,0.025330424189884612,0.0033890051140734474
12,02,1,salamandra,-0.06886738538742065,-0.020671378821134567,0.04819600656628609,0.030646430947718784,0.0035163870393219265
0,02,2,salamandra,0.31944724917411804,0.31944724917411804,0.0,0.0,0.0
1,02,2,salamandra,-0.01556466706097126,-0.013969877734780312,0.0015947893261909485,0.0072679615262499515,0.0017992593273818982
2,02,2,salamandra,-0.07050848007202148,-0.05487106740474701,0.015637412667274475,0.011578624587545687,0.0015824162398227685
3,02,2,salamandra,-0.08335313200950623,-0.07237594574689865,0.010977186262607574,0.009196979672390413,0.0013421797887823508
4,02,2,salamandra,-0.09310737252235413,-0.07678760588169098,0.016319766640663147,0.0036542751390407696,0.001266422289762699
5,02,2,salamandra,-0.09138496220111847,-0.08266574144363403,0.008719220757484436,0.0027169394851761296,0.0012894869319460725
6,02,2,salamandra,-0.09845929592847824,-0.0983862355351448,7.306039333343506e-05,0.0008745575026470296,0.0012919181205393875
7,02,2,salamandra,-0.10814094543457031,-0.09402481466531754,0.014116130769252777,0.005921314906408178,0.0016695318607672083
8,02,2,salamandra,-0.12021897733211517,-0.10301224142313004,0.017206735908985138,0.01254622722936279,0.002079815113175491
9,02,2,salamandra,-0.13748620450496674,-0.11385224759578705,0.023633956909179688,0.019330648636009466,0.0025689832310478956
