layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.06595354527235031,0.06595354527235031,0.0,0.0,0.0
1,00,1,raya,-0.010991974733769894,-0.006758617702871561,0.004233357030898333,-0.002719226615265646,0.0011759605702781639
2,00,1,raya,-0.022103359922766685,-0.006066243164241314,0.01603711675852537,-0.003609401248197289,0.001250463207600232
3,00,1,raya,-0.005445903167128563,0.00810542143881321,0.013551324605941772,-0.0030018479484034345,0.0011568930506433617
4,00,1,raya,-0.014325376600027084,0.00289054773747921,0.017215924337506294,-0.00477711638891475,0.0012328742052547315
5,00,1,raya,-0.008423852734267712,0.006491463631391525,0.014915316365659237,-0.0043394374165763245,0.0011617179520797037
6,00,1,raya,0.00576986325904727,0.012642452493309975,0.006872589234262705,-0.0034310758569614684,0.0010941562800287883
7,00,1,raya,-0.018702929839491844,-0.016627710312604904,0.00207521952688694,-0.0033515976652740797,0.001184858956444398
8,00,1,raya,-0.02904297597706318,-0.021898604929447174,0.007144371047616005,-0.0029454441602401278,0.0014042424508035095
9,00,1,raya,-0.05688757076859474,-0.03853067010641098,0.01835690066218376,-0.002769180187123253,0.0017694394447917822
10,00,1,raya,-0.058801814913749695,-0.03749888017773628,0.021302934736013412,-0.003138552444610507,0.0019415974721648376
11,00,1,raya,-0.06015404313802719,-0.03881752863526344,0.021336514502763748,-0.004606283656222389,0.002298640749780478
12,00,1,raya,-0.05362247675657272,-0.04138379916548729,0.012238677591085434,-0.004680867019565182,0.0023684615345249357
0,00,2,raya,0.06595354527235031,0.06595354527235031,0.0,0.0,0.0
1,00,2,raya,-0.010991974733769894,-0.014827962964773178,-0.0038359882310032845,-0.002719226615265646,0.0011759605702781639
2,00,2,raya,-0.022103359922766685,-0.010512828826904297,0.011590531095862389,-0.003609401248197289,0.001250463207600232
3,00,2,raya,-0.005445903167128563,0.004815551917999983,0.010261455085128546,-0.0030018479484034345,0.0011568930506433617
4,00,2,raya,-0.014325376600027084,-0.012508248910307884,0.0018171276897192001,-0.00477711638891475,0.0012328742052547315
5,00,2,raya,-0.008423852734267712,-0.010102098807692528,-0.0016782460734248161,-0.0043394374165763245,0.0011617179520797037
6,00,2,raya,0.00576986325904727,0.004718076437711716,-0.0010517868213355541,-0.0034310758569614684,0.0010941562800287883
7,00,2,raya,-0.018702929839491844,-0.02101045474410057,-0.0023075249046087265,-0.0033515976652740797,0.001184858956444398
8,00,2,raya,-0.02904297597706318,-0.020725229755043983,0.008317746222019196,-0.0029454441602401278,0.0014042424508035095
9,00,2,raya,-0.05688757076859474,-0.048893578350543976,0.007993992418050766,-0.002769180187123253,0.0017694394447917822
10,00,2,raya,-0.058801814913749695,-0.0579679012298584,0.0008339136838912964,-0.003138552444610507,0.0019415974721648376
11,00,2,raya,-0.06015404313802719,-0.061184100806713104,-0.001030057668685913,-0.004606283656222389,0.002298640749780478
12,00,2,raya,-0.05362247675657272,-0.055804409086704254,-0.0021819323301315308,-0.004680867019565182,0.0023684615345249357
0,01,1,llama,0.10747945308685303,0.10747945308685303,0.0,0.0,0.0
1,01,1,llama,-0.042333874851465225,-0.053834397345781326,-0.011500522494316101,-0.002719226615265646,0.0011759605702781639
2,01,1,llama,-0.04303069785237312,-0.04427120462059975,-0.0012405067682266235,-0.003609401248197289,0.001250463207600232
3,01,1,llama,-0.020844466984272003,-0.02097754180431366,-0.0001330748200416565,-0.0030018479484034345,0.0011568930506433617
4,01,1,llama,-0.0362151637673378,-0.028016651049256325,0.008198512718081474,-0.00477711638891475,0.0012328742052547315
5,01,1,llama,-0.04987860471010208,-0.04425647109746933,0.0056221336126327515,-0.0043394374165763245,0.0011617179520797037
6,01,1,llama,-0.05131353437900543,-0.04858371242880821,0.00272982195019722,-0.0034310758569614684,0.0010941562800287883
7,01,1,llama,-0.07216411083936691,-0.07184449583292007,0.0003196150064468384,-0.0033515976652740797,0.001184858956444398
8,01,1,llama,-0.07106709480285645,-0.0657806545495987,0.0052864402532577515,-0.0029454441602401278,0.0014042424508035095
9,01,1,llama,-0.0994124561548233,-0.09752964973449707,0.001882806420326233,-0.002769180187123253,0.0017694394447917822
10,01,1,llama,-0.11839010566473007,-0.11463280022144318,0.0037573054432868958,-0.003138552444610507,0.0019415974721648376
