layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.16801810264587402,0.16801810264587402,0.0,0.0,0.0
1,00,1,raya,0.021475445479154587,0.017385225743055344,-0.004090219736099243,0.006062174840097098,0.0015521136312300636
2,00,1,raya,0.006838729605078697,0.008134175091981888,0.0012954454869031906,0.010123809477552138,0.0016222580973715385
3,00,1,raya,-0.013371380977332592,-0.017840813845396042,-0.00446943286806345,0.007733121147735956,0.0013890355055934205
4,00,1,raya,-0.040888309478759766,-0.04785104840993881,-0.006962738931179047,0.004129033827995683,0.0013433329887735713
5,00,1,raya,-0.04685590788722038,-0.0457770898938179,0.001078817993402481,0.0038107335072090015,0.001335533987022006
6,00,1,raya,-0.053593605756759644,-0.05246062949299812,0.0011329762637615204,0.0026669972823893137,0.0012967557062172137
7,00,1,raya,-0.06971126049757004,-0.055634863674640656,0.014076396822929382,0.006729697996869366,0.0017402139285122228
8,00,1,raya,-0.07698206603527069,-0.04649747535586357,0.03048459067940712,0.012113438334633062,0.002126609585181124
9,00,1,raya,-0.1062847226858139,-0.05599246919155121,0.050292253494262695,0.016621505727674415,0.0023463877612658374
10,00,1,raya,-0.12209135293960571,-0.054829467087984085,0.06726188585162163,0.01898640092026363,0.0028606861013991914
11,00,1,raya,-0.1066555306315422,-0.04772678762674332,0.05892874300479889,0.018364354418194357,0.0031505257564150126
12,00,1,raya,-0.1009570062160492,-0.05092480778694153,0.050032198429107666,0.023058884237159755,0.0033745911573846922
0,00,2,raya,0.3153352737426758,0.3153352737426758,0.0,0.0,0.0
1,00,2,raya,-0.021755965426564217,-0.023539381101727486,-0.001783415675163269,0.006062174840097098,0.0015521136312300636
2,00,2,raya,-0.06555639207363129,-0.05818399786949158,0.0073723942041397095,0.010123809477552138,0.0016222580973715385
3,00,2,raya,-0.08235221356153488,-0.0816279947757721,0.0007242187857627869,0.007733121147735956,0.0013890355055934205
4,00,2,raya,-0.09822194278240204,-0.09935960173606873,-0.001137658953666687,0.004129033827995683,0.0013433329887735713
5,00,2,raya,-0.09953692555427551,-0.09099920839071274,0.008537717163562775,0.0038107335072090015,0.001335533987022006
6,00,2,raya,-0.08767899125814438,-0.07791899144649506,0.009759999811649323,0.0026669972823893137,0.0012967557062172137
7,00,2,raya,-0.09848221391439438,-0.08853838592767715,0.009943827986717224,0.006729697996869366,0.0017402139285122228
8,00,2,raya,-0.08448313176631927,-0.06071702390909195,0.023766107857227325,0.012113438334633062,0.002126609585181124
9,00,2,raya,-0.08477552235126495,-0.05914999544620514,0.025625526905059814,0.016621505727674415,0.0023463877612658374
10,00,2,raya,-0.06218339502811432,-0.03176956623792648,0.030413828790187836,0.01898640092026363,0.0028606861013991914
11,00,2,raya,-0.040507834404706955,-0.015155005268752575,0.02535282913595438,0.018364354418194357,0.0031505257564150126
12,00,2,raya,-0.04107682406902313,-0.013887815177440643,0.02718900889158249,0.023058884237159755,0.0033745911573846922
0,01,1,llama,0.07595562934875488,0.07595562934875488,0.0,0.0,0.0
1,01,1,llama,-0.037191785871982574,-0.030370201915502548,0.006821583956480026,0.006062174840097098,0.0015521136312300636
2,01,1,llama,-0.03540726751089096,-0.02753833681344986,0.007868930697441101,0.010123809477552138,0.0016222580973715385
3,01,1,llama,-0.02582455240190029,-0.022862646728754044,0.002961905673146248,0.007733121147735956,0.0013890355055934205
4,01,1,llama,-0.03497312217950821,-0.0310467928647995,0.00392632931470871,0.004129033827995683,0.0013433329887735713
5,01,1,llama,-0.05372662842273712,-0.04412959888577461,0.00959702953696251,0.0038107335072090015,0.001335533987022006
6,01,1,llama,-0.06662040203809738,-0.05830153450369835,0.008318867534399033,0.0026669972823893137,0.0012967557062172137
7,01,1,llama,-0.07136263698339462,-0.06342941522598267,0.007933221757411957,0.006729697996869366,0.0017402139285122228
8,01,1,llama,-0.09129786491394043,-0.08046535402536392,0.010832510888576508,0.012113438334633062,0.002126609585181124
9,01,1,llama,-0.10948925465345383,-0.09819988906383514,0.011289365589618683,0.016621505727674415,0.0023463877612658374
10,01,1,llama,-0.11897838860750198,-0.1039193868637085,0.015059001743793488,0.01898640092026363,0.0028606861013991914
11,01,1,llama,-0.10435232520103455,-0.08708666265010834,0.01726566255092621,0.018364354418194357,0.0031505257564150126
12,01,1,llama,-0.12031224370002747,-0.09019258618354797,0.030119657516479492,0.023058884237159755,0.0033745911573846922
