layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.36881503462791443,0.36881503462791443,0.0,0.0,0.0
1,00,1,raya,0.050411298871040344,0.03807928413152695,0.012332014739513397,0.013876283372891075,0.0013627846704161973
2,00,1,raya,-0.02802206762135029,-0.02896713651716709,0.000945068895816803,0.01407670931633007,0.0013562129295457133
3,00,1,raya,-0.05290231853723526,-0.050943225622177124,0.001959092915058136,0.011854962767795362,0.0011029474574512754
4,00,1,raya,-0.06474291533231735,-0.06549940258264542,0.000756487250328064,0.008929883546017587,0.0009625276681290105
5,00,1,raya,-0.06516356766223907,-0.05365841090679169,0.011505156755447388,0.009714315199550795,0.0008810515039141536
6,00,1,raya,-0.061446692794561386,-0.050835706293582916,0.01061098650097847,0.00964847520152305,0.0008197432470605287
7,00,1,raya,-0.06171979010105133,-0.03471015766263008,0.02700963243842125,0.013338907473185595,0.0011104749940950486
8,00,1,raya,-0.06589637696743011,-0.02185593731701374,0.044040439650416374,0.018036460652551118,0.0015778076297211013
9,00,1,raya,-0.08563055098056793,-0.006864771246910095,0.07876577973365784,0.02393554392805759,0.0020874565042276515
10,00,1,raya,-0.08340704441070557,0.009370282292366028,0.0927773267030716,0.03016157862928478,0.0027256683984399365
11,00,1,raya,-0.06437470763921738,0.025997525081038475,0.09037223272025585,0.031741043106910394,0.002704916413738006
12,00,1,raya,-0.07630278170108795,0.010794107802212238,0.08709688950330019,0.03563172666435229,0.0029532766010223334
0,00,2,raya,0.418609082698822,0.418609082698822,0.0,0.0,0.0
1,00,2,raya,0.046633586287498474,0.04294971376657486,0.0036838725209236145,0.013876283372891075,0.0013627846704161973
2,00,2,raya,-0.029932651668787003,-0.021905601024627686,0.008027050644159317,0.01407670931633007,0.0013562129295457133
3,00,2,raya,-0.06016155704855919,-0.06001247093081474,0.0001490861177444458,0.011854962767795362,0.0011029474574512754
4,00,2,raya,-0.0806693583726883,-0.07866773754358292,0.002001620829105377,0.008929883546017587,0.0009625276681290105
5,00,2,raya,-0.09630577266216278,-0.08790439367294312,0.008401378989219666,0.009714315199550795,0.0008810515039141536
6,00,2,raya,-0.08757960796356201,-0.07846423238515854,0.009115375578403473,0.00964847520152305,0.0008197432470605287
7,00,2,raya,-0.09921024739742279,-0.09467922151088715,0.0045310258865356445,0.013338907473185595,0.0011104749940950486
8,00,2,raya,-0.09203216433525085,-0.0685235783457756,0.02350858598947525,0.018036460652551118,0.0015778076297211013
9,00,2,raya,-0.09579604119062424,-0.06075576692819595,0.035040274262428284,0.02393554392805759,0.0020874565042276515
10,00,2,raya,-0.07516031712293625,-0.03741474449634552,0.03774557262659073,0.03016157862928478,0.0027256683984399365
11,00,2,raya,-0.05172109603881836,-0.020251182839274406,0.03146991319954395,0.031741043106910394,0.002704916413738006
12,00,2,raya,-0.04337736591696739,-0.011494571343064308,0.031882794573903084,0.03563172666435229,0.0029532766010223334
0,01,1,llama,0.16023661196231842,0.16023661196231842,0.0,0.0,0.0
1,01,1,llama,-0.1219993531703949,-0.13129381835460663,0.009294465184211731,0.013876283372891075,0.0013627846704161973
2,01,1,llama,-0.14205987751483917,-0.14250612258911133,0.00044624507427215576,0.01407670931633007,0.0013562129295457133
3,01,1,llama,-0.13444884121418,-0.13015511631965637,0.004293724894523621,0.011854962767795362,0.0011029474574512754
4,01,1,llama,-0.15547946095466614,-0.14760364592075348,0.007875815033912659,0.008929883546017587,0.0009625276681290105
5,01,1,llama,-0.16651186347007751,-0.15510517358779907,0.011406689882278442,0.009714315199550795,0.0008810515039141536
6,01,1,llama,-0.19304990768432617,-0.18118149042129517,0.011868417263031006,0.00964847520152305,0.0008197432470605287
7,01,1,llama,-0.19661536812782288,-0.18589085340499878,0.010724514722824097,0.013338907473185595,0.0011104749940950486
8,01,1,llama,-0.19927218556404114,-0.1815846562385559,0.01768752932548523,0.018036460652551118,0.0015778076297211013
9,01,1,llama,-0.19181112945079803,-0.18083399534225464,0.010977134108543396,0.02393554392805759,0.0020874565042276515
10,01,1,llama,-0.18105262517929077,-0.17555958032608032,0.005493044853210449,0.03016157862928478,0.0027256683984399365
11,01,1,llama,-0.1229737251996994,-0.11405902355909348,0.008914701640605927,0.031741043106910394,0.002704916413738006
12,01,1,llama,-0.1330287754535675,-0.10231754928827286,0.030711226165294647,0.03563172666435229,0.0029532766010223334
0,01,2,llama,0.28349149227142334,0.28349149227142334,0.0,0.0,0.0
1,01,2,llama,-0.022370364516973495,-0.016601460054516792,0.005768904462456703,0.013876283372891075,0.0013627846704161973
2,01,2,llama,-0.04056323319673538,-0.03969171643257141,0.000871516764163971,0.01407670931633007,0.0013562129295457133
3,01,2,llama,-0.03207835555076599,-0.025951407849788666,0.0061269477009773254,0.011854962767795362,0.0011029474574512754
4,01,2,llama,-0.04884926229715347,-0.04943595081567764,0.0005866885185241699,0.008929883546017587,0.0009625276681290105
5,01,2,llama,-0.05626367777585983,-0.06406410038471222,0.0078004226088523865,0.009714315199550795,0.0008810515039141536
6,01,2,llama,-0.08248387277126312,-0.08647210896015167,0.00398823618888855,0.00964847520152305,0.0008197432470605287
7,01,2,llama,-0.05140465497970581,-0.05676696449518204,0.005362309515476227,0.013338907473185595,0.0011104749940950486
8,01,2,llama,-0.06472410261631012,-0.06747754663228989,0.002753444015979767,0.018036460652551118,0.0015778076297211013
9,01,2,llama,-0.06575656682252884,-0.06609417498111725,0.0003376081585884094,0.02393554392805759,0.0020874565042276515
10,01,2,llama,-0.07100099325180054,-0.0740572139620781,0.0030562207102775574,0.03016157862928478,0.0027256683984399365
11,01,2,llama,-0.025662202388048172,-0.03673839569091797,0.011076193302869797,0.031741043106910394,0.002704916413738006
12,01,2,llama,-0.03511469066143036,-0.022944176569581032,0.012170514091849327,0.03563172666435229,0.0029532766010223334
0,02,1,salamandra,0.37617769837379456,0.37617769837379456,0.0,0.0,0.0
1,02,1,salamandra,-0.07704488933086395,-0.058304958045482635,0.018739931285381317,0.013876283372891075,0.0013627846704161973
2,02,1,salamandra,-0.14461161196231842,-0.11398719996213913,0.03062441200017929,0.01407670931633007,0.0013562129295457133
3,02,1,salamandra,-0.15828967094421387,-0.13678166270256042,0.021508008241653442,0.011854962767795362,0.0011029474574512754
4,02,1,salamandra,-0.16833248734474182,-0.14918583631515503,0.019146651029586792,0.008929883546017587,0.0009625276681290105
5,02,1,salamandra,-0.1605815291404724,-0.1490810662508011,0.011500462889671326,0.009714315199550795,0.0008810515039141536
6,02,1,salamandra,-0.16020286083221436,-0.15386250615119934,0.006340354681015015,0.00964847520152305,0.0008197432470605287
7,02,1,salamandra,-0.15580737590789795,-0.13953152298927307,0.016275852918624878,0.013338907473185595,0.0011104749940950486
8,02,1,salamandra,-0.1488531231880188,-0.12252572923898697,0.02632739394903183,0.018036460652551118,0.0015778076297211013
9,02,1,salamandra,-0.14842471480369568,-0.11487555503845215,0.03354915976524353,0.02393554392805759,0.0020874565042276515
10,02,1,salamandra,-0.14533671736717224,-0.11088640987873077,0.03445030748844147,0.03016157862928478,0.0027256683984399365
11,02,1,salamandra,-0.10168974101543427,-0.07279655337333679,0.028893187642097473,0.031741043106910394,0.002704916413738006
12,02,1,salamandra,-0.07249711453914642,-0.035522058606147766,0.03697505593299866,0.03563172666435229,0.0029532766010223334
0,02,2,salamandra,0.31944724917411804,0.31944724917411804,0.0,0.0,0.0
1,02,2,salamandra,-0.01556466706097126,-0.013969877734780312,0.0015947893261909485,0.013876283372891075,0.0013627846704161973
2,02,2,salamandra,-0.07050848007202148,-0.05487106740474701,0.015637412667274475,0.01407670931633007,0.0013562129295457133
3,02,2,salamandra,-0.08335313200950623,-0.07237594574689865,0.010977186262607574,0.011854962767795362,0.0011029474574512754
