layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.36881497502326965,0.36881497502326965,0.0,0.0,0.0
1,00,1,raya,0.05041127651929855,0.038079291582107544,0.01233198493719101,0.01387628053433876,0.001362784712038052
2,00,1,raya,-0.02802206203341484,-0.02896708995103836,0.0009450279176235199,0.014076707017746694,0.0013562130310329108
3,00,1,raya,-0.05290229618549347,-0.05094318464398384,0.0019591115415096283,0.0118549610289963,0.0011029470215494824
4,00,1,raya,-0.06474290788173676,-0.06549938023090363,0.0007564723491668701,0.008929881306880333,0.0009625275458621252
5,00,1,raya,-0.06516356766223907,-0.0536583811044693,0.011505186557769775,0.009714314961766309,0.0008810516491127556
6,00,1,raya,-0.06144670397043228,-0.05083569884300232,0.010611005127429962,0.009648474527800337,0.0008197433998567672
7,00,1,raya,-0.06171979010105133,-0.03471013903617859,0.02700965106487274,0.01333890971232285,0.0011104754053636212
8,00,1,raya,-0.06589638441801071,-0.021855924278497696,0.044040460139513016,0.018036461628458286,0.001577807498056891
9,00,1,raya,-0.08563055843114853,-0.006864759139716625,0.0787657992914319,0.023935539098060194,0.0020874568844073058
10,00,1,raya,-0.08340705931186676,0.009370274841785431,0.09277733415365219,0.030161575334978864,0.0027256682454023713
11,00,1,raya,-0.06437468528747559,0.02599753811955452,0.0903722234070301,0.03174103997608132,0.002704916266586454
12,00,1,raya,-0.07630278170108795,0.01079409010708332,0.08709687180817127,0.035631723919923,0.0029532764190626296
0,00,2,raya,0.418609082698822,0.418609082698822,0.0,0.0,0.0
1,00,2,raya,0.04663357883691788,0.04294971376657486,0.0036838650703430176,0.01387628053433876,0.001362784712038052
2,00,2,raya,-0.029932646080851555,-0.02190558984875679,0.008027056232094765,0.014076707017746694,0.0013562130310329108
3,00,2,raya,-0.06016156077384949,-0.06001247465610504,0.0001490861177444458,0.0118549610289963,0.0011029470215494824
4,00,2,raya,-0.0806693583726883,-0.07866772264242172,0.002001635730266571,0.008929881306880333,0.0009625275458621252
5,00,2,raya,-0.09630577266216278,-0.0879044234752655,0.008401349186897278,0.009714314961766309,0.0008810516491127556
6,00,2,raya,-0.08757960796356201,-0.07846423983573914,0.009115368127822876,0.009648474527800337,0.0008197433998567672
7,00,2,raya,-0.0992102101445198,-0.09467926621437073,0.004530943930149078,0.01333890971232285,0.0011104754053636212
8,00,2,raya,-0.09203216433525085,-0.0685235857963562,0.023508578538894653,0.018036461628458286,0.001577807498056891
9,00,2,raya,-0.09579603374004364,-0.06075579673051834,0.0350402370095253,0.023935539098060194,0.0020874568844073058
10,00,2,raya,-0.07516032457351685,-0.037414755672216415,0.03774556890130043,0.030161575334978864,0.0027256682454023713
11,00,2,raya,-0.05172105133533478,-0.020251179113984108,0.03146987222135067,0.03174103997608132,0.002704916266586454
12,00,2,raya,-0.0433773472905159,-0.01149454340338707,0.03188280388712883,0.035631723919923,0.0029532764190626296
0,01,1,llama,0.16023659706115723,0.16023659706115723,0.0,0.0,0.0
1,01,1,llama,-0.1219993382692337,-0.13129380345344543,0.009294465184211731,0.01387628053433876,0.001362784712038052
2,01,1,llama,-0.14205990731716156,-0.14250610768795013,0.0004462003707885742,0.014076707017746694,0.0013562130310329108
3,01,1,llama,-0.13444884121418,-0.13015510141849518,0.0042937397956848145,0.0118549610289963,0.0011029470215494824
4,01,1,llama,-0.15547944605350494,-0.1476036012172699,0.007875844836235046,0.008929881306880333,0.0009625275458621252
5,01,1,llama,-0.16651184856891632,-0.15510514378547668,0.011406704783439636,0.009714314961766309,0.0008810516491127556
6,01,1,llama,-0.19304990768432617,-0.18118149042129517,0.011868417263031006,0.009648474527800337,0.0008197433998567672
7,01,1,llama,-0.19661535322666168,-0.18589085340499878,0.010724499821662903,0.01333890971232285,0.0011104754053636212
8,01,1,llama,-0.19927220046520233,-0.1815846562385559,0.017687544226646423,0.018036461628458286,0.001577807498056891
9,01,1,llama,-0.19181111454963684,-0.18083399534225464,0.010977119207382202,0.023935539098060194,0.0020874568844073058
10,01,1,llama,-0.18105262517929077,-0.17555958032608032,0.005493044853210449,0.030161575334978864,0.0027256682454023713
11,01,1,llama,-0.1229737251996994,-0.11405907571315765,0.008914649486541748,0.03174103997608132,0.002704916266586454
12,01,1,llama,-0.1330287605524063,-0.10231755673885345,0.030711203813552856,0.035631723919923,0.0029532764190626296
0,01,2,llama,0.28349149227142334,0.28349149227142334,0.0,0.0,0.0
1,01,2,llama,-0.022370347753167152,-0.01660146936774254,0.005768878385424614,0.01387628053433876,0.001362784712038052
2,01,2,llama,-0.040563225746154785,-0.0396917387843132,0.0008714869618415833,0.014076707017746694,0.0013562130310329108
3,01,2,llama,-0.03207835555076599,-0.025951413437724113,0.006126942113041878,0.0118549610289963,0.0011029470215494824
4,01,2,llama,-0.048849254846572876,-0.04943595081567764,0.0005866959691047668,0.008929881306880333,0.0009625275458621252
5,01,2,llama,-0.05626366287469864,-0.06406409293413162,0.007800430059432983,0.009714314961766309,0.0008810516491127556
6,01,2,llama,-0.08248387277126312,-0.08647211641073227,0.003988243639469147,0.009648474527800337,0.0008197433998567672
7,01,2,llama,-0.051404647529125214,-0.056766919791698456,0.005362272262573242,0.01333890971232285,0.0011104754053636212
8,01,2,llama,-0.06472409516572952,-0.06747753173112869,0.00275343656539917,0.018036461628458286,0.001577807498056891
9,01,2,llama,-0.06575655937194824,-0.06609416753053665,0.0003376081585884094,0.023935539098060194,0.0020874568844073058
10,01,2,llama,-0.07100099325180054,-0.07405722141265869,0.0030562281608581543,0.030161575334978864,0.0027256682454023713
11,01,2,llama,-0.02566218003630638,-0.036738406866788864,0.011076226830482483,0.03174103997608132,0.002704916266586454
12,01,2,llama,-0.03511467203497887,-0.022944152355194092,0.012170519679784775,0.035631723919923,0.0029532764190626296
0,02,1,salamandra,0.37617769837379456,0.37617769837379456,0.0,0.0,0.0
1,02,1,salamandra,-0.07704489678144455,-0.05830496922135353,0.01873992756009102,0.01387628053433876,0.001362784712038052
