,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.02802206017076969,-0.02896711602807045
1,00,raya,2,-0.02993265725672245,-0.021905623376369476
2,01,llama,1,-0.14205990731716156,-0.14250612258911133
3,01,llama,2,-0.040563225746154785,-0.039691727608442307
4,02,salamandra,1,-0.14461162686347961,-0.11398719251155853
5,02,salamandra,2,-0.07050848007202148,-0.054871074855327606
6,03,muñeca,1,-0.03179294243454933,-0.035524122416973114
7,03,muñeca,2,-0.07149554044008255,-0.06660544872283936
8,04,palma,1,-0.004899146966636181,0.00292783509939909
9,04,palma,2,-0.061422839760780334,-0.04770742729306221
10,05,peso,1,-0.0035766689106822014,-0.002558628097176552
11,05,peso,2,-0.008961440995335579,-0.019493956118822098
12,06,banco,1,-0.0641317069530487,-0.019556593149900436
13,06,banco,2,-0.06145229563117027,-0.05882474407553673
14,07,tarjeta,1,-0.04927997291088104,-0.01950898766517639
15,07,tarjeta,2,-0.010538237169384956,0.008016115054488182
16,08,granada,1,-0.05675467103719711,-0.04859059303998947
17,08,granada,2,-0.010157804936170578,0.005113120190799236
18,09,lima,1,-0.0920071005821228,-0.09067335724830627
19,09,lima,2,-0.0588795468211174,-0.05663982033729553
20,10,mango,1,-0.07018288969993591,-0.06966281682252884
21,10,mango,2,-0.03559260815382004,-0.03220751881599426
22,11,copa,1,-0.09090615808963776,-0.09225644916296005
23,11,copa,2,-0.08888576924800873,-0.08362187445163727
24,12,arco,1,-0.09019725024700165,-0.086098313331604
25,12,arco,2,0.004944958258420229,0.003498151432722807
26,13,penal,1,-0.08302506804466248,-0.06557227671146393
27,13,penal,2,-0.01320989802479744,-0.006292648613452911
28,14,pico,1,-0.021576281636953354,-0.01931023970246315
29,14,pico,2,-0.02090414986014366,-0.02237076312303543
30,15,cabo,1,-0.126399964094162,-0.10676226019859314
31,15,cabo,2,-0.10405652225017548,-0.0888865664601326
32,16,sierra,1,-0.06309881061315536,-0.03748725354671478
33,16,sierra,2,-0.03135776147246361,-0.01776311919093132
34,17,cólera,1,-0.04706379771232605,-0.03705042600631714
35,17,cólera,2,0.006329581141471863,0.0045651625841856
36,18,buzo,1,-0.08583149313926697,-0.06639131903648376
37,18,buzo,2,-0.06525878608226776,-0.06465841829776764
38,19,sostén,1,-0.07598842680454254,-0.07299061864614487
39,19,sostén,2,-0.02929968386888504,-0.030644480139017105
40,20,taco,1,-0.08533760160207748,-0.08138856291770935
41,20,taco,2,-0.0943770706653595,-0.08996230363845825
42,21,pluma,1,-0.04194536805152893,-0.06129775196313858
43,21,pluma,2,-0.05813542380928993,-0.06166042387485504
44,23,regla,1,-0.07513134926557541,-0.05664483830332756
45,23,regla,2,-0.07261067628860474,-0.04084224998950958
46,24,goma,1,-0.0703035220503807,-0.04811954125761986
47,24,goma,2,-0.0640188455581665,-0.05764644593000412
48,25,raíz,1,-0.08128708600997925,-0.06582687050104141
49,25,raíz,2,-0.04971739649772644,-0.020771333947777748
50,26,cuarto,1,-0.022438498213887215,-0.01713412068784237
51,26,cuarto,2,0.026911869645118713,0.0039491550996899605
52,27,medio,1,-0.06801984459161758,-0.06894072145223618
53,27,medio,2,-0.024509597569704056,-0.029475321993231773
54,28,cuenta,1,-0.05170077085494995,-0.0620277002453804
55,28,cuenta,2,-0.10575396567583084,-0.06989320367574692
56,29,nota,1,-0.07109279930591583,-0.06784433126449585
57,29,nota,2,-0.06347984075546265,-0.05497655272483826
58,30,órgano,1,-0.05985848233103752,-0.025044353678822517
59,30,órgano,2,-0.04357248544692993,-0.018238212913274765
60,31,batería,1,-0.1238340511918068,-0.08509381115436554
61,31,batería,2,-0.08513368666172028,-0.05744713917374611
62,32,izquierda,1,-0.0760522112250328,-0.01146165281534195
63,32,izquierda,2,-0.04656878858804703,-0.027397269383072853
64,33,partido,1,-0.03443334624171257,-0.026064477860927582
65,33,partido,2,-0.09092963486909866,-0.035041507333517075
66,34,campaña,1,-0.05942710489034653,-0.03940291330218315
67,34,campaña,2,-0.14322595298290253,-0.13673943281173706
68,35,estado,1,-0.05863787233829498,-0.039815209805965424
69,35,estado,2,-0.03914250060915947,-0.02722129225730896
70,36,pastor,1,0.012658854015171528,0.037750355899333954
71,36,pastor,2,-0.052633341401815414,-0.043083783239126205
72,37,oración,1,-0.017330586910247803,-0.0005790330469608307
73,37,oración,2,-0.07377211004495621,-0.05856272950768471
74,38,función,1,-0.08420702815055847,-0.050105415284633636
75,38,función,2,-0.04076676815748215,-0.03379631042480469
76,39,obra,1,-0.033090174198150635,-0.006981740705668926
77,39,obra,2,-0.04107499122619629,-0.034776877611875534
78,40,plataforma,1,-0.062456484884023666,-0.04086325317621231
79,40,plataforma,2,-0.07883217930793762,-0.02660655975341797
80,41,viral,1,-0.09011849761009216,-0.07859568297863007
81,41,viral,2,-0.09150668233633041,-0.06794928759336472
82,42,red,1,-0.049216803163290024,-0.018107261508703232
83,42,red,2,-0.04302968084812164,-0.030767904594540596
84,43,aplicación,1,-0.1060279905796051,-0.09757104516029358
85,43,aplicación,2,-0.08444733917713165,-0.08499674499034882
86,44,expreso,1,-0.028605321422219276,-0.01843022182583809
87,44,expreso,2,-0.08429843187332153,-0.08025665581226349
88,45,móvil,1,-0.026268308982253075,-0.018094701692461967
89,45,móvil,2,-0.04474702104926109,-0.03226175531744957
90,46,metro,1,-0.04427593946456909,-0.05609780177474022
91,46,metro,2,-0.0819142758846283,-0.0919925644993782
92,47,estación,1,-0.05560275912284851,-0.04548965394496918
93,47,estación,2,-0.04562722519040108,-0.047045644372701645
