,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.052902303636074066,-0.05094320327043533
1,00,raya,2,-0.07036392390727997,-0.06769238412380219
2,01,llama,1,-0.13444884121418,-0.13015511631965637
3,01,llama,2,-0.03207835927605629,-0.025951415300369263
4,02,salamandra,1,-0.15828964114189148,-0.13678164780139923
5,02,salamandra,2,-0.08335312455892563,-0.07237596809864044
6,03,muñeca,1,-0.04266490787267685,-0.051106419414281845
7,03,muñeca,2,-0.08427298069000244,-0.08122595399618149
8,04,palma,1,-0.014169429428875446,-0.010121006518602371
9,04,palma,2,-0.07134807854890823,-0.0472574457526207
10,05,peso,1,-0.015606731176376343,-0.016439788043498993
11,05,peso,2,-0.018724190071225166,-0.026015259325504303
12,06,banco,1,-0.0917380303144455,-0.06326887756586075
13,06,banco,2,-0.07650678604841232,-0.0766884833574295
14,07,tarjeta,1,-0.06476710736751556,-0.042721085250377655
15,07,tarjeta,2,-0.029917556792497635,-0.014772668480873108
16,08,granada,1,-0.08828061819076538,-0.08375564217567444
17,08,granada,2,-0.033960774540901184,-0.016517411917448044
18,09,lima,1,-0.09445895254611969,-0.09201827645301819
19,09,lima,2,-0.07476911693811417,-0.07543520629405975
20,10,mango,1,-0.06885961443185806,-0.07091821730136871
21,10,mango,2,-0.04891007021069527,-0.04929794371128082
22,11,copa,1,-0.1192730963230133,-0.11540359258651733
23,11,copa,2,-0.11427721381187439,-0.12505829334259033
24,12,arco,1,-0.1274048537015915,-0.1256924569606781
25,12,arco,2,-0.01739167980849743,-0.02467540092766285
26,13,penal,1,-0.10112852603197098,-0.09171541780233383
27,13,penal,2,-0.03348926827311516,-0.0239934790879488
28,14,pico,1,-0.04525461420416832,-0.03967741131782532
29,14,pico,2,-0.05464046075940132,-0.041028279811143875
30,15,cabo,1,-0.10809992253780365,-0.08649519830942154
31,15,cabo,2,-0.0974862277507782,-0.07823443412780762
32,16,sierra,1,-0.0835617184638977,-0.06625152379274368
33,16,sierra,2,-0.05216709524393082,-0.04141736403107643
34,17,cólera,1,-0.0690414160490036,-0.05768571048974991
35,17,cólera,2,-0.009664619341492653,-0.0030571981333196163
36,18,buzo,1,-0.11394968628883362,-0.0993373692035675
37,18,buzo,2,-0.08172081410884857,-0.08315135538578033
38,19,sostén,1,-0.10581038892269135,-0.09837111830711365
39,19,sostén,2,-0.04202093183994293,-0.04609622061252594
40,20,taco,1,-0.10183589160442352,-0.09391141682863235
41,20,taco,2,-0.11226098239421844,-0.10290023684501648
42,21,pluma,1,-0.07657311856746674,-0.0862274318933487
43,21,pluma,2,-0.09100467711687088,-0.09429983049631119
44,23,regla,1,-0.09203725308179855,-0.07984425127506256
45,23,regla,2,-0.08707564324140549,-0.06516841799020767
46,24,goma,1,-0.09673811495304108,-0.07288359105587006
47,24,goma,2,-0.09385308623313904,-0.08438600599765778
