layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.06595354527235031,0.06595354527235031,0.0,0.0,0.0
1,00,1,raya,-0.01099197007715702,-0.006758596748113632,0.004233373329043388,0.009222852957851075,0.0007401054151369221
2,00,1,raya,-0.02210336923599243,-0.00606624037027359,0.01603712886571884,0.009826665531170177,0.0008157372615445288
3,00,1,raya,-0.005445918999612331,0.008105434477329254,0.013551353476941586,0.008664341519606556,0.0007925163905596201
4,00,1,raya,-0.014325395226478577,0.0028905682265758514,0.017215963453054428,0.009541697349359697,0.0008867896653375379
5,00,1,raya,-0.008423876017332077,0.006491457112133503,0.01491533312946558,0.009308019739654946,0.0007876960455943454
6,00,1,raya,0.00576985627412796,0.012642454355955124,0.006872598081827164,0.008922098125232028,0.000683963936355821
7,00,1,raya,-0.018702968955039978,-0.016627710312604904,0.002075258642435074,0.009750235085177453,0.0007088380398226924
8,00,1,raya,-0.02904299646615982,-0.021898619830608368,0.007144376635551453,0.011310764088077432,0.0008303947248512976
9,00,1,raya,-0.05688758194446564,-0.038530681282281876,0.01835690066218376,0.014007153217383522,0.0010505663839326274
10,00,1,raya,-0.0588018074631691,-0.03749888762831688,0.02130291983485222,0.015018188008206321,0.0012043644754757637
11,00,1,raya,-0.060154035687446594,-0.03881751000881195,0.021336525678634644,0.01759794664549384,0.0014771329093477314
12,00,1,raya,-0.053622469305992126,-0.0413837730884552,0.012238696217536926,0.018592349808425345,0.0014588579973176976
0,00,2,raya,0.06595354527235031,0.06595354527235031,0.0,0.0,0.0
1,00,2,raya,-0.01099197007715702,-0.014827942475676537,0.003835972398519516,0.009222852957851075,0.0007401054151369221
2,00,2,raya,-0.02210336923599243,-0.010512815788388252,0.01159055344760418,0.009826665531170177,0.0008157372615445288
3,00,2,raya,-0.005445918999612331,0.004815572872757912,0.010261491872370243,0.008664341519606556,0.0007925163905596201
4,00,2,raya,-0.014325395226478577,-0.012508232146501541,0.0018171630799770355,0.009541697349359697,0.0008867896653375379
5,00,2,raya,-0.008423876017332077,-0.010102098807692528,0.0016782227903604507,0.009308019739654946,0.0007876960455943454
6,00,2,raya,0.00576985627412796,0.004718068055808544,0.001051788218319416,0.008922098125232028,0.000683963936355821
7,00,2,raya,-0.018702968955039978,-0.02101048082113266,0.002307511866092682,0.009750235085177453,0.0007088380398226924
8,00,2,raya,-0.02904299646615982,-0.020725242793560028,0.008317753672599792,0.011310764088077432,0.0008303947248512976
9,00,2,raya,-0.05688758194446564,-0.04889356344938278,0.007994018495082855,0.014007153217383522,0.0010505663839326274
10,00,2,raya,-0.0588018074631691,-0.05796787887811661,0.0008339285850524902,0.015018188008206321,0.0012043644754757637
