layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.2884555459022522,0.16801810264587402,0.12043744325637817,0.06873205263524297,0.0061593538118339414
1,00,1,raya,0.0026908759027719498,0.017385225743055344,0.014694349840283394,0.032922833479267166,0.002773693035220407
2,00,1,raya,-0.045061495155096054,0.008134175091981888,0.05319567024707794,0.03558236367980692,0.002909924291509832
3,00,1,raya,-0.075264573097229,-0.017840813845396042,0.05742375925183296,0.0362051867661958,0.0028435909711909874
4,00,1,raya,-0.08329719305038452,-0.04785104840993881,0.03544614464044571,0.03819983726010678,0.0029046797532844455
5,00,1,raya,-0.08464233577251434,-0.0457770898938179,0.03886524587869644,0.038249375858403586,0.0031222517467718396
6,00,1,raya,-0.07445238530635834,-0.05246062949299812,0.021991755813360214,0.03993746591731906,0.0032156257157578186
7,00,1,raya,-0.08433198928833008,-0.055634863674640656,0.028697125613689423,0.04250782051004787,0.00344274382837992
8,00,1,raya,-0.0684795081615448,-0.04649747535586357,0.02198203280568123,0.04290579281192511,0.0034902497406553603
9,00,1,raya,-0.050337739288806915,-0.05599246919155121,0.005654729902744293,0.046466251161504296,0.003399703369267309
10,00,1,raya,-0.02655450999736786,-0.054829467087984085,0.028274957090616226,0.0458868598922136,0.0033067222394025206
11,00,1,raya,0.005252331495285034,-0.04772678762674332,0.05297911912202835,0.041903080577228934,0.0032213605934921525
12,00,1,raya,0.005576098337769508,-0.05092480778694153,0.05650090612471104,0.040771800638275575,0.003366428373720518
0,00,2,raya,0.31688159704208374,0.3064030706882477,0.01047852635383606,0.06873205263524297,0.0061593538118339414
1,00,2,raya,-0.026025403290987015,-0.09998944401741028,0.07396404072642326,0.032922833479267166,0.002773693035220407
2,00,2,raya,-0.07816162705421448,-0.1538405865430832,0.07567895948886871,0.03558236367980692,0.002909924291509832
3,00,2,raya,-0.10574819892644882,-0.18330833315849304,0.07756013423204422,0.0362051867661958,0.0028435909711909874
4,00,2,raya,-0.11198849976062775,-0.18737971782684326,0.07539121806621552,0.03819983726010678,0.0029046797532844455
5,00,2,raya,-0.12040401995182037,-0.18890255689620972,0.06849853694438934,0.038249375858403586,0.0031222517467718396
6,00,2,raya,-0.12065264582633972,-0.18641318380832672,0.065760537981987,0.03993746591731906,0.0032156257157578186
7,00,2,raya,-0.1408294439315796,-0.19654040038585663,0.05571095645427704,0.04250782051004787,0.00344274382837992
8,00,2,raya,-0.14045390486717224,-0.18666204810142517,0.04620814323425293,0.04290579281192511,0.0034902497406553603
