layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.10292918980121613,0.2205158770084381,0.11758668720722198,0.0019438484723263599,0.008963242132731763
1,00,1,raya,0.06820690631866455,-0.04373237118124962,-0.11193927749991417,-0.004038876730037179,0.004891687789420316
2,00,1,raya,0.04959562420845032,-0.08582000434398651,-0.13541562855243683,-0.003487835861148035,0.005120167134837244
3,00,1,raya,0.031132034957408905,-0.09374412149190903,-0.12487615644931793,-0.004682413401438835,0.005278381544289199
4,00,1,raya,0.04178568348288536,-0.08142930269241333,-0.12321498617529869,-0.004434543572604022,0.005383962604984987
5,00,1,raya,0.047967579215765,-0.07247612625360489,-0.12044370546936989,-0.006360664468337881,0.005455821731697655
6,00,1,raya,0.03994747996330261,-0.07687980681657791,-0.11682728677988052,-0.006515262529571006,0.00543441845162875
7,00,1,raya,0.019286606460809708,-0.1013743132352829,-0.1206609196960926,-0.006469819243957705,0.005294449762440776
8,00,1,raya,0.014911331236362457,-0.09748248010873795,-0.1123938113451004,-0.005592690092174613,0.005103209572186656
9,00,1,raya,0.0062539298087358475,-0.09756036102771759,-0.10381429083645344,-0.004780806858647377,0.005250638614626842
10,00,1,raya,-0.008185387589037418,-0.11250138282775879,-0.10431599523872137,-0.006852207665747785,0.005474860585764414
11,00,1,raya,0.013439131900668144,-0.10009772330522537,-0.11353685520589352,-0.009245197883153216,0.005482636671499749
12,00,1,raya,0.013952056877315044,-0.112822026014328,-0.12677408289164305,-0.00981859914324385,0.005735067745730678
0,00,2,raya,0.2224844992160797,0.1528908610343933,-0.0695936381816864,0.0019438484723263599,0.008963242132731763
1,00,2,raya,0.03748322278261185,-0.05887247622013092,-0.09635569900274277,-0.004038876730037179,0.004891687789420316
2,00,2,raya,-0.018490934744477272,-0.09045033901929855,-0.07195940427482128,-0.003487835861148035,0.005120167134837244
3,00,2,raya,-0.037839628756046295,-0.09948302060365677,-0.061643391847610474,-0.004682413401438835,0.005278381544289199
4,00,2,raya,-0.04329102113842964,-0.09486039727926254,-0.0515693761408329,-0.004434543572604022,0.005383962604984987
5,00,2,raya,-0.05599438026547432,-0.09134458005428314,-0.03535019978880882,-0.006360664468337881,0.005455821731697655
6,00,2,raya,-0.07183331251144409,-0.09737629443407059,-0.025542981922626495,-0.006515262529571006,0.00543441845162875
7,00,2,raya,-0.08651918172836304,-0.13099703192710876,-0.04447785019874573,-0.006469819243957705,0.005294449762440776
8,00,2,raya,-0.09206302464008331,-0.1267096847295761,-0.0346466600894928,-0.005592690092174613,0.005103209572186656
9,00,2,raya,-0.12072280049324036,-0.11018417775630951,0.010538622736930847,-0.004780806858647377,0.005250638614626842
10,00,2,raya,-0.12294362485408783,-0.08493612706661224,0.038007497787475586,-0.006852207665747785,0.005474860585764414
11,00,2,raya,-0.1087317019701004,-0.06169988587498665,0.047031816095113754,-0.009245197883153216,0.005482636671499749
12,00,2,raya,-0.1044958308339119,-0.03543698042631149,0.0690588504076004,-0.00981859914324385,0.005735067745730678
0,01,1,llama,0.1299228072166443,0.09270419925451279,-0.0372186079621315,0.0019438484723263599,0.008963242132731763
1,01,1,llama,-0.04011610895395279,-0.05198959633708,-0.011873487383127213,-0.004038876730037179,0.004891687789420316
2,01,1,llama,-0.06233377754688263,-0.07182352244853973,-0.009489744901657104,-0.003487835861148035,0.005120167134837244
3,01,1,llama,-0.05341663211584091,-0.08144570887088776,-0.028029076755046844,-0.004682413401438835,0.005278381544289199
4,01,1,llama,-0.06257358193397522,-0.08249392360448837,-0.019920341670513153,-0.004434543572604022,0.005383962604984987
5,01,1,llama,-0.06143444404006004,-0.08735859394073486,-0.02592414990067482,-0.006360664468337881,0.005455821731697655
6,01,1,llama,-0.08249965310096741,-0.09035032987594604,-0.007850676774978638,-0.006515262529571006,0.00543441845162875
7,01,1,llama,-0.08259847015142441,-0.08063650131225586,0.0019619688391685486,-0.006469819243957705,0.005294449762440776
8,01,1,llama,-0.09568094462156296,-0.09101193398237228,0.004669010639190674,-0.005592690092174613,0.005103209572186656
9,01,1,llama,-0.1021687239408493,-0.10571568459272385,-0.0035469606518745422,-0.004780806858647377,0.005250638614626842
10,01,1,llama,-0.09886516630649567,-0.09275127947330475,0.006113886833190918,-0.006852207665747785,0.005474860585764414
11,01,1,llama,-0.08666180074214935,-0.07076197862625122,0.015899822115898132,-0.009245197883153216,0.005482636671499749
12,01,1,llama,-0.09140989184379578,-0.06826035678386688,0.023149535059928894,-0.00981859914324385,0.005735067745730678
0,01,2,llama,0.07854697108268738,0.04034525901079178,-0.0382017120718956,0.0019438484723263599,0.008963242132731763
1,01,2,llama,-0.04888779670000076,-0.079688161611557,-0.030800364911556244,-0.004038876730037179,0.004891687789420316
2,01,2,llama,-0.062492623925209045,-0.11415040493011475,-0.0516577810049057,-0.003487835861148035,0.005120167134837244
3,01,2,llama,-0.06372559070587158,-0.10633593797683716,-0.042610347270965576,-0.004682413401438835,0.005278381544289199
4,01,2,llama,-0.07733764499425888,-0.1218799352645874,-0.04454229027032852,-0.004434543572604022,0.005383962604984987
5,01,2,llama,-0.07982341945171356,-0.13968874514102936,-0.059865325689315796,-0.006360664468337881,0.005455821731697655
6,01,2,llama,-0.10056572407484055,-0.16040748357772827,-0.059841759502887726,-0.006515262529571006,0.00543441845162875
7,01,2,llama,-0.11387116461992264,-0.17860685288906097,-0.06473568826913834,-0.006469819243957705,0.005294449762440776
8,01,2,llama,-0.1400398164987564,-0.18914109468460083,-0.04910127818584442,-0.005592690092174613,0.005103209572186656
9,01,2,llama,-0.15086062252521515,-0.18345031142234802,-0.032589688897132874,-0.004780806858647377,0.005250638614626842
