layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.16801810264587402,0.16801810264587402,0.0,0.0,0.0
1,00,1,raya,0.021475449204444885,0.017385218292474747,-0.0040902309119701385,0.006062175835819638,0.001552113668961177
2,00,1,raya,0.0068387375213205814,0.008134152740240097,0.0012954152189195156,0.010123810255305564,0.0016222583869009081
3,00,1,raya,-0.013371370732784271,-0.01784081757068634,-0.004469446837902069,0.007733120365028686,0.00138903564184716
4,00,1,raya,-0.04088829457759857,-0.047851040959358215,-0.0069627463817596436,0.004129034224303162,0.0013433330957050205
5,00,1,raya,-0.04685588926076889,-0.0457770898938179,0.0010787993669509888,0.0038107338069165325,0.0013355342288311153
6,00,1,raya,-0.05359359458088875,-0.05246061831712723,0.0011329762637615204,0.0026669951026981817,0.0012967558134841773
7,00,1,raya,-0.06971124559640884,-0.05563487112522125,0.014076374471187592,0.0067296987027920625,0.0017402142492334005
8,00,1,raya,-0.0769820511341095,-0.04649747908115387,0.030484572052955627,0.012113439256047949,0.0021266096909429927
9,00,1,raya,-0.10628470033407211,-0.055992476642131805,0.05029222369194031,0.016621503008014345,0.0023463880329454906
10,00,1,raya,-0.12209135293960571,-0.054829444736242294,0.06726190820336342,0.018986405527338067,0.002860686090309085
11,00,1,raya,-0.106655552983284,-0.04772678762674332,0.05892876535654068,0.018364355394101525,0.003150525518901318
12,00,1,raya,-0.10095702856779099,-0.05092480778694153,0.05003222078084946,0.02305888770980404,0.0033745906641837005
0,00,2,raya,0.3153352737426758,0.3153352737426758,0.0,0.0,0.0
1,00,2,raya,-0.021755971014499664,-0.023539377376437187,-0.0017834063619375229,0.006062175835819638,0.001552113668961177
2,00,2,raya,-0.06555640697479248,-0.05818400904536247,0.007372397929430008,0.010123810255305564,0.0016222583869009081
3,00,2,raya,-0.08235219866037369,-0.08162800222635269,0.0007241964340209961,0.007733120365028686,0.00138903564184716
4,00,2,raya,-0.09822194278240204,-0.09935960173606873,-0.001137658953666687,0.004129034224303162,0.0013433330957050205
5,00,2,raya,-0.0995369479060173,-0.09099919348955154,0.00853775441646576,0.0038107338069165325,0.0013355342288311153
6,00,2,raya,-0.08767901360988617,-0.07791896164417267,0.009760051965713501,0.0026669951026981817,0.0012967558134841773
7,00,2,raya,-0.09848224371671677,-0.08853831887245178,0.009943924844264984,0.0067296987027920625,0.0017402142492334005
8,00,2,raya,-0.08448316156864166,-0.06071697920560837,0.023766182363033295,0.012113439256047949,0.0021266096909429927
9,00,2,raya,-0.08477555215358734,-0.05914995074272156,0.025625601410865784,0.016621503008014345,0.0023463880329454906
10,00,2,raya,-0.0621834434568882,-0.031769562512636185,0.030413880944252014,0.018986405527338067,0.002860686090309085
11,00,2,raya,-0.040507882833480835,-0.015154974535107613,0.025352908298373222,0.018364355394101525,0.003150525518901318
12,00,2,raya,-0.04107685014605522,-0.01388780027627945,0.027189049869775772,0.02305888770980404,0.0033745906641837005
0,01,1,llama,0.07595562934875488,0.07595562934875488,0.0,0.0,0.0
1,01,1,llama,-0.03719179332256317,-0.030370181426405907,0.006821611896157265,0.006062175835819638,0.001552113668961177
2,01,1,llama,-0.035407260060310364,-0.027538320049643517,0.007868940010666847,0.010123810255305564,0.0016222583869009081
3,01,1,llama,-0.025824546813964844,-0.022862626239657402,0.0029619205743074417,0.007733120365028686,0.00138903564184716
4,01,1,llama,-0.03497310355305672,-0.031046783551573753,0.0039263200014829636,0.004129034224303162,0.0013433330957050205
5,01,1,llama,-0.053726620972156525,-0.04412958770990372,0.009597033262252808,0.0038107338069165325,0.0013355342288311153
6,01,1,llama,-0.06662038713693619,-0.05830151587724686,0.008318871259689331,0.0026669951026981817,0.0012967558134841773
7,01,1,llama,-0.07136264443397522,-0.06342940032482147,0.007933244109153748,0.0067296987027920625,0.0017402142492334005
8,01,1,llama,-0.09129786491394043,-0.08046533912420273,0.010832525789737701,0.012113439256047949,0.0021266096909429927
9,01,1,llama,-0.10948923975229263,-0.09819988161325455,0.011289358139038086,0.016621503008014345,0.0023463880329454906
10,01,1,llama,-0.11897836625576019,-0.10391934216022491,0.015059024095535278,0.018986405527338067,0.002860686090309085
11,01,1,llama,-0.10435231775045395,-0.08708662539720535,0.017265692353248596,0.018364355394101525,0.003150525518901318
12,01,1,llama,-0.12031223624944687,-0.09019254148006439,0.030119694769382477,0.02305888770980404,0.0033745906641837005
0,01,2,llama,0.050084300339221954,0.050084300339221954,0.0,0.0,0.0
