,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.12209135293960571,-0.054829467087984085
1,00,raya,2,-0.06218339502811432,-0.03176956623792648
2,01,llama,1,-0.11897838860750198,-0.1039193868637085
3,01,llama,2,-0.01900506764650345,-0.02754148840904236
4,02,salamandra,1,-0.0873422771692276,-0.0395144522190094
5,02,salamandra,2,-0.13747461140155792,-0.1274675726890564
6,03,muñeca,1,-0.03010684624314308,-0.03126543015241623
7,03,muñeca,2,-0.06375221908092499,-0.055264148861169815
8,04,palma,1,-0.03538726270198822,-0.02585284784436226
9,04,palma,2,-0.09769536554813385,-0.07869082689285278
10,05,peso,1,-0.06926977634429932,-0.04845783859491348
11,05,peso,2,-0.01912260428071022,0.004046408459544182
12,06,banco,1,-0.11340811848640442,-0.10479477792978287
13,06,banco,2,-0.1280909776687622,-0.10540206730365753
14,07,tarjeta,1,-0.12527745962142944,-0.10587990283966064
15,07,tarjeta,2,-0.15674445033073425,-0.11112088710069656
16,08,granada,1,-0.13857334852218628,-0.13845738768577576
17,08,granada,2,-0.10317658632993698,-0.08983391523361206
18,09,lima,1,-0.09437375515699387,-0.023490913212299347
19,09,lima,2,-0.11894941329956055,-0.08155974000692368
20,10,mango,1,-0.08842716366052628,-0.06283226609230042
21,10,mango,2,-0.07549268752336502,-0.04819959029555321
22,11,copa,1,-0.08942407369613647,-0.1011025458574295
23,11,copa,2,-0.05669000372290611,-0.052221670746803284
24,12,arco,1,-0.0994865894317627,-0.07470543682575226
25,12,arco,2,-0.04874525964260101,-0.038422998040914536
26,13,penal,1,-0.07743611186742783,-0.07310862094163895
27,13,penal,2,-0.0007577082142233849,-0.012005509808659554
28,14,pico,1,-0.1289479285478592,-0.13134357333183289
29,14,pico,2,-0.07535064965486526,-0.05936361849308014
30,15,cabo,1,-0.14949733018875122,-0.12418466806411743
31,15,cabo,2,-0.026038968935608864,-0.0162908136844635
32,16,sierra,1,-0.1206597089767456,-0.08126873522996902
33,16,sierra,2,-0.053753625601530075,-0.055065933614969254
34,17,cólera,1,-0.05647417530417442,-0.016968589276075363
35,17,cólera,2,-0.05138251185417175,-0.06100493296980858
36,18,buzo,1,-0.11492431163787842,-0.09431540966033936
37,18,buzo,2,-0.1543915569782257,-0.14045676589012146
38,19,sostén,1,-0.0046326033771038055,0.018674040213227272
39,19,sostén,2,-0.03310851380228996,-0.03566794842481613
40,20,taco,1,-0.15475903451442719,-0.11207608133554459
41,20,taco,2,-0.11766653507947922,-0.08446981012821198
42,21,pluma,1,-0.13928081095218658,-0.12098191678524017
43,21,pluma,2,-0.09225904941558838,-0.07640925794839859
44,23,regla,1,-0.09194076806306839,-0.07003408670425415
45,23,regla,2,-0.05237129330635071,-0.03285055235028267
46,24,goma,1,-0.08746123313903809,-0.0953618586063385
47,24,goma,2,0.01348140463232994,0.031069258227944374
48,25,raíz,1,0.018763985484838486,0.1145782470703125
49,25,raíz,2,-0.02493167854845524,0.00477739330381155
50,26,cuarto,1,-0.10188475251197815,-0.06161469221115112
51,26,cuarto,2,-0.08248531073331833,-0.01691804639995098
52,27,medio,1,-0.052721742540597916,-0.031004950404167175
53,27,medio,2,-0.029923290014266968,-0.03850964456796646
54,28,cuenta,1,-0.014399068430066109,-0.006862366572022438
55,28,cuenta,2,-0.05055272951722145,-0.05100196599960327
56,29,nota,1,-0.06101696938276291,-0.049298245459795
57,29,nota,2,-0.09577998518943787,-0.08942025899887085
58,30,órgano,1,-0.06262049078941345,-0.012799341231584549
59,30,órgano,2,-0.07510826736688614,-0.05630933493375778
60,31,batería,1,-0.07980477809906006,0.009757446125149727
61,31,batería,2,0.0037455614656209946,0.0030687805265188217
62,32,izquierda,1,0.008639534935355186,0.14270035922527313
63,32,izquierda,2,-0.093172088265419,-0.09473888576030731
64,33,partido,1,0.05506131798028946,0.009637684561312199
65,33,partido,2,-0.032195303589105606,0.022150259464979172
66,34,campaña,1,0.08616400510072708,0.0783277079463005
67,34,campaña,2,-0.07250716537237167,-0.06569211930036545
68,35,estado,1,-0.00713532418012619,0.002624407410621643
69,35,estado,2,-0.09161574393510818,-0.03256317973136902
70,36,pastor,1,-0.0887843668460846,-0.10954513400793076
71,36,pastor,2,-0.08969186246395111,-0.1190265417098999
72,37,oración,1,-0.05871899425983429,-0.05732114613056183
73,37,oración,2,-0.14448580145835876,-0.13887327909469604
74,38,función,1,-0.0404474213719368,-0.012803028337657452
75,38,función,2,-0.01712021417915821,0.036663204431533813
76,39,obra,1,-0.014207390137016773,-0.01308973878622055
77,39,obra,2,-0.06692684441804886,-0.028767824172973633
78,40,plataforma,1,-0.05624213069677353,-0.05173823609948158
79,40,plataforma,2,-0.01825682818889618,-0.01913515478372574
80,41,viral,1,-0.1084371954202652,-0.1083562821149826
81,41,viral,2,-0.11535578966140747,-0.08425232023000717
82,42,red,1,-0.09050087630748749,-0.030322574079036713
83,42,red,2,-0.04147419333457947,-0.01419873721897602
84,43,aplicación,1,-0.041698381304740906,-0.035713087767362595
85,43,aplicación,2,-0.06819935142993927,-0.012399517931044102
86,44,expreso,1,0.08189014345407486,0.04554756358265877
87,44,expreso,2,-0.059389881789684296,-0.08648955821990967
88,45,móvil,1,-0.06788472831249237,-0.07871321588754654
89,45,móvil,2,-0.10611912608146667,-0.07844272255897522
90,46,metro,1,-0.014049969613552094,-0.01200817245990038
91,46,metro,2,-0.12128392606973648,-0.10462483763694763
92,47,estación,1,-0.041801173239946365,-0.01946140266954899
93,47,estación,2,-0.008608106523752213,0.01678350567817688
