layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.35475584864616394,0.35475584864616394,0.0,0.0,0.0
1,00,1,raya,0.040415208786726,0.0525960773229599,0.012180868536233902,-0.0023471131608722375,0.0016165617937258562
2,00,1,raya,-0.028903180733323097,-0.006740065291523933,-0.022163115441799164,-0.012427985177751868,0.001649943408857901
3,00,1,raya,-0.0532798208296299,-0.032621972262859344,-0.020657848566770554,-0.011591812328217512,0.0013723649013483807
4,00,1,raya,-0.0675109252333641,-0.05453019589185715,-0.012980729341506958,-0.007010612032435676,0.0013709817700034554
5,00,1,raya,-0.06803421676158905,-0.04383682459592819,-0.024197392165660858,-0.004622940271300204,0.0014403588643609724
6,00,1,raya,-0.07390394061803818,-0.04751274734735489,-0.02639119327068329,-0.003941354995712321,0.001524579400532206
7,00,1,raya,-0.06872935593128204,-0.0359029546380043,-0.03282640129327774,-0.009745620428881746,0.0017659003782756401
8,00,1,raya,-0.07607164233922958,-0.015636112540960312,-0.06043552979826927,-0.018523487619104537,0.0021768395229645604
9,00,1,raya,-0.09204798936843872,-0.012678653001785278,-0.07936933636665344,-0.023498364060403818,0.0026747541127933663
10,00,1,raya,-0.09680955857038498,0.0016059819608926773,-0.0952035766094923,-0.02948742330153572,0.0032162477756834487
11,00,1,raya,-0.08734896034002304,0.019215697422623634,-0.0681332629173994,-0.026171725233422316,0.0035033605067808075
12,00,1,raya,-0.10296045243740082,0.009072832763195038,-0.09388761967420578,-0.030339763053950478,0.0037781454849456194
0,00,2,raya,0.394450306892395,0.394450306892395,0.0,0.0,0.0
1,00,2,raya,0.02942144125699997,0.01855827495455742,-0.01086316630244255,-0.0023471131608722375,0.0016165617937258562
2,00,2,raya,-0.031238028779625893,-0.030319031327962875,-0.0009189974516630173,-0.012427985177751868,0.001649943408857901
3,00,2,raya,-0.05707986652851105,-0.05881653353571892,0.0017366670072078705,-0.011591812328217512,0.0013723649013483807
4,00,2,raya,-0.08381666988134384,-0.08261186629533768,-0.0012048035860061646,-0.007010612032435676,0.0013709817700034554
