layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.1507582664489746,0.1507582664489746,0.0,0.0,0.0
1,00,1,raya,-0.0490572527050972,-0.060839954763650894,0.011782702058553696,0.0016495791818708816,0.001261322431613694
2,00,1,raya,-0.06081783398985863,-0.07740011066198349,0.016582276672124863,0.0016236314797734327,0.0012911966570184222
3,00,1,raya,-0.06697650253772736,-0.0834951400756836,0.016518637537956238,0.0011293652586321882,0.0011694532219907543
4,00,1,raya,-0.08795428276062012,-0.1005466878414154,0.012592405080795288,0.0014456631219450463,0.0011144759022328856
5,00,1,raya,-0.09023301303386688,-0.09426914155483246,0.004036128520965576,0.003126573045440811,0.0011717483677360675
6,00,1,raya,-0.08772838115692139,-0.0946512520313263,0.006922870874404907,0.0024743548079215467,0.0012620813987342708
7,00,1,raya,-0.09171579778194427,-0.11222195625305176,0.020506158471107483,0.0025129278259787787,0.0014296466374459017
8,00,1,raya,-0.09350370615720749,-0.11528362333774567,0.021779917180538177,0.0008391698109025651,0.001827180687599197
9,00,1,raya,-0.09229310601949692,-0.1120554581284523,0.019762352108955383,0.000419626740659488,0.0021577634933769804
10,00,1,raya,-0.0989251583814621,-0.11210274696350098,0.01317758858203888,0.0003426245294828364,0.0023978617462899767
11,00,1,raya,-0.08908964693546295,-0.08997218310832977,0.0008825361728668213,0.001132179314191354,0.0026092843705372896
12,00,1,raya,-0.0842612087726593,-0.09045422077178955,0.006193011999130249,0.0009391088524159599,0.0026881080052473163
0,00,2,raya,0.26120299100875854,0.26120299100875854,0.0,0.0,0.0
1,00,2,raya,-0.041304320096969604,-0.04995317384600639,0.008648853749036789,0.0016495791818708816,0.001261322431613694
2,00,2,raya,-0.08306821435689926,-0.0849129855632782,0.0018447712063789368,0.0016236314797734327,0.0012911966570184222
3,00,2,raya,-0.10238930583000183,-0.11079448461532593,0.008405178785324097,0.0011293652586321882,0.0011694532219907543
4,00,2,raya,-0.11375180631875992,-0.12022894620895386,0.006477139890193939,0.0014456631219450463,0.0011144759022328856
5,00,2,raya,-0.1176619678735733,-0.12809601426124573,0.010434046387672424,0.003126573045440811,0.0011717483677360675
6,00,2,raya,-0.1222422793507576,-0.13354191184043884,0.011299632489681244,0.0024743548079215467,0.0012620813987342708
7,00,2,raya,-0.11949938535690308,-0.12766702473163605,0.008167639374732971,0.0025129278259787787,0.0014296466374459017
8,00,2,raya,-0.12312343716621399,-0.11556543409824371,-0.007558003067970276,0.0008391698109025651,0.001827180687599197
9,00,2,raya,-0.11355841159820557,-0.09187528491020203,-0.02168312668800354,0.000419626740659488,0.0021577634933769804
10,00,2,raya,-0.10516256093978882,-0.0827835276722908,-0.022379033267498016,0.0003426245294828364,0.0023978617462899767
11,00,2,raya,-0.07830500602722168,-0.058121103793382645,-0.020183902233839035,0.001132179314191354,0.0026092843705372896
12,00,2,raya,-0.05863027274608612,-0.0348069854080677,-0.023823287338018417,0.0009391088524159599,0.0026881080052473163
0,01,1,llama,0.15165701508522034,0.15165701508522034,0.0,0.0,0.0
1,01,1,llama,-0.024553395807743073,-0.03202517330646515,0.007471777498722076,0.0016495791818708816,0.001261322431613694
2,01,1,llama,-0.04691335931420326,-0.04575074464082718,-0.0011626146733760834,0.0016236314797734327,0.0012911966570184222
3,01,1,llama,-0.04202137887477875,-0.03886628895998001,-0.0031550899147987366,0.0011293652586321882,0.0011694532219907543
4,01,1,llama,-0.06125607341527939,-0.055153101682662964,-0.0061029717326164246,0.0014456631219450463,0.0011144759022328856
5,01,1,llama,-0.05895122140645981,-0.05773523449897766,-0.0012159869074821472,0.003126573045440811,0.0011717483677360675
6,01,1,llama,-0.0843799039721489,-0.07597102224826813,-0.008408881723880768,0.0024743548079215467,0.0012620813987342708
7,01,1,llama,-0.09535320103168488,-0.08568081259727478,-0.009672388434410095,0.0025129278259787787,0.0014296466374459017
8,01,1,llama,-0.09541414678096771,-0.0898420512676239,-0.005572095513343811,0.0008391698109025651,0.001827180687599197
9,01,1,llama,-0.09584338217973709,-0.10330658406019211,0.007463201880455017,0.000419626740659488,0.0021577634933769804
10,01,1,llama,-0.08142250031232834,-0.09547920525074005,0.014056704938411713,0.0003426245294828364,0.0023978617462899767
11,01,1,llama,-0.051325034350156784,-0.04413119703531265,-0.0071938373148441315,0.001132179314191354,0.0026092843705372896
12,01,1,llama,-0.04249124974012375,-0.027185700833797455,-0.015305548906326294,0.0009391088524159599,0.0026881080052473163
0,01,2,llama,0.04943103715777397,0.04943103715777397,0.0,0.0,0.0
1,01,2,llama,-0.04096042364835739,-0.06645955890417099,0.0254991352558136,0.0016495791818708816,0.001261322431613694
2,01,2,llama,-0.06208568438887596,-0.08529668301343918,0.023210998624563217,0.0016236314797734327,0.0012911966570184222
3,01,2,llama,-0.0657428503036499,-0.08525466173887253,0.019511811435222626,0.0011293652586321882,0.0011694532219907543
4,01,2,llama,-0.08765086531639099,-0.10363799333572388,0.015987128019332886,0.0014456631219450463,0.0011144759022328856
5,01,2,llama,-0.10004327446222305,-0.1208229660987854,0.020779691636562347,0.003126573045440811,0.0011717483677360675
6,01,2,llama,-0.10584696382284164,-0.1245078593492508,0.01866089552640915,0.0024743548079215467,0.0012620813987342708
7,01,2,llama,-0.10807555913925171,-0.12281693518161774,0.014741376042366028,0.0025129278259787787,0.0014296466374459017
8,01,2,llama,-0.10843027383089066,-0.1305457204580307,0.022115446627140045,0.0008391698109025651,0.001827180687599197
9,01,2,llama,-0.10018964111804962,-0.11772175133228302,0.0175321102142334,0.000419626740659488,0.0021577634933769804
10,01,2,llama,-0.09484405070543289,-0.11353115737438202,0.018687106668949127,0.0003426245294828364,0.0023978617462899767
11,01,2,llama,-0.06780107319355011,-0.07601284980773926,0.008211776614189148,0.001132179314191354,0.0026092843705372896
12,01,2,llama,-0.07608580589294434,-0.070802241563797,-0.005283564329147339,0.0009391088524159599,0.0026881080052473163
0,02,1,salamandra,0.2259562909603119,0.2259562909603119,0.0,0.0,0.0
1,02,1,salamandra,-0.06734983623027802,-0.059243395924568176,-0.008106440305709839,0.0016495791818708816,0.001261322431613694
2,02,1,salamandra,-0.07082253694534302,-0.07211124897003174,0.0012887120246887207,0.0016236314797734327,0.0012911966570184222
3,02,1,salamandra,-0.08864359557628632,-0.08048903197050095,-0.00815456360578537,0.0011293652586321882,0.0011694532219907543
4,02,1,salamandra,-0.1013915091753006,-0.10761088132858276,0.0062193721532821655,0.0014456631219450463,0.0011144759022328856
5,02,1,salamandra,-0.09286583960056305,-0.10423565655946732,0.011369816958904266,0.003126573045440811,0.0011717483677360675
6,02,1,salamandra,-0.11287892609834671,-0.1194753646850586,0.0065964385867118835,0.0024743548079215467,0.0012620813987342708
7,02,1,salamandra,-0.0957360714673996,-0.10407152771949768,0.008335456252098083,0.0025129278259787787,0.0014296466374459017
8,02,1,salamandra,-0.0995166227221489,-0.10552424937486649,0.00600762665271759,0.0008391698109025651,0.001827180687599197
9,02,1,salamandra,-0.09942150115966797,-0.1145634651184082,0.015141963958740234,0.000419626740659488,0.0021577634933769804
10,02,1,salamandra,-0.083492711186409,-0.10226868093013763,0.018775969743728638,0.0003426245294828364,0.0023978617462899767
11,02,1,salamandra,-0.05779185891151428,-0.08009801059961319,0.022306151688098907,0.001132179314191354,0.0026092843705372896
12,02,1,salamandra,-0.03923691436648369,-0.05996691435575485,0.020729999989271164,0.0009391088524159599,0.0026881080052473163
0,02,2,salamandra,0.12193003296852112,0.12193003296852112,0.0,0.0,0.0
1,02,2,salamandra,-0.025243792682886124,-0.002835809253156185,-0.02240798342972994,0.0016495791818708816,0.001261322431613694
2,02,2,salamandra,-0.0429796539247036,-0.02287384122610092,-0.020105812698602676,0.0016236314797734327,0.0012911966570184222
3,02,2,salamandra,-0.046712249517440796,-0.019573435187339783,-0.027138814330101013,0.0011293652586321882,0.0011694532219907543
4,02,2,salamandra,-0.050611261278390884,-0.027633417397737503,-0.02297784388065338,0.0014456631219450463,0.0011144759022328856
5,02,2,salamandra,-0.04303514584898949,-0.03660067915916443,-0.006434466689825058,0.003126573045440811,0.0011717483677360675
6,02,2,salamandra,-0.06836749613285065,-0.06729300320148468,-0.0010744929313659668,0.0024743548079215467,0.0012620813987342708
7,02,2,salamandra,-0.07474029064178467,-0.06780483573675156,-0.006935454905033112,0.0025129278259787787,0.0014296466374459017
8,02,2,salamandra,-0.08070631325244904,-0.079777792096138,-0.0009285211563110352,0.0008391698109025651,0.001827180687599197
9,02,2,salamandra,-0.08087673783302307,-0.08401202410459518,0.003135286271572113,0.000419626740659488,0.0021577634933769804
10,02,2,salamandra,-0.07385078072547913,-0.07234285771846771,-0.0015079230070114136,0.0003426245294828364,0.0023978617462899767
11,02,2,salamandra,-0.05468284338712692,-0.06642404198646545,0.011741198599338531,0.001132179314191354,0.0026092843705372896
12,02,2,salamandra,-0.05734829977154732,-0.07344870269298553,0.016100402921438217,0.0009391088524159599,0.0026881080052473163
0,03,1,muñeca,0.28094592690467834,0.28094592690467834,0.0,0.0,0.0
1,03,1,muñeca,-0.0159910898655653,-0.029597796499729156,0.013606706634163857,0.0016495791818708816,0.001261322431613694
2,03,1,muñeca,-0.04879491776227951,-0.056432027369737625,0.007637109607458115,0.0016236314797734327,0.0012911966570184222
3,03,1,muñeca,-0.06820416450500488,-0.07267946749925613,0.004475302994251251,0.0011293652586321882,0.0011694532219907543
4,03,1,muñeca,-0.07899370789527893,-0.0869344025850296,0.007940694689750671,0.0014456631219450463,0.0011144759022328856
5,03,1,muñeca,-0.09469465911388397,-0.1078452318906784,0.013150572776794434,0.003126573045440811,0.0011717483677360675
6,03,1,muñeca,-0.09329276531934738,-0.1127779483795166,0.01948518306016922,0.0024743548079215467,0.0012620813987342708
7,03,1,muñeca,-0.09412647783756256,-0.11359937489032745,0.019472897052764893,0.0025129278259787787,0.0014296466374459017
8,03,1,muñeca,-0.0940944254398346,-0.12327440828084946,0.029179982841014862,0.0008391698109025651,0.001827180687599197
9,03,1,muñeca,-0.08791521191596985,-0.12222965061664581,0.034314438700675964,0.000419626740659488,0.0021577634933769804
10,03,1,muñeca,-0.08935437351465225,-0.1266370415687561,0.03728266805410385,0.0003426245294828364,0.0023978617462899767
11,03,1,muñeca,-0.07091379165649414,-0.10317817330360413,0.032264381647109985,0.001132179314191354,0.0026092843705372896
12,03,1,muñeca,-0.053760379552841187,-0.08590961247682571,0.03214923292398453,0.0009391088524159599,0.0026881080052473163
0,03,2,muñeca,0.3398248553276062,0.3398248553276062,0.0,0.0,0.0
1,03,2,muñeca,0.0740940049290657,0.07863052934408188,0.004536524415016174,0.0016495791818708816,0.001261322431613694
2,03,2,muñeca,0.03290586546063423,0.033673156052827835,0.0007672905921936035,0.0016236314797734327,0.0012911966570184222
3,03,2,muñeca,0.014678260311484337,0.009704436175525188,-0.004973824135959148,0.0011293652586321882,0.0011694532219907543
4,03,2,muñeca,0.0017892736941576004,-0.004263203591108322,0.0024739298969507217,0.0014456631219450463,0.0011144759022328856
5,03,2,muñeca,-0.005874820984899998,-0.01434320118278265,0.008468380197882652,0.003126573045440811,0.0011717483677360675
6,03,2,muñeca,-0.012596740387380123,-0.018720151856541634,0.0061234114691615105,0.0024743548079215467,0.0012620813987342708
7,03,2,muñeca,-0.008654474280774593,-0.019535310566425323,0.01088083628565073,0.0025129278259787787,0.0014296466374459017
8,03,2,muñeca,-0.0004988778382539749,-0.009479880332946777,0.008981002494692802,0.0008391698109025651,0.001827180687599197
