layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,2,raya,0.3952958583831787,0.3952958583831787,0.0,0.0,0.0
1,00,2,raya,0.028459856286644936,0.020710539072752,-0.007749317213892937,0.009691339826373302,0.0025958153458436185
2,00,2,raya,-0.02860647439956665,-0.02424187958240509,0.00436459481716156,0.014245614925723361,0.0023949077612206203
3,00,2,raya,-0.055047038942575455,-0.05451572686433792,0.0005313120782375336,0.012167802181742762,0.0020278689052020227
4,00,2,raya,-0.08162152767181396,-0.07741400599479675,0.004207521677017212,0.0070895724322484885,0.001961421693113839
5,00,2,raya,-0.09996403753757477,-0.09022988379001617,0.009734153747558594,0.004030303928353216,0.0020325313216650147
6,00,2,raya,-0.09365111589431763,-0.08496497571468353,0.008686140179634094,0.0031234490553565,0.0023207627944664905
7,00,2,raya,-0.08737257868051529,-0.08440946787595749,0.0029631108045578003,0.00812129029477744,0.002678175099614072
8,00,2,raya,-0.07024659961462021,-0.04485928267240524,0.025387316942214966,0.018576299569205097,0.0032363821846221547
9,00,2,raya,-0.06222502887248993,-0.025361983105540276,0.036863045766949654,0.023611528302907296,0.004466030661502446
10,00,2,raya,-0.05205085873603821,-0.004774272441864014,0.047276586294174194,0.03237961654794281,0.005310012039168617
11,00,2,raya,-0.03423653915524483,0.009322147816419601,0.04355868697166443,0.03222894721219073,0.005537077976576567
12,00,2,raya,-0.01741766929626465,0.028308648616075516,0.045726317912340164,0.0341519210892527,0.005449654453139865
0,02,2,salamandra,0.2907947301864624,0.2907947301864624,0.0,0.0,0.0
1,02,2,salamandra,-0.04418651759624481,-0.028863055631518364,0.015323461964726448,0.009691339826373302,0.0025958153458436185
2,02,2,salamandra,-0.07322020828723907,-0.05970248579978943,0.013517722487449646,0.014245614925723361,0.0023949077612206203
3,02,2,salamandra,-0.08761058747768402,-0.07225470244884491,0.015355885028839111,0.012167802181742762,0.0020278689052020227
4,02,2,salamandra,-0.10909020900726318,-0.09586985409259796,0.013220354914665222,0.0070895724322484885,0.001961421693113839
5,02,2,salamandra,-0.09805679321289062,-0.1045694500207901,-0.006512656807899475,0.004030303928353216,0.0020325313216650147
6,02,2,salamandra,-0.11121213436126709,-0.12252146005630493,-0.011309325695037842,0.0031234490553565,0.0023207627944664905
7,02,2,salamandra,-0.11684220284223557,-0.11333101987838745,0.003511182963848114,0.00812129029477744,0.002678175099614072
8,02,2,salamandra,-0.1457866132259369,-0.13846850395202637,0.0073181092739105225,0.018576299569205097,0.0032363821846221547
9,02,2,salamandra,-0.17120546102523804,-0.17384397983551025,-0.002638518810272217,0.023611528302907296,0.004466030661502446
10,02,2,salamandra,-0.18468394875526428,-0.17116984724998474,0.013514101505279541,0.03237961654794281,0.005310012039168617
11,02,2,salamandra,-0.1515498161315918,-0.14820322394371033,0.0033465921878814697,0.03222894721219073,0.005537077976576567
12,02,2,salamandra,-0.1518985778093338,-0.1495639532804489,0.0023346245288848877,0.0341519210892527,0.005449654453139865
0,03,1,muñeca,0.44878101348876953,0.44878101348876953,0.0,0.0,0.0
1,03,1,muñeca,-0.012647469528019428,-0.0217086561024189,-0.009061186574399471,0.009691339826373302,0.0025958153458436185
2,03,1,muñeca,-0.03452621400356293,-0.041524551808834076,-0.006998337805271149,0.014245614925723361,0.0023949077612206203
3,03,1,muñeca,-0.04668992757797241,-0.05353541299700737,-0.006845485419034958,0.012167802181742762,0.0020278689052020227
4,03,1,muñeca,-0.046601440757513046,-0.060345359146595,-0.013743918389081955,0.0070895724322484885,0.001961421693113839
5,03,1,muñeca,-0.054179441183805466,-0.06827863305807114,-0.01409919187426567,0.004030303928353216,0.0020325313216650147
6,03,1,muñeca,-0.056993089616298676,-0.07091376930475235,-0.013920679688453674,0.0031234490553565,0.0023207627944664905
7,03,1,muñeca,-0.04673893004655838,-0.05423925817012787,-0.0075003281235694885,0.00812129029477744,0.002678175099614072
8,03,1,muñeca,-0.05572514235973358,-0.06276673823595047,-0.007041595876216888,0.018576299569205097,0.0032363821846221547
9,03,1,muñeca,-0.05306533724069595,-0.06387290358543396,-0.010807566344738007,0.023611528302907296,0.004466030661502446
10,03,1,muñeca,-0.06024973839521408,-0.06869683414697647,-0.00844709575176239,0.03237961654794281,0.005310012039168617
11,03,1,muñeca,-0.05459127202630043,-0.06105557829141617,-0.006464306265115738,0.03222894721219073,0.005537077976576567
12,03,1,muñeca,-0.055198073387145996,-0.05885188654065132,-0.0036538131535053253,0.0341519210892527,0.005449654453139865
0,03,2,muñeca,0.48009049892425537,0.48009049892425537,0.0,0.0,0.0
1,03,2,muñeca,-0.015044384635984898,-0.009110102429986,0.0059342822059988976,0.009691339826373302,0.0025958153458436185
2,03,2,muñeca,-0.06630169600248337,-0.059490762650966644,0.006810933351516724,0.014245614925723361,0.0023949077612206203
3,03,2,muñeca,-0.08495871722698212,-0.0768100917339325,0.008148625493049622,0.012167802181742762,0.0020278689052020227
4,03,2,muñeca,-0.08998022973537445,-0.08718779683113098,0.0027924329042434692,0.0070895724322484885,0.001961421693113839
5,03,2,muñeca,-0.09073418378829956,-0.09232553839683533,-0.0015913546085357666,0.004030303928353216,0.0020325313216650147
6,03,2,muñeca,-0.0993417501449585,-0.10635153949260712,-0.007009789347648621,0.0031234490553565,0.0023207627944664905
7,03,2,muñeca,-0.09402746707201004,-0.10017503052949905,-0.006147563457489014,0.00812129029477744,0.002678175099614072
8,03,2,muñeca,-0.1048530712723732,-0.09324140846729279,0.011611662805080414,0.018576299569205097,0.0032363821846221547
9,03,2,muñeca,-0.10515424609184265,-0.0825866311788559,0.022567614912986755,0.023611528302907296,0.004466030661502446
10,03,2,muñeca,-0.11091585457324982,-0.07642193138599396,0.03449392318725586,0.03237961654794281,0.005310012039168617
11,03,2,muñeca,-0.0922061875462532,-0.0648946687579155,0.027311518788337708,0.03222894721219073,0.005537077976576567
12,03,2,muñeca,-0.09661030769348145,-0.05893592908978462,0.03767437860369682,0.0341519210892527,0.005449654453139865
0,04,1,palma,0.522038459777832,0.522038459777832,0.0,0.0,0.0
1,04,1,palma,0.0421331413090229,0.043810345232486725,0.0016772039234638214,0.009691339826373302,0.0025958153458436185
2,04,1,palma,0.003996275365352631,0.014636434614658356,0.010640159249305725,0.014245614925723361,0.0023949077612206203
3,04,1,palma,-0.008941308595240116,-0.005168713629245758,0.003772594965994358,0.012167802181742762,0.0020278689052020227
4,04,1,palma,-0.01792302168905735,-0.013537373393774033,0.0043856482952833176,0.0070895724322484885,0.001961421693113839
5,04,1,palma,-0.02168836072087288,-0.03294575959444046,-0.011257398873567581,0.004030303928353216,0.0020325313216650147
6,04,1,palma,-0.01840992644429207,-0.04004289582371712,-0.02163296937942505,0.0031234490553565,0.0023207627944664905
7,04,1,palma,-0.027231305837631226,-0.03493218123912811,-0.007700875401496887,0.00812129029477744,0.002678175099614072
8,04,1,palma,-0.037089549005031586,-0.032415539026260376,0.00467400997877121,0.018576299569205097,0.0032363821846221547
9,04,1,palma,-0.04929642379283905,-0.04247070103883743,0.006825722754001617,0.023611528302907296,0.004466030661502446
10,04,1,palma,-0.06760461628437042,-0.053044721484184265,0.014559894800186157,0.03237961654794281,0.005310012039168617
11,04,1,palma,-0.07240524142980576,-0.043969228863716125,0.02843601256608963,0.03222894721219073,0.005537077976576567
12,04,1,palma,-0.0636022761464119,-0.051044151186943054,0.012558124959468842,0.0341519210892527,0.005449654453139865
0,04,2,palma,0.4189636707305908,0.4189636707305908,0.0,0.0,0.0
1,04,2,palma,-0.014288046397268772,0.004201073199510574,0.018489119596779346,0.009691339826373302,0.0025958153458436185
2,04,2,palma,-0.04828307777643204,-0.018239768221974373,0.030043309554457664,0.014245614925723361,0.0023949077612206203
3,04,2,palma,-0.06607374548912048,-0.032233357429504395,0.03384038805961609,0.012167802181742762,0.0020278689052020227
4,04,2,palma,-0.07498468458652496,-0.042775437235832214,0.03220924735069275,0.0070895724322484885,0.001961421693113839
5,04,2,palma,-0.06367477774620056,-0.05097922682762146,0.012695550918579102,0.004030303928353216,0.0020325313216650147
6,04,2,palma,-0.0646832138299942,-0.05297604948282242,0.011707164347171783,0.0031234490553565,0.0023207627944664905
7,04,2,palma,-0.07291332632303238,-0.06269074976444244,0.010222576558589935,0.00812129029477744,0.002678175099614072
8,04,2,palma,-0.07897033542394638,-0.0618225634098053,0.017147772014141083,0.018576299569205097,0.0032363821846221547
9,04,2,palma,-0.06862668693065643,-0.04325718432664871,0.02536950260400772,0.023611528302907296,0.004466030661502446
10,04,2,palma,-0.09544670581817627,-0.03884534537792206,0.05660136044025421,0.03237961654794281,0.005310012039168617
11,04,2,palma,-0.08231638371944427,-0.002459131181240082,0.0798572525382042,0.03222894721219073,0.005537077976576567
12,04,2,palma,-0.07686580717563629,0.0157477930188179,0.0926136001944542,0.0341519210892527,0.005449654453139865
0,05,1,peso,0.31326091289520264,0.31326091289520264,0.0,0.0,0.0
1,05,1,peso,0.029705937951803207,0.0239388607442379,-0.005767077207565308,0.009691339826373302,0.0025958153458436185
