layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.2888266146183014,0.2888266146183014,0.0,0.0,0.0
1,00,1,raya,0.033466219902038574,0.043832264840602875,0.0103660449385643,0.008973955335293679,0.0017491274920333109
2,00,1,raya,-0.02971632219851017,-0.007157133426517248,0.022559188771992922,0.013182420075494559,0.0017145730974104513
3,00,1,raya,-0.048234723508358,-0.02755594253540039,0.02067878097295761,0.011207165231214875,0.0013923651913569151
4,00,1,raya,-0.06567120552062988,-0.053833406418561935,0.011837799102067947,0.006798038472163867,0.0013366486240154998
5,00,1,raya,-0.07194945961236954,-0.04962971806526184,0.022319741547107697,0.005547795563619187,0.0013450894752440495
6,00,1,raya,-0.07683199644088745,-0.054829031229019165,0.022002965211868286,0.005162469599336544,0.001460859040663312
7,00,1,raya,-0.07600127160549164,-0.05148094519972801,0.024520326405763626,0.010501345644328506,0.0017829182612351202
8,00,1,raya,-0.08001319319009781,-0.028826583176851273,0.051186610013246536,0.018062028236330508,0.0022280161992283267
9,00,1,raya,-0.09795355796813965,-0.0243450365960598,0.07360852137207985,0.024509599744441345,0.002631712860858068
10,00,1,raya,-0.09550218284130096,-0.002407093532383442,0.09309508930891752,0.030305932905089032,0.0031335461485952325
11,00,1,raya,-0.08833377063274384,0.013289576396346092,0.10162334702908993,0.029101544659228085,0.0034532586694462383
12,00,1,raya,-0.09774884581565857,0.010028275661170483,0.10777712147682905,0.03401584145018553,0.0037148022195027134
0,00,2,raya,0.30481913685798645,0.30481913685798645,0.0,0.0,0.0
1,00,2,raya,-0.018440542742609978,-0.031026769429445267,-0.012586226686835289,0.008973955335293679,0.0017491274920333109
2,00,2,raya,-0.053117796778678894,-0.05383617430925369,-0.0007183775305747986,0.013182420075494559,0.0017145730974104513
3,00,2,raya,-0.07170628011226654,-0.07635392248630524,-0.004647642374038696,0.011207165231214875,0.0013923651913569151
4,00,2,raya,-0.09085898101329803,-0.09194360673427582,-0.0010846257209777832,0.006798038472163867,0.0013366486240154998
5,00,2,raya,-0.09870805591344833,-0.09766396880149841,0.0010440871119499207,0.005547795563619187,0.0013450894752440495
