layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.2888266146183014,0.2888266146183014,0.0,0.0,0.0
1,00,1,raya,0.033466219902038574,0.043832264840602875,0.0103660449385643,0.010890434554312378,0.0025405794502326704
2,00,1,raya,-0.02971632219851017,-0.007157133426517248,0.022559188771992922,0.015338852991893267,0.002344926729038089
3,00,1,raya,-0.048234723508358,-0.02755594253540039,0.02067878097295761,0.01363001023613227,0.0019670293141561337
4,00,1,raya,-0.06567120552062988,-0.053833406418561935,0.011837799102067947,0.00845583543802301,0.0019057615609765048
5,00,1,raya,-0.07194945961236954,-0.04962971806526184,0.022319741547107697,0.007690042053582147,0.0019007625777588692
6,00,1,raya,-0.07683199644088745,-0.054829031229019165,0.022002965211868286,0.0071290916481909035,0.0018682677972649325
7,00,1,raya,-0.07600127160549164,-0.05148094519972801,0.024520326405763626,0.013580981739020595,0.0024535405429140407
8,00,1,raya,-0.08001319319009781,-0.028826583176851273,0.051186610013246536,0.021220375104652096,0.003126415447235121
9,00,1,raya,-0.09795355796813965,-0.0243450365960598,0.07360852137207985,0.028437909883602213,0.0033603881093119477
10,00,1,raya,-0.09550218284130096,-0.002407093532383442,0.09309508930891752,0.03550098595830301,0.004215778681991572
11,00,1,raya,-0.08833377063274384,0.013289576396346092,0.10162334702908993,0.034449530843024455,0.004679175107167346
12,00,1,raya,-0.09774884581565857,0.010028275661170483,0.10777712147682905,0.04115363889529059,0.005264597317884153
0,01,1,llama,0.16372747719287872,0.16372747719287872,0.0,0.0,0.0
1,01,1,llama,-0.10137246549129486,-0.10815244913101196,-0.006779983639717102,0.010890434554312378,0.0025405794502326704
2,01,1,llama,-0.11885330826044083,-0.11179858446121216,0.007054723799228668,0.015338852991893267,0.002344926729038089
3,01,1,llama,-0.11200617998838425,-0.10205742716789246,0.00994875282049179,0.01363001023613227,0.0019670293141561337
4,01,1,llama,-0.12831026315689087,-0.1104777604341507,0.017832502722740173,0.00845583543802301,0.0019057615609765048
5,01,1,llama,-0.12758192420005798,-0.10952378809452057,0.018058136105537415,0.007690042053582147,0.0019007625777588692
6,01,1,llama,-0.15498313307762146,-0.13230934739112854,0.02267378568649292,0.0071290916481909035,0.0018682677972649325
7,01,1,llama,-0.17887544631958008,-0.15575622022151947,0.023119226098060608,0.013580981739020595,0.0024535405429140407
8,01,1,llama,-0.18988224864006042,-0.15788103640079498,0.03200121223926544,0.021220375104652096,0.003126415447235121
9,01,1,llama,-0.18653419613838196,-0.16084158420562744,0.025692611932754517,0.028437909883602213,0.0033603881093119477
10,01,1,llama,-0.18180349469184875,-0.16522079706192017,0.01658269762992859,0.03550098595830301,0.004215778681991572
11,01,1,llama,-0.1367887705564499,-0.10119463503360748,0.03559413552284241,0.034449530843024455,0.004679175107167346
12,01,1,llama,-0.1360274702310562,-0.0790523961186409,0.056975074112415314,0.04115363889529059,0.005264597317884153
0,01,2,llama,0.2270030677318573,0.2270030677318573,0.0,0.0,0.0
1,01,2,llama,-0.028046438470482826,-0.024459198117256165,0.0035872403532266617,0.010890434554312378,0.0025405794502326704
2,01,2,llama,-0.043636709451675415,-0.03726836293935776,0.0063683465123176575,0.015338852991893267,0.002344926729038089
3,01,2,llama,-0.034903042018413544,-0.02538135088980198,0.009521691128611565,0.01363001023613227,0.0019670293141561337
4,01,2,llama,-0.04678524285554886,-0.03554844856262207,0.011236794292926788,0.00845583543802301,0.0019057615609765048
5,01,2,llama,-0.04034314304590225,-0.03527628630399704,0.005066856741905212,0.007690042053582147,0.0019007625777588692
6,01,2,llama,-0.06487021595239639,-0.05486827343702316,0.01000194251537323,0.0071290916481909035,0.0018682677972649325
7,01,2,llama,-0.05576261132955551,-0.03131896257400513,0.024443648755550385,0.013580981739020595,0.0024535405429140407
8,01,2,llama,-0.05058594048023224,-0.03587207570672035,0.014713864773511887,0.021220375104652096,0.003126415447235121
9,01,2,llama,-0.052426327019929886,-0.02488728053867817,0.027539046481251717,0.028437909883602213,0.0033603881093119477
10,01,2,llama,-0.054558463394641876,-0.035731084644794464,0.018827378749847412,0.03550098595830301,0.004215778681991572
11,01,2,llama,-0.04119984433054924,-0.010107278823852539,0.0310925655066967,0.034449530843024455,0.004679175107167346
12,01,2,llama,-0.05653982609510422,-0.009657241404056549,0.04688258469104767,0.04115363889529059,0.005264597317884153
0,02,1,salamandra,0.3542894124984741,0.3542894124984741,0.0,0.0,0.0
1,02,1,salamandra,-0.06539145112037659,-0.03607858344912529,0.029312867671251297,0.010890434554312378,0.0025405794502326704
2,02,1,salamandra,-0.09535747766494751,-0.06645829975605011,0.0288991779088974,0.015338852991893267,0.002344926729038089
3,02,1,salamandra,-0.106977678835392,-0.07321672141551971,0.033760957419872284,0.01363001023613227,0.0019670293141561337
4,02,1,salamandra,-0.11350777745246887,-0.09625796973705292,0.017249807715415955,0.00845583543802301,0.0019057615609765048
5,02,1,salamandra,-0.09739428758621216,-0.0899629145860672,0.0074313730001449585,0.007690042053582147,0.0019007625777588692
6,02,1,salamandra,-0.11054122447967529,-0.10414764285087585,0.0063935816287994385,0.0071290916481909035,0.0018682677972649325
7,02,1,salamandra,-0.10115700960159302,-0.09086176753044128,0.010295242071151733,0.013580981739020595,0.0024535405429140407
