layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.2888266146183014,0.2888266146183014,0.0,0.0,0.0
1,00,1,raya,0.033466219902038574,0.043832264840602875,0.0103660449385643,0.01030364351723581,0.0018069560245377002
2,00,1,raya,-0.02971632219851017,-0.007157133426517248,0.022559188771992922,0.01480386415100161,0.0016674359738630114
3,00,1,raya,-0.048234723508358,-0.02755594253540039,0.02067878097295761,0.012914461613771445,0.0014064070753593656
4,00,1,raya,-0.06567120552062988,-0.053833406418561935,0.011837799102067947,0.007787238647963138,0.0013613419001106664
5,00,1,raya,-0.07194945961236954,-0.04962971806526184,0.022319741547107697,0.005899106375278628,0.0013951929845586338
6,00,1,raya,-0.07683199644088745,-0.054829031229019165,0.022002965211868286,0.005168883570846408,0.0014896955743026615
7,00,1,raya,-0.07600127160549164,-0.05148094519972801,0.024520326405763626,0.010909217840773946,0.0018253756215414168
8,00,1,raya,-0.08001319319009781,-0.028826583176851273,0.051186610013246536,0.01992646580007165,0.002240845041928168
9,00,1,raya,-0.09795355796813965,-0.0243450365960598,0.07360852137207985,0.026076063578155763,0.002774805387724462
10,00,1,raya,-0.09550218284130096,-0.002407093532383442,0.09309508930891752,0.03397350731067993,0.00335994515472346
11,00,1,raya,-0.08833377063274384,0.013289576396346092,0.10162334702908993,0.03336286225772284,0.0035948887577125555
12,00,1,raya,-0.09774884581565857,0.010028275661170483,0.10777712147682905,0.03772726635191035,0.0037837202653945067
0,00,2,raya,0.3952958583831787,0.3952958583831787,0.0,0.0,0.0
1,00,2,raya,0.028459856286644936,0.020710539072752,-0.007749317213892937,0.01030364351723581,0.0018069560245377002
2,00,2,raya,-0.02860647439956665,-0.02424187958240509,0.00436459481716156,0.01480386415100161,0.0016674359738630114
3,00,2,raya,-0.055047038942575455,-0.05451572686433792,0.0005313120782375336,0.012914461613771445,0.0014064070753593656
4,00,2,raya,-0.08162152767181396,-0.07741400599479675,0.004207521677017212,0.007787238647963138,0.0013613419001106664
5,00,2,raya,-0.09996403753757477,-0.09022988379001617,0.009734153747558594,0.005899106375278628,0.0013951929845586338
6,00,2,raya,-0.09365111589431763,-0.08496497571468353,0.008686140179634094,0.005168883570846408,0.0014896955743026615
7,00,2,raya,-0.08737257868051529,-0.08440946787595749,0.0029631108045578003,0.010909217840773946,0.0018253756215414168
8,00,2,raya,-0.07024659961462021,-0.04485928267240524,0.025387316942214966,0.01992646580007165,0.002240845041928168
9,00,2,raya,-0.06222502887248993,-0.025361983105540276,0.036863045766949654,0.026076063578155763,0.002774805387724462
10,00,2,raya,-0.05205085873603821,-0.004774272441864014,0.047276586294174194,0.03397350731067993,0.00335994515472346
11,00,2,raya,-0.03423653915524483,0.009322147816419601,0.04355868697166443,0.03336286225772284,0.0035948887577125555
12,00,2,raya,-0.01741766929626465,0.028308648616075516,0.045726317912340164,0.03772726635191035,0.0037837202653945067
0,01,1,llama,0.16372747719287872,0.16372747719287872,0.0,0.0,0.0
1,01,1,llama,-0.10137246549129486,-0.10815244913101196,-0.006779983639717102,0.01030364351723581,0.0018069560245377002
2,01,1,llama,-0.11885330826044083,-0.11179858446121216,0.007054723799228668,0.01480386415100161,0.0016674359738630114
3,01,1,llama,-0.11200617998838425,-0.10205742716789246,0.00994875282049179,0.012914461613771445,0.0014064070753593656
4,01,1,llama,-0.12831026315689087,-0.1104777604341507,0.017832502722740173,0.007787238647963138,0.0013613419001106664
5,01,1,llama,-0.12758192420005798,-0.10952378809452057,0.018058136105537415,0.005899106375278628,0.0013951929845586338
6,01,1,llama,-0.15498313307762146,-0.13230934739112854,0.02267378568649292,0.005168883570846408,0.0014896955743026615
7,01,1,llama,-0.17887544631958008,-0.15575622022151947,0.023119226098060608,0.010909217840773946,0.0018253756215414168
8,01,1,llama,-0.18988224864006042,-0.15788103640079498,0.03200121223926544,0.01992646580007165,0.002240845041928168
9,01,1,llama,-0.18653419613838196,-0.16084158420562744,0.025692611932754517,0.026076063578155763,0.002774805387724462
10,01,1,llama,-0.18180349469184875,-0.16522079706192017,0.01658269762992859,0.03397350731067993,0.00335994515472346
11,01,1,llama,-0.1367887705564499,-0.10119463503360748,0.03559413552284241,0.03336286225772284,0.0035948887577125555
12,01,1,llama,-0.1360274702310562,-0.0790523961186409,0.056975074112415314,0.03772726635191035,0.0037837202653945067
0,01,2,llama,0.2270030677318573,0.2270030677318573,0.0,0.0,0.0
1,01,2,llama,-0.028046438470482826,-0.024459198117256165,0.0035872403532266617,0.01030364351723581,0.0018069560245377002
2,01,2,llama,-0.043636709451675415,-0.03726836293935776,0.0063683465123176575,0.01480386415100161,0.0016674359738630114
