layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.11803990602493286,0.11803990602493286,0.0,0.0,0.0
1,00,1,raya,-0.04779514670372009,-0.0380464643239975,0.009748682379722595,-0.002594560664642523,0.00151889356884375
2,00,1,raya,-0.05989116057753563,-0.04307282716035843,0.0168183334171772,-0.0016367894676613047,0.0015453497485461208
3,00,1,raya,-0.07135114073753357,-0.056637778878211975,0.014713361859321594,-0.002248831004142127,0.0013013159735788043
4,00,1,raya,-0.07300793379545212,-0.06086990237236023,0.012138031423091888,-0.0035750743576345293,0.0012727527390043437
5,00,1,raya,-0.07090850174427032,-0.05822458863258362,0.012683913111686707,-0.004979065431163032,0.0012367023764078167
6,00,1,raya,-0.07342548668384552,-0.06649799644947052,0.006927490234375,-0.004466565662717565,0.001361175127836433
7,00,1,raya,-0.08557133376598358,-0.07713865488767624,0.008432678878307343,-0.004504069715659035,0.001539823747034015
8,00,1,raya,-0.09390858560800552,-0.09421567618846893,-0.0003070905804634094,-0.004289341773441497,0.0018085581040519867
9,00,1,raya,-0.08569614589214325,-0.09055719524621964,-0.0048610493540763855,-0.0047004727567447,0.0020320697977268738
10,00,1,raya,-0.06968247145414352,-0.07656647264957428,-0.006884001195430756,-0.005825023464065917,0.0023415365775603264
11,00,1,raya,-0.03863459825515747,-0.0515485443174839,-0.012913946062326431,-0.009679246411480486,0.0025028056271347477
12,00,1,raya,-0.04519791156053543,-0.056264061480760574,-0.011066149920225143,-0.012099137490100048,0.002594815669137618
0,00,2,raya,0.2741456925868988,0.2741456925868988,0.0,0.0,0.0
1,00,2,raya,0.008323010988533497,-0.0020985351875424385,-0.010421546176075935,-0.002594560664642523,0.00151889356884375
2,00,2,raya,-0.0256796907633543,-0.03303920850157738,-0.007359517738223076,-0.0016367894676613047,0.0015453497485461208
3,00,2,raya,-0.04851919785141945,-0.06151304766535759,-0.012993849813938141,-0.002248831004142127,0.0013013159735788043
4,00,2,raya,-0.063547283411026,-0.07226870208978653,-0.008721418678760529,-0.0035750743576345293,0.0012727527390043437
5,00,2,raya,-0.0698307454586029,-0.07768170535564423,-0.00785095989704132,-0.004979065431163032,0.0012367023764078167
6,00,2,raya,-0.061986833810806274,-0.06914542615413666,-0.007158592343330383,-0.004466565662717565,0.001361175127836433
7,00,2,raya,-0.06438647210597992,-0.07617026567459106,-0.011783793568611145,-0.004504069715659035,0.001539823747034015
8,00,2,raya,-0.047341059893369675,-0.04688257724046707,0.00045848265290260315,-0.004289341773441497,0.0018085581040519867
9,00,2,raya,-0.03470083698630333,-0.024698425084352493,0.010002411901950836,-0.0047004727567447,0.0020320697977268738
10,00,2,raya,-0.021042753010988235,-0.0014341678470373154,0.01960858516395092,-0.005825023464065917,0.0023415365775603264
11,00,2,raya,0.0027571055106818676,0.017893796786665916,0.015136691275984049,-0.009679246411480486,0.0025028056271347477
12,00,2,raya,0.003958681598305702,0.022738145664334297,0.018779464066028595,-0.012099137490100048,0.002594815669137618
0,01,1,llama,0.15165701508522034,0.15165701508522034,0.0,0.0,0.0
1,01,1,llama,-0.024553395807743073,-0.03202517330646515,-0.007471777498722076,-0.002594560664642523,0.00151889356884375
2,01,1,llama,-0.04691335931420326,-0.04575074464082718,0.0011626146733760834,-0.0016367894676613047,0.0015453497485461208
3,01,1,llama,-0.04202137887477875,-0.03886628895998001,0.0031550899147987366,-0.002248831004142127,0.0013013159735788043
4,01,1,llama,-0.06125607341527939,-0.055153101682662964,0.0061029717326164246,-0.0035750743576345293,0.0012727527390043437
5,01,1,llama,-0.05895122140645981,-0.05773523449897766,0.0012159869074821472,-0.004979065431163032,0.0012367023764078167
6,01,1,llama,-0.0843799039721489,-0.07597102224826813,0.008408881723880768,-0.004466565662717565,0.001361175127836433
7,01,1,llama,-0.09535320103168488,-0.08568081259727478,0.009672388434410095,-0.004504069715659035,0.001539823747034015
8,01,1,llama,-0.09541414678096771,-0.0898420512676239,0.005572095513343811,-0.004289341773441497,0.0018085581040519867
9,01,1,llama,-0.09584338217973709,-0.10330658406019211,-0.007463201880455017,-0.0047004727567447,0.0020320697977268738
10,01,1,llama,-0.08142250031232834,-0.09547920525074005,-0.014056704938411713,-0.005825023464065917,0.0023415365775603264
11,01,1,llama,-0.051325034350156784,-0.04413119703531265,0.0071938373148441315,-0.009679246411480486,0.0025028056271347477
12,01,1,llama,-0.04249124974012375,-0.027185700833797455,0.015305548906326294,-0.012099137490100048,0.002594815669137618
0,01,2,llama,0.15165701508522034,0.15165701508522034,0.0,0.0,0.0
1,01,2,llama,-0.024553395807743073,-0.03815305978059769,-0.013599663972854614,-0.002594560664642523,0.00151889356884375
2,01,2,llama,-0.04691335931420326,-0.051695194095373154,-0.004781834781169891,-0.0016367894676613047,0.0015453497485461208
3,01,2,llama,-0.04202137887477875,-0.04862775281071663,-0.0066063739359378815,-0.002248831004142127,0.0013013159735788043
4,01,2,llama,-0.06125607341527939,-0.06700578331947327,-0.005749709904193878,-0.0035750743576345293,0.0012727527390043437
5,01,2,llama,-0.05895122140645981,-0.08214764297008514,-0.023196421563625336,-0.004979065431163032,0.0012367023764078167
6,01,2,llama,-0.0843799039721489,-0.10228485614061356,-0.01790495216846466,-0.004466565662717565,0.001361175127836433
7,01,2,llama,-0.09535320103168488,-0.1106252670288086,-0.015272065997123718,-0.004504069715659035,0.001539823747034015
8,01,2,llama,-0.09541414678096771,-0.1198888048529625,-0.02447465807199478,-0.004289341773441497,0.0018085581040519867
9,01,2,llama,-0.09584338217973709,-0.13094058632850647,-0.03509720414876938,-0.0047004727567447,0.0020320697977268738
10,01,2,llama,-0.08142250031232834,-0.1346784085035324,-0.05325590819120407,-0.005825023464065917,0.0023415365775603264
11,01,2,llama,-0.051325034350156784,-0.09576006233692169,-0.04443502798676491,-0.009679246411480486,0.0025028056271347477
12,01,2,llama,-0.04249124974012375,-0.08838079869747162,-0.04588954895734787,-0.012099137490100048,0.002594815669137618
0,02,1,salamandra,0.17072467505931854,0.17072467505931854,0.0,0.0,0.0
