layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.35475584864616394,0.35475584864616394,0.0,0.0,0.0
1,00,1,raya,0.040415208786726,0.05259609594941139,0.012180887162685394,0.014588177256147437,0.0014282784661220718
2,00,1,raya,-0.0289031732827425,-0.006740069482475519,0.02216310380026698,0.015901452247449693,0.0013983889256180095
3,00,1,raya,-0.0532798245549202,-0.03262196108698845,0.020657863467931747,0.013467541261714823,0.001201880935062492
4,00,1,raya,-0.0675109252333641,-0.05453015863895416,0.012980766594409943,0.011151309759217375,0.0010135546355436386
5,00,1,raya,-0.06803423166275024,-0.0438367985188961,0.02419743314385414,0.010495467269991307,0.0010222762470392048
6,00,1,raya,-0.07390394061803818,-0.0475127175450325,0.026391223073005676,0.011626018666999137,0.0009902145394949386
7,00,1,raya,-0.06872935593128204,-0.03590293973684311,0.032826416194438934,0.01465544071880744,0.001393039670040554
8,00,1,raya,-0.07607165724039078,-0.01563607156276703,0.06043558567762375,0.02177609916419742,0.002004554695987806
9,00,1,raya,-0.09204798936843872,-0.012678630650043488,0.07936935871839523,0.02862291551254531,0.0025123675730003123
10,00,1,raya,-0.09680955111980438,0.0016059838235378265,0.09841553494334221,0.03580688124899059,0.003089514473180559
11,00,1,raya,-0.08734898269176483,0.01921571046113968,0.10656469315290451,0.03795478125400049,0.0031083109817113615
12,00,1,raya,-0.10296046733856201,0.009072825312614441,0.11203329265117645,0.04199266590752659,0.003338998328983935
0,00,2,raya,0.4076005816459656,0.4076005816459656,0.0,0.0,0.0
1,00,2,raya,0.040007174015045166,0.031110145151615143,0.008897028863430023,0.014588177256147437,0.0014282784661220718
2,00,2,raya,-0.020238619297742844,-0.019026316702365875,0.0012123025953769684,0.015901452247449693,0.0013983889256180095
3,00,2,raya,-0.04852022975683212,-0.04801402986049652,0.0005061998963356018,0.013467541261714823,0.001201880935062492
4,00,2,raya,-0.07417184114456177,-0.07033447921276093,0.0038373619318008423,0.011151309759217375,0.0010135546355436386
5,00,2,raya,-0.09349305927753448,-0.08376813679933548,0.009724922478199005,0.010495467269991307,0.0010222762470392048
6,00,2,raya,-0.09088996052742004,-0.0815480500459671,0.009341910481452942,0.011626018666999137,0.0009902145394949386
7,00,2,raya,-0.08830965310335159,-0.08574186265468597,0.002567790448665619,0.01465544071880744,0.001393039670040554
8,00,2,raya,-0.07421529293060303,-0.05066549405455589,0.023549798876047134,0.02177609916419742,0.002004554695987806
9,00,2,raya,-0.07485681027173996,-0.0432928092777729,0.031564000993967056,0.02862291551254531,0.0025123675730003123
10,00,2,raya,-0.07251957803964615,-0.0335271917283535,0.03899238631129265,0.03580688124899059,0.003089514473180559
11,00,2,raya,-0.06016010046005249,-0.027938680723309517,0.03222141973674297,0.03795478125400049,0.0031083109817113615
12,00,2,raya,-0.0534110963344574,-0.01987994834780693,0.03353114798665047,0.04199266590752659,0.003338998328983935
0,01,1,llama,0.1646498292684555,0.1646498292684555,0.0,0.0,0.0
1,01,1,llama,-0.13393183052539825,-0.13586381077766418,0.0019319802522659302,0.014588177256147437,0.0014282784661220718
2,01,1,llama,-0.14586833119392395,-0.13853584229946136,0.0073324888944625854,0.015901452247449693,0.0013983889256180095
3,01,1,llama,-0.13723456859588623,-0.12661850452423096,0.010616064071655273,0.013467541261714823,0.001201880935062492
4,01,1,llama,-0.15575601160526276,-0.13822384178638458,0.017532169818878174,0.011151309759217375,0.0010135546355436386
5,01,1,llama,-0.15713343024253845,-0.14054566621780396,0.016587764024734497,0.010495467269991307,0.0010222762470392048
6,01,1,llama,-0.18431641161441803,-0.16150350868701935,0.02281290292739868,0.011626018666999137,0.0009902145394949386
7,01,1,llama,-0.20361903309822083,-0.18006211519241333,0.023556917905807495,0.01465544071880744,0.001393039670040554
8,01,1,llama,-0.20860172808170319,-0.1767762154340744,0.031825512647628784,0.02177609916419742,0.002004554695987806
9,01,1,llama,-0.20413066446781158,-0.17824435234069824,0.025886312127113342,0.02862291551254531,0.0025123675730003123
10,01,1,llama,-0.1870078444480896,-0.1727483868598938,0.0142594575881958,0.03580688124899059,0.003089514473180559
11,01,1,llama,-0.13913178443908691,-0.10243551433086395,0.03669627010822296,0.03795478125400049,0.0031083109817113615
12,01,1,llama,-0.1317777931690216,-0.07041886448860168,0.06135892868041992,0.04199266590752659,0.003338998328983935
0,01,2,llama,0.27619996666908264,0.27619996666908264,0.0,0.0,0.0
1,01,2,llama,-0.03312653303146362,-0.032158270478248596,0.0009682625532150269,0.014588177256147437,0.0014282784661220718
2,01,2,llama,-0.04850965738296509,-0.04129806160926819,0.007211595773696899,0.015901452247449693,0.0013983889256180095
3,01,2,llama,-0.03987015411257744,-0.03095591813325882,0.008914235979318619,0.013467541261714823,0.001201880935062492
4,01,2,llama,-0.05957431346178055,-0.049001701176166534,0.010572612285614014,0.011151309759217375,0.0010135546355436386
5,01,2,llama,-0.06070879474282265,-0.057612426578998566,0.0030963681638240814,0.010495467269991307,0.0010222762470392048
6,01,2,llama,-0.08872261643409729,-0.07605786621570587,0.012664750218391418,0.011626018666999137,0.0009902145394949386
7,01,2,llama,-0.08436344563961029,-0.058859653770923615,0.025503791868686676,0.01465544071880744,0.001393039670040554
8,01,2,llama,-0.09128078818321228,-0.06743401288986206,0.02384677529335022,0.02177609916419742,0.002004554695987806
9,01,2,llama,-0.09462601691484451,-0.054707106202840805,0.03991891071200371,0.02862291551254531,0.0025123675730003123
10,01,2,llama,-0.10303303599357605,-0.06320522725582123,0.03982780873775482,0.03580688124899059,0.003089514473180559
11,01,2,llama,-0.08393627405166626,-0.024121340364217758,0.0598149336874485,0.03795478125400049,0.0031083109817113615
12,01,2,llama,-0.09708051383495331,-0.0248935017734766,0.07218701206147671,0.04199266590752659,0.003338998328983935
0,02,1,salamandra,0.36798375844955444,0.36798375844955444,0.0,0.0,0.0
1,02,1,salamandra,-0.07562734186649323,-0.05170449614524841,0.023922845721244812,0.014588177256147437,0.0014282784661220718
2,02,1,salamandra,-0.10722635686397552,-0.08430647850036621,0.022919878363609314,0.015901452247449693,0.0013983889256180095
3,02,1,salamandra,-0.12638092041015625,-0.09544996917247772,0.030930951237678528,0.013467541261714823,0.001201880935062492
4,02,1,salamandra,-0.14111122488975525,-0.12597930431365967,0.015131920576095581,0.011151309759217375,0.0010135546355436386
5,02,1,salamandra,-0.12842035293579102,-0.12487751245498657,0.0035428404808044434,0.010495467269991307,0.0010222762470392048
6,02,1,salamandra,-0.141255185008049,-0.13866715133190155,0.002588033676147461,0.011626018666999137,0.0009902145394949386
7,02,1,salamandra,-0.13086462020874023,-0.1243487298488617,0.00651589035987854,0.01465544071880744,0.001393039670040554
8,02,1,salamandra,-0.14019308984279633,-0.10804831981658936,0.03214477002620697,0.02177609916419742,0.002004554695987806
9,02,1,salamandra,-0.15893445909023285,-0.12195788323879242,0.03697657585144043,0.02862291551254531,0.0025123675730003123
10,02,1,salamandra,-0.1521734893321991,-0.1096532791852951,0.04252021014690399,0.03580688124899059,0.003089514473180559
11,02,1,salamandra,-0.09933189302682877,-0.06855368614196777,0.030778206884860992,0.03795478125400049,0.0031083109817113615
12,02,1,salamandra,-0.07728457450866699,-0.029539423063397408,0.047745151445269585,0.04199266590752659,0.003338998328983935
0,02,2,salamandra,0.32052528858184814,0.32052528858184814,0.0,0.0,0.0
1,02,2,salamandra,-0.02711404487490654,-0.014779143035411835,0.012334901839494705,0.014588177256147437,0.0014282784661220718
2,02,2,salamandra,-0.0548250712454319,-0.044829558581113815,0.009995512664318085,0.015901452247449693,0.0013983889256180095
3,02,2,salamandra,-0.06915664672851562,-0.05807909369468689,0.011077553033828735,0.013467541261714823,0.001201880935062492
4,02,2,salamandra,-0.09400192648172379,-0.08454528450965881,0.009456641972064972,0.011151309759217375,0.0010135546355436386
5,02,2,salamandra,-0.07876846194267273,-0.09096709638834,0.012198634445667267,0.010495467269991307,0.0010222762470392048
6,02,2,salamandra,-0.093707375228405,-0.11528927087783813,0.021581895649433136,0.011626018666999137,0.0009902145394949386
7,02,2,salamandra,-0.09816909581422806,-0.1071707159280777,0.00900162011384964,0.01465544071880744,0.001393039670040554
8,02,2,salamandra,-0.13501869142055511,-0.14316216111183167,0.00814346969127655,0.02177609916419742,0.002004554695987806
9,02,2,salamandra,-0.16072294116020203,-0.17503203451633453,0.014309093356132507,0.02862291551254531,0.0025123675730003123
10,02,2,salamandra,-0.17359119653701782,-0.16871748864650726,0.004873707890510559,0.03580688124899059,0.003089514473180559
11,02,2,salamandra,-0.1436770260334015,-0.14696326851844788,0.0032862424850463867,0.03795478125400049,0.0031083109817113615
12,02,2,salamandra,-0.14641517400741577,-0.14632558822631836,8.958578109741211e-05,0.04199266590752659,0.003338998328983935
0,03,1,muñeca,0.559353768825531,0.559353768825531,0.0,0.0,0.0
1,03,1,muñeca,-0.008140037767589092,-0.017624571919441223,0.009484534151852131,0.014588177256147437,0.0014282784661220718
2,03,1,muñeca,-0.04606446623802185,-0.05061609297990799,0.004551626741886139,0.015901452247449693,0.0013983889256180095
3,03,1,muñeca,-0.05806531012058258,-0.0620640367269516,0.0039987266063690186,0.013467541261714823,0.001201880935062492
4,03,1,muñeca,-0.06386370956897736,-0.07499946653842926,0.011135756969451904,0.011151309759217375,0.0010135546355436386
5,03,1,muñeca,-0.06985298544168472,-0.08422617614269257,0.014373190701007843,0.010495467269991307,0.0010222762470392048
6,03,1,muñeca,-0.08257453143596649,-0.09746500104665756,0.01489046961069107,0.011626018666999137,0.0009902145394949386
7,03,1,muñeca,-0.07646836340427399,-0.08549937605857849,0.009031012654304504,0.01465544071880744,0.001393039670040554
8,03,1,muñeca,-0.08832848072052002,-0.09515628218650818,0.006827801465988159,0.02177609916419742,0.002004554695987806
9,03,1,muñeca,-0.08535072207450867,-0.09338486194610596,0.00803413987159729,0.02862291551254531,0.0025123675730003123
10,03,1,muñeca,-0.09495167434215546,-0.10031723976135254,0.0053655654191970825,0.03580688124899059,0.003089514473180559
11,03,1,muñeca,-0.08059215545654297,-0.08537936955690384,0.00478721410036087,0.03795478125400049,0.0031083109817113615
12,03,1,muñeca,-0.08124090731143951,-0.08081862330436707,0.00042228400707244873,0.04199266590752659,0.003338998328983935
0,03,2,muñeca,0.49397313594818115,0.49397313594818115,0.0,0.0,0.0
1,03,2,muñeca,-0.024849873036146164,-0.01689862459897995,0.007951248437166214,0.014588177256147437,0.0014282784661220718
2,03,2,muñeca,-0.08084074407815933,-0.07399044185876846,0.006850302219390869,0.015901452247449693,0.0013983889256180095
3,03,2,muñeca,-0.10119606554508209,-0.09224121272563934,0.008954852819442749,0.013467541261714823,0.001201880935062492
4,03,2,muñeca,-0.10519993305206299,-0.1012430340051651,0.003956899046897888,0.011151309759217375,0.0010135546355436386
5,03,2,muñeca,-0.10849754512310028,-0.10884611308574677,0.0003485679626464844,0.010495467269991307,0.0010222762470392048
6,03,2,muñeca,-0.11554408073425293,-0.12113971263170242,0.005595631897449493,0.011626018666999137,0.0009902145394949386
7,03,2,muñeca,-0.1055448055267334,-0.11048176884651184,0.004936963319778442,0.01465544071880744,0.001393039670040554
8,03,2,muñeca,-0.11791907250881195,-0.1022135466337204,0.015705525875091553,0.02177609916419742,0.002004554695987806
9,03,2,muñeca,-0.11882396787405014,-0.09246419370174408,0.02635977417230606,0.02862291551254531,0.0025123675730003123
10,03,2,muñeca,-0.12154731154441833,-0.08265542984008789,0.038891881704330444,0.03580688124899059,0.003089514473180559
11,03,2,muñeca,-0.09753996878862381,-0.07112760841846466,0.02641236037015915,0.03795478125400049,0.0031083109817113615
12,03,2,muñeca,-0.09434328973293304,-0.05712791904807091,0.03721537068486214,0.04199266590752659,0.003338998328983935
0,04,1,palma,0.5224499702453613,0.5224499702453613,0.0,0.0,0.0
1,04,1,palma,0.030988357961177826,0.030894337221980095,9.402073919773102e-05,0.014588177256147437,0.0014282784661220718
2,04,1,palma,-0.01224695984274149,-0.002238997258245945,0.010007962584495544,0.015901452247449693,0.0013983889256180095
3,04,1,palma,-0.030939452350139618,-0.027542786672711372,0.0033966656774282455,0.013467541261714823,0.001201880935062492
4,04,1,palma,-0.03932788968086243,-0.03808770328760147,0.0012401863932609558,0.011151309759217375,0.0010135546355436386
5,04,1,palma,-0.03939502313733101,-0.056544411927461624,0.017149388790130615,0.010495467269991307,0.0010222762470392048
6,04,1,palma,-0.03350798040628433,-0.06611380726099014,0.03260582685470581,0.011626018666999137,0.0009902145394949386
7,04,1,palma,-0.039584144949913025,-0.058994993567466736,0.01941084861755371,0.01465544071880744,0.001393039670040554
8,04,1,palma,-0.05113624036312103,-0.059520281851291656,0.008384041488170624,0.02177609916419742,0.002004554695987806
9,04,1,palma,-0.0634569376707077,-0.06877899914979935,0.005322061479091644,0.02862291551254531,0.0025123675730003123
10,04,1,palma,-0.085426464676857,-0.07762297987937927,0.007803484797477722,0.03580688124899059,0.003089514473180559
11,04,1,palma,-0.09072088450193405,-0.0663827583193779,0.024338126182556152,0.03795478125400049,0.0031083109817113615
12,04,1,palma,-0.07140005379915237,-0.06734131276607513,0.00405874103307724,0.04199266590752659,0.003338998328983935
0,04,2,palma,0.4401933550834656,0.4401933550834656,0.0,0.0,0.0
1,04,2,palma,-0.02064555324614048,2.9268674552440643e-05,0.02067482192069292,0.014588177256147437,0.0014282784661220718
2,04,2,palma,-0.056808311492204666,-0.024287216365337372,0.032521095126867294,0.015901452247449693,0.0013983889256180095
3,04,2,palma,-0.0748932883143425,-0.037645190954208374,0.037248097360134125,0.013467541261714823,0.001201880935062492
4,04,2,palma,-0.08063799142837524,-0.046271614730358124,0.03436637669801712,0.011151309759217375,0.0010135546355436386
5,04,2,palma,-0.0714447945356369,-0.05604920536279678,0.015395589172840118,0.010495467269991307,0.0010222762470392048
