layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.06053697317838669,0.06053697317838669,0.0,0.0,0.0
1,00,1,raya,-0.004327394533902407,-0.001539839431643486,0.0027875551022589207,0.009756892025371658,0.0007659366860723389
2,00,1,raya,-0.013903471641242504,-0.0077250259928405285,0.006178445648401976,0.009283082024689684,0.0008270257600515686
3,00,1,raya,-0.00513810059055686,0.004683423787355423,0.009821524377912283,0.008564950095767037,0.0008050133300874422
4,00,1,raya,-0.01684393733739853,-0.00037804339081048965,0.01646589394658804,0.009009884492038413,0.000901096853338218
5,00,1,raya,-0.010200372897088528,0.004065630957484245,0.014266003854572773,0.00928401754316973,0.0008408180432786002
6,00,1,raya,0.006044474896043539,0.008804786019027233,0.002760311122983694,0.008879705837511636,0.0007450237674346326
7,00,1,raya,-0.005910165142267942,-0.018014710396528244,0.012104545254260302,0.009564870294738324,0.000737816960905369
8,00,1,raya,-0.01207957323640585,-0.020183145999908447,0.008103572763502598,0.011367644639091288,0.0008687874031825375
9,00,1,raya,-0.04643316566944122,-0.04588359594345093,0.0005495697259902954,0.013718729521682922,0.001011413959874462
10,00,1,raya,-0.0662669688463211,-0.058302141726017,0.007964827120304108,0.01592611325310266,0.0011605301059273456
11,00,1,raya,-0.08510567247867584,-0.07089489698410034,0.0142107754945755,0.019538824396960912,0.0014864921544099818
12,00,1,raya,-0.10052476823329926,-0.08721515536308289,0.01330961287021637,0.020875793544852986,0.0016358672809108354
0,00,2,raya,0.06053697317838669,0.06053697317838669,0.0,0.0,0.0
1,00,2,raya,-0.004327394533902407,-0.002947035012766719,0.0013803595211356878,0.009756892025371658,0.0007659366860723389
2,00,2,raya,-0.013903471641242504,-0.008550352416932583,0.005353119224309921,0.009283082024689684,0.0008270257600515686
3,00,2,raya,-0.00513810059055686,0.0074416762217879295,0.01257977681234479,0.008564950095767037,0.0008050133300874422
4,00,2,raya,-0.01684393733739853,-0.0015198015607893467,0.015324135776609182,0.009009884492038413,0.000901096853338218
5,00,2,raya,-0.010200372897088528,-0.0013595912605524063,0.008840781636536121,0.00928401754316973,0.0008408180432786002
6,00,2,raya,0.006044474896043539,0.01445433497428894,0.008409860078245401,0.008879705837511636,0.0007450237674346326
7,00,2,raya,-0.005910165142267942,-0.00579419918358326,0.00011596595868468285,0.009564870294738324,0.000737816960905369
8,00,2,raya,-0.01207957323640585,-0.007868461310863495,0.004211111925542355,0.011367644639091288,0.0008687874031825375
9,00,2,raya,-0.04643316566944122,-0.04314490407705307,0.003288261592388153,0.013718729521682922,0.001011413959874462
10,00,2,raya,-0.0662669688463211,-0.06319393217563629,0.0030730366706848145,0.01592611325310266,0.0011605301059273456
