layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.26120299100875854,0.26120299100875854,0.0,0.0,0.0
1,00,1,raya,-0.041304320096969604,-0.04970413073897362,0.008399810642004013,0.011314091307329053,0.0009878403627768693
2,00,1,raya,-0.08306821435689926,-0.09056827425956726,0.007500059902667999,0.011073313819422842,0.0008296021721605224
3,00,1,raya,-0.10238930583000183,-0.11973026394844055,0.01734095811843872,0.010210266227814112,0.0008117485750080709
4,00,1,raya,-0.11375180631875992,-0.12441447377204895,0.010662667453289032,0.010019396639805524,0.0008572942900733234
5,00,1,raya,-0.1176619678735733,-0.1305059790611267,0.012844011187553406,0.010311380405216775,0.000889414700729915
6,00,1,raya,-0.1222422793507576,-0.13399505615234375,0.011752776801586151,0.010975427583771501,0.0009263094381530085
7,00,1,raya,-0.11949938535690308,-0.13837340474128723,0.018874019384384155,0.013121785491982356,0.0011387278106924509
8,00,1,raya,-0.12312343716621399,-0.13441228866577148,0.011288851499557495,0.015196857007933742,0.0012723081537610698
9,00,1,raya,-0.11355841159820557,-0.12609028816223145,0.012531876564025879,0.016835366321252064,0.0016113292035031368
10,00,1,raya,-0.10516256093978882,-0.12285362929105759,0.01769106835126877,0.02024280715813028,0.001935954542647677
11,00,1,raya,-0.07830500602722168,-0.09070463478565216,0.012399628758430481,0.023379566950446115,0.0021334522217449797
12,00,1,raya,-0.05863027274608612,-0.07888973504304886,0.020259462296962738,0.02509641708271142,0.002457459028348931
0,00,2,raya,0.13729438185691833,0.13729438185691833,0.0,0.0,0.0
1,00,2,raya,-0.03878718987107277,-0.04556216299533844,0.006774973124265671,0.011314091307329053,0.0009878403627768693
2,00,2,raya,-0.06458649039268494,-0.0651075690984726,0.0005210787057876587,0.011073313819422842,0.0008296021721605224
3,00,2,raya,-0.06725384294986725,-0.07170350849628448,0.004449665546417236,0.010210266227814112,0.0008117485750080709
4,00,2,raya,-0.08717004954814911,-0.09208512306213379,0.00491507351398468,0.010019396639805524,0.0008572942900733234
5,00,2,raya,-0.08197280764579773,-0.081565722823143,0.0004070848226547241,0.010311380405216775,0.000889414700729915
6,00,2,raya,-0.0764930248260498,-0.07755769044160843,0.0010646656155586243,0.010975427583771501,0.0009263094381530085
7,00,2,raya,-0.08776512742042542,-0.09808921813964844,0.010324090719223022,0.013121785491982356,0.0011387278106924509
8,00,2,raya,-0.09211788326501846,-0.11021602153778076,0.0180981382727623,0.015196857007933742,0.0012723081537610698
9,00,2,raya,-0.10136716067790985,-0.10979361087083817,0.008426450192928314,0.016835366321252064,0.0016113292035031368
10,00,2,raya,-0.0979449599981308,-0.11071790754795074,0.012772947549819946,0.02024280715813028,0.001935954542647677
11,00,2,raya,-0.07870334386825562,-0.09472544491291046,0.016022101044654846,0.023379566950446115,0.0021334522217449797
12,00,2,raya,-0.06276431679725647,-0.07270295172929764,0.009938634932041168,0.02509641708271142,0.002457459028348931
0,01,1,llama,0.04943103715777397,0.04943103715777397,0.0,0.0,0.0
1,01,1,llama,-0.04096042364835739,-0.038520682603120804,0.0024397410452365875,0.011314091307329053,0.0009878403627768693
2,01,1,llama,-0.06208568438887596,-0.052715785801410675,0.009369898587465286,0.011073313819422842,0.0008296021721605224
3,01,1,llama,-0.0657428503036499,-0.05164726823568344,0.014095582067966461,0.010210266227814112,0.0008117485750080709
4,01,1,llama,-0.08765086531639099,-0.06868943572044373,0.018961429595947266,0.010019396639805524,0.0008572942900733234
5,01,1,llama,-0.10004327446222305,-0.08175498247146606,0.01828829199075699,0.010311380405216775,0.000889414700729915
6,01,1,llama,-0.10584696382284164,-0.08719974756240845,0.018647216260433197,0.010975427583771501,0.0009263094381530085
7,01,1,llama,-0.10807555913925171,-0.08489539474248886,0.023180164396762848,0.013121785491982356,0.0011387278106924509
8,01,1,llama,-0.10843027383089066,-0.07871227711439133,0.02971799671649933,0.015196857007933742,0.0012723081537610698
9,01,1,llama,-0.10018964111804962,-0.060914333909749985,0.03927530720829964,0.016835366321252064,0.0016113292035031368
10,01,1,llama,-0.09484405070543289,-0.056936848908662796,0.037907201796770096,0.02024280715813028,0.001935954542647677
11,01,1,llama,-0.06780107319355011,-0.01575782522559166,0.05204324796795845,0.023379566950446115,0.0021334522217449797
12,01,1,llama,-0.07608580589294434,0.00846388004720211,0.08454968594014645,0.02509641708271142,0.002457459028348931
0,01,2,llama,0.08002234995365143,0.08002234995365143,0.0,0.0,0.0
1,01,2,llama,-0.0314984992146492,-0.008521446958184242,0.022977052256464958,0.011314091307329053,0.0009878403627768693
2,01,2,llama,-0.03454677760601044,0.0023365262895822525,0.03688330389559269,0.011073313819422842,0.0008296021721605224
3,01,2,llama,-0.029482370242476463,-0.0017200466245412827,0.02776232361793518,0.010210266227814112,0.0008117485750080709
4,01,2,llama,-0.03804335370659828,-0.007920516654849052,0.03012283705174923,0.010019396639805524,0.0008572942900733234
5,01,2,llama,-0.050653889775276184,-0.026859445497393608,0.023794444277882576,0.010311380405216775,0.000889414700729915
6,01,2,llama,-0.06050725281238556,-0.039223816245794296,0.021283436566591263,0.010975427583771501,0.0009263094381530085
7,01,2,llama,-0.0759110301733017,-0.04564158245921135,0.030269447714090347,0.013121785491982356,0.0011387278106924509
8,01,2,llama,-0.10103302448987961,-0.0622699074447155,0.03876311704516411,0.015196857007933742,0.0012723081537610698
9,01,2,llama,-0.12055911123752594,-0.07730741053819656,0.043251700699329376,0.016835366321252064,0.0016113292035031368
10,01,2,llama,-0.12126544117927551,-0.08108366280794144,0.040181778371334076,0.02024280715813028,0.001935954542647677
11,01,2,llama,-0.10152380168437958,-0.05891812965273857,0.042605672031641006,0.023379566950446115,0.0021334522217449797
12,01,2,llama,-0.10955065488815308,-0.06117790564894676,0.048372749239206314,0.02509641708271142,0.002457459028348931
0,02,1,salamandra,0.10092481970787048,0.10092481970787048,0.0,0.0,0.0
1,02,1,salamandra,-0.030418189242482185,-0.026674769818782806,0.003743419423699379,0.011314091307329053,0.0009878403627768693
2,02,1,salamandra,-0.022373583167791367,-0.015088904649019241,0.007284678518772125,0.011073313819422842,0.0008296021721605224
3,02,1,salamandra,-0.004520826041698456,0.0028102174401283264,0.007331043481826782,0.010210266227814112,0.0008117485750080709
4,02,1,salamandra,-0.013929806649684906,-0.010247491300106049,0.0036823153495788574,0.010019396639805524,0.0008572942900733234
5,02,1,salamandra,0.0040860362350940704,0.0026598572731018066,0.0014261789619922638,0.010311380405216775,0.000889414700729915
6,02,1,salamandra,-0.002589073032140732,-0.008296888321638107,0.0057078152894973755,0.010975427583771501,0.0009263094381530085
7,02,1,salamandra,-0.0020180754363536835,-0.01057361252605915,0.008555537089705467,0.013121785491982356,0.0011387278106924509
8,02,1,salamandra,-0.02097499743103981,-0.016450177878141403,0.004524819552898407,0.015196857007933742,0.0012723081537610698
9,02,1,salamandra,-0.05799323320388794,-0.048644766211509705,0.009348466992378235,0.016835366321252064,0.0016113292035031368
10,02,1,salamandra,-0.06902845948934555,-0.061506371945142746,0.0075220875442028046,0.02024280715813028,0.001935954542647677
11,02,1,salamandra,-0.04497060179710388,-0.04271894693374634,0.002251654863357544,0.023379566950446115,0.0021334522217449797
12,02,1,salamandra,-0.02825620025396347,-0.03419778496026993,0.0059415847063064575,0.02509641708271142,0.002457459028348931
0,02,2,salamandra,0.18970558047294617,0.18970558047294617,0.0,0.0,0.0
