layer,wordID,meaningID,target,sesgoBase,sesgoGen,error,meanError,standardError
0,00,1,raya,0.16289108991622925,0.16289108991622925,0.0,0.0,0.0
1,00,1,raya,0.025947749614715576,0.03251795098185539,0.006570201367139816,0.012566539032899953,0.001286538117943708
2,00,1,raya,0.014244269579648972,0.028765462338924408,0.014521192759275436,0.01503985790050331,0.0013277847295892471
3,00,1,raya,-0.0007829209789633751,0.004741591401398182,0.005524512380361557,0.012166877326733888,0.0011646527456352096
4,00,1,raya,-0.020584983751177788,-0.022700510919094086,0.002115527167916298,0.01114126337454357,0.0011081192531194304
5,00,1,raya,-0.028403520584106445,-0.023255057632923126,0.005148462951183319,0.010923017430654231,0.0011650889559478663
6,00,1,raya,-0.039099209010601044,-0.03350479155778885,0.005594417452812195,0.011281799547314803,0.0011895338103188877
7,00,1,raya,-0.046273622661828995,-0.025243978947401047,0.021029643714427948,0.01462081228779193,0.0014858782699002165
8,00,1,raya,-0.04641732573509216,-0.0021192748099565506,0.04429805092513561,0.019788432427919767,0.0018531564049756462
9,00,1,raya,-0.07928979396820068,-0.023615345358848572,0.05567444860935211,0.024296867418439783,0.0021201652308872657
10,00,1,raya,-0.08561021089553833,-0.012674152851104736,0.0729360580444336,0.028493189976174147,0.002544586188250274
11,00,1,raya,-0.08095405995845795,-0.0028341859579086304,0.07811987400054932,0.02971270134018615,0.0027439833108247854
12,00,1,raya,-0.07602352648973465,0.006696321070194244,0.0827198475599289,0.03320672339759767,0.003004844103191959
0,00,2,raya,0.30481913685798645,0.30481913685798645,0.0,0.0,0.0
1,00,2,raya,-0.018440529704093933,-0.031026773154735565,0.012586243450641632,0.012566539032899953,0.001286538117943708
2,00,2,raya,-0.053117796778678894,-0.053836166858673096,0.0007183700799942017,0.01503985790050331,0.0013277847295892471
3,00,2,raya,-0.07170627266168594,-0.07635392248630524,0.004647649824619293,0.012166877326733888,0.0011646527456352096
4,00,2,raya,-0.09085898101329803,-0.09194359183311462,0.0010846108198165894,0.01114126337454357,0.0011081192531194304
5,00,2,raya,-0.09870805591344833,-0.09766394644975662,0.0010441094636917114,0.010923017430654231,0.0011650889559478663
6,00,2,raya,-0.09327208995819092,-0.09378072619438171,0.0005086362361907959,0.011281799547314803,0.0011895338103188877
7,00,2,raya,-0.09092318266630173,-0.0977526605129242,0.006829477846622467,0.01462081228779193,0.0014858782699002165
8,00,2,raya,-0.06741474568843842,-0.05845410376787186,0.008960641920566559,0.019788432427919767,0.0018531564049756462
9,00,2,raya,-0.06907129287719727,-0.054573364555835724,0.014497928321361542,0.024296867418439783,0.0021201652308872657
10,00,2,raya,-0.05857427045702934,-0.03665526956319809,0.021919000893831253,0.028493189976174147,0.002544586188250274
